OBJECTID_1,OBJECTID,COUNTY,COUNTY_LAB,GNIS,FIPSSTCO,FIPSCO,REGION,Shape_Leng,Color,Shape__Area,Shape__Length,GlobalID_2,Negative,Positives,Negatives
1,1,ATLANTIC,Atlantic County,882270,34001,1,COASTAL,650228.153906135,3,17023851474.4613,650227.599305237,856c6fe0-3abb-4361-a2f2-4aedccef7490,,0,0
2,2,BERGEN,Bergen County,882271,34003,3,NORTHEASTERN,443326.12202094,3,6686009554.16315,443324.34792983,f94144b3-7b3e-4d8e-a807-3ebf0ed73004,6,25,7
3,3,BURLINGTON,Burlington County,882272,34005,5,SOUTHERN,788906.717475959,2,22869023171.6019,788903.854872475,bef81144-0c42-4111-b943-de0439a75467,,3,3
4,4,CAMDEN,Camden County,882273,34007,7,SOUTHERN,495010.034901193,3,6344509876.69286,495006.578775329,4cbb55ab-8fac-4029-b427-cecc7861f7a2,1,2,3
5,5,CAPE MAY,Cape May County,882274,34009,9,COASTAL,514564.858770721,2,7976961326.18928,514564.340281711,948244e4-5758-41d9-b964-136472ca6175,,0,0
6,6,CUMBERLAND,Cumberland County,882275,34011,11,SOUTHERN,704221.618565395,2,13989252050.4924,704221.618565117,de33b0e1-664c-4ef0-b19a-2706b1b72f5d,,0,1
7,7,ESSEX,Essex County,882276,34013,13,NORTHEASTERN,344556.557699697,0,3616983902.62909,344556.352027635,03158c67-a916-49d1-a3cd-8e0015798b85,2,7,4
8,8,GLOUCESTER,Gloucester County,882277,34015,15,SOUTHERN,560703.567469558,3,9372629753.11592,560696.852574077,b69ce9d3-4cdb-4346-b33d-6fd5adafbd6e,,0,0
9,9,HUDSON,Hudson County,882278,34017,17,NORTHEASTERN,381357.990132074,0,1436707422.26166,381356.570662894,27807556-1693-41dc-8092-ce682fd22b46,6,5,6
10,10,HUNTERDON,Hunterdon County,882228,34019,19,CENTRAL,561760.929390261,3,12191752747.2272,561755.697692183,0b491fb4-d859-4fa0-ad77-7a7920956178,,0,1
11,11,MERCER,Mercer County,882229,34021,21,CENTRAL,484095.376506398,0,6378548120.95609,484092.889323215,26cf7d91-2e95-41b6-9836-231052bd7d46,,1,0
12,12,MONMOUTH,Monmouth County,882910,34025,25,COASTAL,733254.795630843,3,13539886535.1161,733254.571341186,7487e51e-cbc3-4996-bc67-567e5e840725,5,8,5
13,13,OCEAN,Ocean County,882279,34029,29,COASTAL,722804.165669911,1,21129932138.2333,722804.023315113,dba1cfae-c10d-4291-83a8-cbefed4a3cb2,1,1,1
14,14,PASSAIC,Passaic County,882232,34031,31,NORTHEASTERN,492851.31968666,3,5528911617.81162,492850.749337237,41e997c4-7bd6-4450-8832-a49380092d09,2,2,2
15,15,SALEM,Salem County,882233,34033,33,SOUTHERN,664545.338596074,3,9677192466.64993,664540.959974598,617c93df-5e50-4bd6-8c7c-ad32279dc194,,0,0
16,16,SOMERSET,Somerset County,882234,34035,35,CENTRAL,541587.50723993,3,8499713898.79716,541586.643839567,70b41ea2-3834-4d3a-8428-22c06db28b05,,1,0
17,17,SUSSEX,Sussex County,882236,34037,37,NORTHWESTERN,525994.431104023,2,14929294846.8212,525986.641842378,ffc98580-6a06-41c8-9098-16ec5f9cddbe,,0,1
18,18,UNION,Union County,882235,34039,39,NORTHEASTERN,321814.398489641,0,2937613335.40393,321814.207050536,a5fd613c-6b25-4f25-a0f6-9a62c881402d,4,1,5
19,19,WARREN,Warren County,882237,34041,41,NORTHWESTERN,554871.678836904,3,10108546134.3239,554859.389116755,d4ee1d7e-1c81-4de3-89a0-1c6b63882896,1,0,1
20,20,MORRIS,Morris County,882231,34027,27,NORTHEASTERN,750263.524682552,3,13420104286.1602,750263.075351214,fc3ec854-765c-497b-8854-015861ed59f0,,3,0
21,21,MIDDLESEX,Middlesex County,882230,34023,23,CENTRAL,505626.821647062,3,8836527089.1499,505626.031638908,f1ec86bc-1af5-4dd2-9a4a-437bf36bea65,3,10,4
