OBJECTID,COUNTY,DISTRICT,COUNTY_FIP,COUNTYNUM,CREATION_D,LAST_UPDAT,COVID19Cases,Shape__Area,Shape__Length,GlobalID,COVID19Deaths,COVID19Recovered
1,Allegany,6,1,1,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,1851538947.24609,394249.898087364,ecc71053-534d-4adc-9a1a-39826b3823ae,,
2,Anne Arundel,5,3,2,2006-04-18T00:00:00.000Z,2006-04-18T00:00:00.000Z,2,1778838317.07031,1187074.90604609,7cc0cd53-f6af-4696-bd45-d88236f4e9ab,,
3,Baltimore,4,5,3,2006-10-09T00:00:00.000Z,2006-10-09T00:00:00.000Z,3,2637687793.67188,818319.559802303,aa4ece76-f5b4-4c3d-9845-186040e40a4a,,
4,Baltimore City,0,510,24,2006-04-18T00:00:00.000Z,2009-11-16T00:00:00.000Z,1,352783081.195313,199394.091724007,4e584177-af8d-4e17-8128-1502038090f1,,
5,Calvert,5,9,4,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,910463399.882813,382233.861870395,d819d031-1b6e-4729-8a85-84ff14e100e0,,
6,Caroline,2,11,5,2007-05-21T00:00:00.000Z,2008-07-30T00:00:00.000Z,0,1379449077.28906,248389.129627785,768b860b-5d0f-4cf6-bbae-f6f08feba04d,,
7,Carroll,7,13,6,2008-06-16T00:00:00.000Z,2012-01-17T00:00:00.000Z,1,1962096963.02734,333550.061787852,bddc3f32-1378-4cb1-a596-38f160a3402a,,
8,Cecil,2,15,7,2006-04-18T00:00:00.000Z,2008-08-20T00:00:00.000Z,0,1526098142.74219,542652.15548276,708383eb-1668-41bf-a24c-15267554203d,,
9,Charles,5,17,8,2009-06-08T00:00:00.000Z,2009-06-08T00:00:00.000Z,1,1951088479.46094,581727.788949102,728c7190-ff39-4671-b82d-6ac01b5bd76c,,
10,Dorchester,1,19,9,2007-02-08T00:00:00.000Z,2007-02-22T00:00:00.000Z,0,2329934588.31641,2122613.69146384,4d232403-85ea-4c3b-8b1d-ab5f4e39fa4f,,
11,Frederick,7,21,10,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,2890001417.49219,328350.468257515,b83633bb-133d-46bd-98bf-d08f7687c82b,,
12,Garrett,6,23,11,2007-05-15T00:00:00.000Z,2007-05-15T00:00:00.000Z,0,2860745161.01563,281807.867259157,f4e65c6b-3de9-4917-9a6f-5abc83245497,,
13,Harford,4,25,12,2006-10-09T00:00:00.000Z,2008-08-27T00:00:00.000Z,2,1918415707.58594,509309.187104658,0597664e-ad1a-421a-82bc-8b259c3e56a3,,
14,Howard,7,27,13,2006-11-16T00:00:00.000Z,2009-11-16T00:00:00.000Z,0,1089436036.53906,217926.628834033,5af6d29d-3f00-4acb-8492-2a7e9152631a,,
15,Kent,2,29,14,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,1214377368.37891,642712.199279433,358ea7a6-e7a1-4008-bab4-fbc77246afef,,
16,Montgomery,3,31,15,2006-04-18T00:00:00.000Z,2008-08-27T00:00:00.000Z,12,2142729101.89453,459692.051418634,2bf03d7a-3f40-4c87-a167-77581dbd9b2f,,
17,Prince George's,3,33,16,2006-04-18T00:00:00.000Z,2006-04-18T00:00:00.000Z,9,2073261898.11719,391861.372434526,69a9a1ad-a348-430f-bb39-7e52e5dc88eb,,
18,Queen Anne's,2,35,17,2006-04-18T00:00:00.000Z,2008-05-12T00:00:00.000Z,0,1604272544.72266,833409.527049959,368870c1-517a-4361-8965-ed7723155344,,
19,Somerset,1,39,19,2007-01-08T00:00:00.000Z,2007-01-08T00:00:00.000Z,0,1353987955.57813,1724844.63525122,6cec3602-2cf4-4aa2-a1c3-9ddf4787ad85,,
20,St. Mary's,5,37,18,2006-12-21T00:00:00.000Z,2007-04-10T00:00:00.000Z,0,1515567868.50781,962932.297427502,8585804d-fff1-4431-abaa-1e997842d871,,
21,Talbot,2,41,20,2007-04-05T00:00:00.000Z,2009-06-22T00:00:00.000Z,0,1153979565.26953,1221554.88133175,3b1499e5-c1ff-4087-af45-e1f9d623acaf,,
22,Washington,6,43,21,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,2002006981.78516,428074.05189915,8c6b9da7-d17f-4538-9c86-073161364393,,
23,Wicomico,1,45,22,2007-11-26T00:00:00.000Z,2007-11-26T00:00:00.000Z,0,1602773791.67969,384958.204199738,b048d36e-a921-4074-85ab-40cbb36a246b,,
24,Worcester,1,47,23,2007-11-27T00:00:00.000Z,2007-11-27T00:00:00.000Z,0,1994019871.01172,1473471.71489491,75ded5ee-f6bc-4bf2-a59e-03c99a318291,,
