X,Y,FID,PFIPS,PARISH_ABV,PARISH,LDHH,STATE,Cases,Deaths
-93.735431689834016,32.057230637176922,1,22031,De Soto,De Soto,7,22,0,
-90.546799519757201,30.077091956741352,2,22095,St. John,St. John the Baptist,3,22,1,
-90.436291322025284,29.57025756976924,3,22057,LaFourche,Lafourche,3,22,2,
-89.882569065835042,30.068210996401024,4,22071,Orleans,Orleans,1,22,94,
-93.527275985609378,31.571939242882895,5,22085,Sabine,Sabine,7,22,0,
-90.411962297694487,30.646270982057679,6,22105,Tangipahoa,Tangipahoa,9,22,0,
-89.938724832048592,30.446845609625115,7,22103,St. Tammany,St. Tammany,9,22,6,
-90.739153895863396,30.450434495805919,8,22063,Livingston,Livingston,9,22,0,
-90.362397311718723,29.883991597110164,9,22089,St. Charles,St. Charles,3,22,3,
-93.35799223246147,30.229407603001526,10,22019,Calcasieu,Calcasieu,5,22,0,
-92.374868199822501,32.832104470218376,11,22111,Union,Union,8,22,0,
-92.116627653668857,32.092432748356948,12,22021,Caldwell,Caldwell,8,22,0,
-91.340007192292987,32.001934003235419,13,22107,Tensas,Tensas,8,22,0,
-92.557752216403259,32.302191270475845,14,22049,Jackson,Jackson,8,22,0,
-92.559549996815079,31.599872695301435,15,22043,Grant,Grant,6,22,0,
-92.664819842342496,32.601749568494519,16,22061,Lincoln,Lincoln,8,22,0,
-92.814138191551166,30.267946136033743,17,22053,Jeff. Davis,Jefferson Davis,5,22,0,
-92.063886316476584,30.206868350924857,18,22055,Lafayette,Lafayette,4,22,0,
-91.235043195272027,32.732844040085958,19,22035,E. Carroll,East Carroll,8,22,0,
-91.045517366958819,30.845189882910947,20,22037,E. Feliciana,East Feliciana,2,22,0,
-91.360230480092426,30.218359207135865,21,22047,Iberville,Iberville,2,22,0,
-91.732794680705055,32.462285862958595,22,22083,Richland,Richland,8,22,0,
-91.726829378534973,30.22836069056709,23,22099,St. Martin,St. Martin,4,22,0,
-92.995719149710027,32.822938055837398,24,22027,Claiborne,Claiborne,7,22,0,
-92.005834690890183,30.599135297782709,25,22097,St. Landry,St. Landry,4,22,0,
-91.566279552330784,30.608100618006301,26,22077,Pte. Coupee,Pointe Coupee,2,22,0,
-92.160478993314911,31.677097247514745,27,22059,La Salle,La Salle,6,22,0,
-93.33503752092092,32.71399136439021,28,22119,Webster,Webster,7,22,0,
-90.796316651052578,30.026368884882807,29,22093,St. James,St. James,3,22,0,
-91.801777339943584,32.820481302126666,30,22067,Morehouse,Morehouse,8,22,0,
-92.533168561910259,31.199004246293399,31,22079,Rapides,Rapides,6,22,0,
-92.001381436599615,31.076505721171216,32,22009,Avoyelles,Avoyelles,6,22,0,
-92.63671724164152,31.944492820127905,33,22127,Winn,Winn,6,22,0,
-91.901468672709456,31.633728185099759,34,22025,Catahoula,Catahoula,6,22,0,
-91.062607700254816,29.900928896687322,35,22007,Assumption,Assumption,3,22,0,
-93.882494164548362,32.581055382725729,36,22017,Caddo,Caddo,7,22,3,
-90.040536868909669,30.8534813124854,37,22117,Washington,Washington,9,22,0,
-91.095623913083401,30.538450195160259,38,22033,EBR,East Baton Rouge,2,22,0,
-93.096290429009102,31.724242514438743,39,22069,Natchitoches,Natchitoches,7,22,0,
-93.05595259986525,32.34743045131777,40,22013,Bienville,Bienville,7,22,0,
-93.605157065896563,32.679626960920437,41,22015,Bossier,Bossier,7,22,1,
-92.82781799451422,30.653134519038726,42,22003,Allen,Allen,5,22,0,
-92.15483578119165,32.478511820854017,43,22073,Ouachita,Ouachita,8,22,0,
-90.710321851473608,30.822144168117362,44,22091,St. Helena,St. Helena,9,22,0,
-91.412634693033297,30.875891188629435,45,22125,W. Feliciana,West Feliciana,2,22,0,
-91.456684353744606,32.788789526800265,46,22123,W. Carroll,West Carroll,8,22,0,
-91.639988366856684,31.446404181188065,47,22029,Concordia,Concordia,6,22,0,
-91.312768128599885,30.463502367697419,48,22121,WBR,West Baton Rouge,2,22,0,
-91.245365161280048,32.367418569911216,49,22065,Madison,Madison,8,22,0,
-90.911287066464979,30.203619615380884,50,22005,Ascension,Ascension,2,22,1,
-92.41197034761862,30.290723901586421,51,22001,Acadia,Acadia,4,22,0,
-93.343263137957749,30.648745280255682,52,22011,Beauregard,Beauregard,5,22,0,
-91.67372253032832,32.133520342147904,53,22041,Franklin,Franklin,8,22,0,
-92.405888608516349,30.729183491615409,54,22039,Evangeline,Evangeline,4,22,0,
-93.184147756870601,31.108587192988168,55,22115,Vernon,Vernon,6,22,0,
-93.339919499774112,32.093279359729578,56,22081,Red River,Red River,7,22,0,
-92.323647605303364,29.846024782579629,57,22113,Vermilion,Vermilion,4,22,0,
-89.845533243351298,29.635516857822918,58,22075,Plaquemines,Plaquemines,1,22,0,
-91.451605236009058,29.723830418207076,59,22101,St. Mary,St. Mary,3,22,0,
-93.156546901188406,29.91877256905865,60,22023,Cameron,Cameron,5,22,0,
-91.753228951323692,29.968035844625071,61,22045,Iberia,Iberia,4,22,0,
-89.775735232736707,29.85726842951307,62,22087,St. Bernard,St. Bernard,1,22,2,
-90.847516835848467,29.437865794873151,63,22109,Terrebonne,Terrebonne,3,22,2,
-90.128148620728695,29.730429336649333,64,22051,Jefferson,Jefferson,1,22,21,
-0.738292968770999,-1.781183643347944,65,99999,Out of State,Out of State Resident,,,0,
-0.738292968770999,-1.781183643347944,66,00000,Parish_Unknown,Parish Under Investigation,,22,0,
