OBJECTID,COUNTY,DISTRICT,COUNTY_FIP,COUNTYNUM,CREATION_D,LAST_UPDAT,COVID19Cases,COVID19Deaths,COVID19Recovered,EOCStatus,Shape__Area,Shape__Length
1,Allegany,6,1,1,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,0,0,Enhanced,11812943337.8345,996397.319083119
2,Anne Arundel,5,3,2,2006-04-18T00:00:00.000Z,2006-04-18T00:00:00.000Z,3,0,0,Enhanced,11544544143.6242,3024562.12116599
3,Baltimore,4,5,3,2006-10-09T00:00:00.000Z,2006-10-09T00:00:00.000Z,6,0,0,Partial,16898994505.2337,2074628.62170575
4,Baltimore City,0,510,24,2006-04-18T00:00:00.000Z,2009-11-16T00:00:00.000Z,1,0,0,Full,2270274317.97229,506023.538653622
5,Calvert,5,9,4,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,0,0,Normal,5984033214.63669,980605.34629305
6,Caroline,2,11,5,2007-05-21T00:00:00.000Z,2008-07-30T00:00:00.000Z,0,0,0,Partial,8986005104.16516,633802.715873818
7,Carroll,7,13,6,2008-06-16T00:00:00.000Z,2012-01-17T00:00:00.000Z,1,0,0,Partial,12536663194.8345,843753.502490819
8,Cecil,2,15,7,2006-04-18T00:00:00.000Z,2008-08-20T00:00:00.000Z,0,0,0,Enhanced,9747340586.77875,1372551.96738531
9,Charles,5,17,8,2009-06-08T00:00:00.000Z,2009-06-08T00:00:00.000Z,1,0,0,Enhanced,12839796402.8245,1493021.22252475
10,Dorchester,1,19,9,2007-02-08T00:00:00.000Z,2007-02-22T00:00:00.000Z,0,0,0,Enhanced,15342838421.6308,5451603.21351297
11,Frederick,7,21,10,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,1,0,0,Enhanced,18512127280.1273,831233.472798622
12,Garrett,6,23,11,2007-05-15T00:00:00.000Z,2007-05-15T00:00:00.000Z,0,0,0,Enhanced,18298019323.159,712827.574978315
13,Harford,4,25,12,2006-10-09T00:00:00.000Z,2008-08-27T00:00:00.000Z,2,0,0,Enhanced,12257752036.8862,1288890.35179563
14,Howard,7,27,13,2006-11-16T00:00:00.000Z,2009-11-16T00:00:00.000Z,3,0,0,Partial,7022118181.2287,553398.883619296
15,Kent,2,29,14,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,0,0,Partial,7825775879.93402,1632419.76419729
16,Montgomery,3,31,15,2006-04-18T00:00:00.000Z,2008-08-27T00:00:00.000Z,24,0,0,Partial,13855263359.1635,1170044.64600035
17,Prince George's,3,33,16,2006-04-18T00:00:00.000Z,2006-04-18T00:00:00.000Z,14,0,0,Partial,13520789503.2735,1001103.08954352
18,Queen Anne's,2,35,17,2006-04-18T00:00:00.000Z,2008-05-12T00:00:00.000Z,0,0,0,Partial,10392630010.3857,2123251.51530878
19,Somerset,1,39,19,2007-01-08T00:00:00.000Z,2007-01-08T00:00:00.000Z,0,0,0,Enhanced,9006480683.40724,4451945.02875439
20,St. Mary's,5,37,18,2006-12-21T00:00:00.000Z,2007-04-10T00:00:00.000Z,0,0,0,Partial,10029865709.6719,2479306.67377435
21,Talbot,2,41,20,2007-04-05T00:00:00.000Z,2009-06-22T00:00:00.000Z,1,0,0,Enhanced,7537682653.3364,3122591.64816529
22,Washington,6,43,21,2010-01-28T00:00:00.000Z,2010-01-28T00:00:00.000Z,0,0,0,Partial,12779684245.7285,1082221.6708912
23,Wicomico,1,45,22,2007-11-26T00:00:00.000Z,2007-11-26T00:00:00.000Z,0,0,0,Enhanced,10585869029.5855,989987.400849276
24,Worcester,1,47,23,2007-11-27T00:00:00.000Z,2007-11-27T00:00:00.000Z,0,0,0,Enhanced,13228468192.9812,3793978.56778191
