X,Y,OBJECTID,PFIPS,Latitude,Longitude,LDHH,PARISH,Cases,Deaths,FID
-92.412,30.29072,1,22001,30.29072,-92.412,4,Acadia,0,0,1
-92.8278,30.65313,2,22003,30.65313,-92.8278,5,Allen,0,0,2
-90.9113,30.20362,3,22005,30.20362,-90.9113,2,Ascension,1,0,3
-91.0626,29.90093,4,22007,29.90093,-91.0626,3,Assumption,0,0,4
-92.0014,31.07651,5,22009,31.07651,-92.0014,6,Avoyelles,0,0,5
-93.3433,30.64875,6,22011,30.64875,-93.3433,5,Beauregard,0,0,6
-93.056,32.34743,7,22013,32.34743,-93.056,7,Bienville,0,0,7
-93.6052,32.67963,8,22015,32.67963,-93.6052,7,Bossier,1,0,8
-93.8825,32.58106,9,22017,32.58106,-93.8825,7,Caddo,4,0,9
-93.358,30.22941,10,22019,30.22941,-93.358,5,Calcasieu,0,0,10
-92.1166,32.09243,11,22021,32.09243,-92.1166,8,Caldwell,0,0,11
-93.1565,29.91877,12,22023,29.91877,-93.1565,5,Cameron,0,0,12
-91.9015,31.63373,13,22025,31.63373,-91.9015,6,Catahoula,0,0,13
-92.9957,32.82294,14,22027,32.82294,-92.9957,7,Claiborne,0,0,14
-91.64,31.4464,15,22029,31.4464,-91.64,6,Concordia,0,0,15
-93.7354,32.05723,16,22031,32.05723,-93.7354,7,De Soto,0,0,16
-91.0956,30.53845,17,22033,30.53845,-91.0956,2,East Baton Rouge,1,0,17
-91.235,32.73284,18,22035,32.73284,-91.235,8,East Carroll,0,0,18
-91.0455,30.84519,19,22037,30.84519,-91.0455,2,East Feliciana,0,0,19
-92.4059,30.72918,20,22039,30.72918,-92.4059,4,Evangeline,0,0,20
-91.6737,32.13352,21,22041,32.13352,-91.6737,8,Franklin,0,0,21
-92.5595,31.59987,22,22043,31.59987,-92.5595,6,Grant,0,0,22
-91.7532,29.96804,23,22045,29.96804,-91.7532,4,Iberia,0,0,23
-91.3602,30.21836,24,22047,30.21836,-91.3602,2,Iberville,0,0,24
-92.5578,32.30219,25,22049,32.30219,-92.5578,8,Jackson,0,0,25
-90.1281,29.73043,26,22051,29.73043,-90.1281,1,Jefferson,35,0,26
-92.8141,30.26795,27,22053,30.26795,-92.8141,5,Jefferson Davis,0,0,27
-92.1605,31.6771,28,22059,31.6771,-92.1605,6,La Salle,0,0,28
-92.0639,30.20687,29,22055,30.20687,-92.0639,4,Lafayette,0,0,29
-90.4363,29.57026,30,22057,29.57026,-90.4363,3,Lafourche,2,0,30
-92.6648,32.60175,31,22061,32.60175,-92.6648,8,Lincoln,0,0,31
-90.7392,30.45043,32,22063,30.45043,-90.7392,9,Livingston,0,0,32
-91.2454,32.36742,33,22065,32.36742,-91.2454,8,Madison,0,0,33
-91.8018,32.82048,34,22067,32.82048,-91.8018,8,Morehouse,0,0,34
-93.0963,31.72424,35,22069,31.72424,-93.0963,7,Natchitoches,0,0,35
-89.8826,30.06821,36,22071,30.06821,-89.8826,1,Orleans,136,4,36
-92.1548,32.47851,37,22073,32.47851,-92.1548,8,Ouachita,0,0,37
0,0,38,99999,0,0,,Out of State,0,0,38
0,0,39,0,0,0,,Parish Under Investigation,0,0,39
-89.8455,29.63552,40,22075,29.63552,-89.8455,1,Plaquemines,0,0,40
-91.5663,30.6081,41,22077,30.6081,-91.5663,2,Pointe Coupee,0,0,41
-92.5332,31.199,42,22079,31.199,-92.5332,6,Rapides,0,0,42
-93.3399,32.09328,43,22081,32.09328,-93.3399,7,Red River,0,0,43
-91.7328,32.46229,44,22083,32.46229,-91.7328,8,Richland,0,0,44
-93.5273,31.57194,45,22085,31.57194,-93.5273,7,Sabine,0,0,45
-89.7757,29.85727,46,22087,29.85727,-89.7757,1,St. Bernard,2,0,46
-90.3624,29.88399,47,22089,29.88399,-90.3624,3,St. Charles,3,0,47
-90.7103,30.82214,48,22091,30.82214,-90.7103,9,St. Helena,0,0,48
-90.7963,30.02637,49,22093,30.02637,-90.7963,3,St. James,0,0,49
-90.5468,30.07709,50,22095,30.07709,-90.5468,3,St. John the Baptist,1,0,50
-92.0058,30.59914,51,22097,30.59914,-92.0058,4,St. Landry,0,0,51
-91.7268,30.22836,52,22099,30.22836,-91.7268,4,St. Martin,0,0,52
-91.4516,29.72383,53,22101,29.72383,-91.4516,3,St. Mary,0,0,53
-89.9387,30.44685,54,22103,30.44685,-89.9387,9,St. Tammany,6,0,54
-90.412,30.64627,55,22105,30.64627,-90.412,9,Tangipahoa,0,0,55
-91.34,32.00193,56,22107,32.00193,-91.34,8,Tensas,0,0,56
-90.8475,29.43787,57,22109,29.43787,-90.8475,3,Terrebonne,3,0,57
-92.3749,32.8321,58,22111,32.8321,-92.3749,8,Union,0,0,58
-92.3236,29.84602,59,22113,29.84602,-92.3236,4,Vermilion,0,0,59
-93.1841,31.10859,60,22115,31.10859,-93.1841,6,Vernon,0,0,60
-90.0405,30.85348,61,22117,30.85348,-90.0405,9,Washington,1,0,61
-93.335,32.71399,62,22119,32.71399,-93.335,7,Webster,0,0,62
-91.3128,30.4635,63,22121,30.4635,-91.3128,2,West Baton Rouge,0,0,63
-91.4567,32.78879,64,22123,32.78879,-91.4567,8,West Carroll,0,0,64
-91.4126,30.87589,65,22125,30.87589,-91.4126,2,West Feliciana,0,0,65
-92.6367,31.94449,66,22127,31.94449,-92.6367,6,Winn,0,0,66
