OBJECTID_12,OBJECTID,Codigo,NUTS_0,NUTS_1,NUTS_2,Texto,TotalConfirmados,TotalFallecidos,TotalRecuperados,InfectadosLocales,InfectadosFuera,OBJECTID_1,PAD_2_CODIGO,PAD_2C02,PAD_2C03,PAD_2C04,PAD_2C05,PAD_2C06,PAD_2C07,PAD_2C08,PAD_2C09,PAD_2C10,PAD_2C11,PAD_2C12,PAD_2C13,PAD_2C14,PAD_2C15,PAD_2C16,PAD_2C17,PAD_2C18,PAD_2C19,PAD_2C20,PAD_2C21,PAD_2C22,PAD_2C23,PAD_2C24,PAD_2C25,PAD_2C26,PAD_2C27,PAD_2C28,PAD_2C29,PAD_2C30,PAD_2C31,PAD_2C32,PAD_2C33,PAD_2C34,PAD_2C35,PAD_2C36,PAD_2C37,PAD_2C38,PAD_2C39,PAD_2C40,PAD_2C41,PAD_2C42,PAD_2C43,PAD_2C44,PAD_2C45,PAD_2C46,PAD_2C47,PAD_2C48,PAD_2C49,PAD_2C50,PAD_2C51,PAD_2C52,PAD_2C53,PAD_2C54,PAD_2C55,PAD_2C56,PAD_2C57,PAD_2C58,Shape__Area,Shape__Length,UltimaActualizacion
1,1,01,ES,ES6,ES61,Andalucía,859,19,,,,1,01,8384408,394239,465623,478644,440123,448100,493518,542480,656642,699798,670069,653267,565586,465374,397204,351747,250818,216408,194768,4133898,202839,239630,245648,226960,230411,251677,272961,332228,354383,336125,323803,278480,226255,190100,162625,108791,85905,65077,4250510,191400,225993,232996,213163,217689,241841,269519,324414,345415,333944,329464,287106,239119,207104,189122,142027,130503,129691,139302894492.705,2635058.09712101,2020-03-18T11:03:55.276Z
2,2,02,ES,ES2,ES24,Aragón,226,13,,,,2,02,1308728,56517,64146,63803,59664,61034,65972,75953,95337,107718,103268,100148,92835,79413,70355,63231,46725,47401,55208,645498,28991,32936,32807,30920,31228,33537,38613,48635,55641,52848,50781,46508,39093,33838,29535,20857,19574,19156,663230,27526,31210,30996,28744,29806,32435,37340,46702,52077,50420,49367,46327,40320,36517,33696,25868,27827,36052,85224870865.0631,2032461.52552166,2020-03-18T11:03:55.276Z
3,3,03,ES,ES1,ES12,Principado de Asturias,242,1,,,,3,03,1028244,32470,40272,40179,37753,38442,43281,55041,72589,85405,81667,81618,82749,77164,68781,59862,39862,42529,48580,490738,16748,20548,20698,19488,19586,21879,27728,36099,42844,40673,39952,39881,36657,32393,26904,17126,16482,15052,537506,15722,19724,19481,18265,18856,21402,27313,36490,42561,40994,41666,42868,40507,36388,32958,22736,26047,33528,20019595252.5254,1234891.11505138,2020-03-18T11:03:55.276Z
4,4,04,ES,ES5,ES53,Illes Balears,112,1,1,,,4,04,1128908,53703,60201,59086,55092,58286,72438,83915,98901,103121,93889,84229,71606,59602,52112,43692,29832,24781,24422,561803,27636,30877,30321,28389,29382,35909,41779,50589,53708,48554,42595,35490,28998,25231,20689,13527,10164,7965,567105,26067,29324,28765,26703,28904,36529,42136,48312,49413,45335,41634,36116,30604,26881,23003,16305,14617,16457,8397658655.32776,1885856.05058234,2020-03-18T11:03:55.276Z
5,5,05,ES,ES7,ES70,Canarias,181,3,1,,,5,05,2127685,81313,98822,109893,108627,114381,133831,144743,174230,191855,192116,179249,147724,119371,100232,83590,59291,47715,40702,1054032,41571,50725,56364,56069,57351,66999,71588,87335,97904,97929,90263,73361,58563,48840,39346,26635,19405,13784,1073653,39742,48097,53529,52558,57030,66832,73155,86895,93951,94187,88986,74363,60808,51392,44244,32656,28310,26918,9620551789.77588,2023696.52358806,2020-03-18T11:03:55.276Z
6,6,06,ES,ES1,ES13,Cantabria,68,1,,,,6,06,580229,22370,27857,27817,24816,23886,26845,32925,44405,49521,46618,45321,43918,39344,34554,28165,19559,19693,22615,281564,11438,14340,14142,12636,12351,13591,16517,22272,24890,23357,22414,21547,19068,16515,13070,8526,7792,7098,298665,10932,13517,13675,12180,11535,13254,16408,22133,24631,23261,22907,22371,20276,18039,15095,11033,11901,15517,10025234095.5786,1031495.22418772,2020-03-18T11:03:55.276Z
7,7,07,ES,ES4,ES41,Castilla y León,668,22,,,,7,07,2409164,84576,100854,102920,99650,103719,112386,129264,161264,182469,185827,192874,186946,162576,143336,128680,100378,103957,127488,1186363,43637,51858,52568,51226,53156,58083,66109,82294,92670,94178,97041,94670,82719,71721,61588,45304,43075,44466,1222801,40939,48996,50352,48424,50563,54303,63155,78970,89799,91649,95833,92276,79857,71615,67092,55074,60882,83022,169496454179.516,3654831.99212245,2020-03-18T11:03:55.276Z
8,8,08,ES,ES4,ES42,Castilla-La Mancha,675,28,,,,8,08,2026807,90882,108458,108695,103114,105952,113710,126026,154733,166441,160170,156167,140708,109163,94558,82351,64700,66723,74256,1014199,46676,55808,55825,53183,54652,58388,64475,80224,86360,81883,79876,71925,55128,46545,38949,28625,27923,27754,1012608,44206,52650,52870,49931,51300,55322,61551,74509,80081,78287,76291,68783,54035,48013,43402,36075,38800,46502,133976154613.428,2988485.30495986,2020-03-18T11:03:55.276Z
9,9,09,ES,ES5,ES51,Cataluña,1866,41,,,,9,09,7600065,354069,413176,409889,371304,371410,419825,478061,602054,672025,609553,558680,491638,426960,385648,338892,236415,224363,236103,3730326,182254,212908,210758,191981,189832,209766,237288,305401,345033,311376,280313,239870,204947,181078,155276,104652,90488,77105,3869739,171815,200268,199131,179323,181578,210059,240773,296653,326992,298177,278367,251768,222013,204570,183616,131763,133875,158998,57842311487.7522,2068757.00302441,2020-03-18T11:03:55.276Z
10,10,10,ES,ES5,ES52,Comunitat Valenciana,726,22,,,,10,10,4963703,217282,260123,266123,242011,241796,262929,298784,386641,429533,403088,381058,339781,287916,264348,232627,172254,143263,134146,2446383,112074,134096,136518,124401,123975,133079,149883,196433,220405,205612,191096,166590,138369,125168,107694,76768,58838,45384,2517320,105208,126027,129605,117610,117821,129850,148901,190208,209128,197476,189962,173191,149547,139180,124933,95486,84425,88762,39013806530.1338,1803451.50356103,2020-03-18T11:03:55.276Z
11,11,11,ES,ES4,ES43,Extremadura,194,6,,,,11,11,1072863,43438,51107,52692,53281,57091,62753,65610,74752,79836,82722,86706,80626,63051,54429,49563,37091,39038,39077,531255,22193,26462,26903,27184,29348,32355,33886,37933,40582,41700,43652,41274,32168,26964,23235,16086,15825,13505,541608,21245,24645,25789,26097,27743,30398,31724,36819,39254,41022,43054,39352,30883,27465,26328,21005,23213,25572,69424051652.3906,1724474.7609309,2020-03-18T11:03:55.276Z
12,12,12,ES,ES1,ES11,Galicia,341,3,,,,12,12,2701743,97430,112798,112715,106191,110281,126563,151674,201308,224690,213519,202727,193656,175261,165222,154632,114284,116687,122105,1300609,50147,58300,57773,54645,56321,64185,75922,100837,112290,105664,99260,94425,84527,78666,71023,49765,46457,40402,1401134,47283,54498,54942,51546,53960,62378,75752,100471,112400,107855,103467,99231,90734,86556,83609,64519,70230,81703,54890792535.0703,3075279.13870617,2020-03-18T11:03:55.276Z
13,13,13,ES,ES3,ES30,Comunidad de Madrid,5637,390,,,,13,13,6578079,320026,355467,344185,314696,322272,375579,439372,536229,593320,542464,495702,427017,357495,317844,278879,196917,174724,185891,3147872,164127,182684,176330,160954,161097,183107,213309,263243,293518,266134,238693,201571,164019,143852,123646,84364,68095,59129,3430207,155899,172783,167855,153742,161175,192472,226063,272986,299802,276330,257009,225446,193476,173992,155233,112553,106629,126762,13901298811.0143,997241.622190303,2020-03-18T11:03:55.276Z
14,14,14,ES,ES6,ES62,Región de Murcia,122,0,,,,14,14,1478509,79578,89545,89331,81888,80777,87379,96395,123074,128734,118336,110124,91900,72938,63437,54377,41210,35906,33580,740143,40955,46157,46086,42043,41609,44464,48685,64231,67777,61004,55799,45670,35661,30186,25104,18159,14742,11811,738366,38623,43388,43245,39845,39168,42915,47710,58843,60957,57332,54325,46230,37277,33251,29273,23051,21164,21769,18250070913.3211,924896.652056495,2020-03-18T11:03:55.276Z
15,15,15,ES,ES2,ES22,Comunidad Foral de Navarra,386,3,,,,15,15,647554,31011,35586,34624,32838,32213,32594,37103,48077,54617,51917,49042,43759,37737,33473,29847,21276,19413,22427,320469,15789,18386,17697,16800,16308,16472,18701,24295,28039,26746,24869,22017,18730,16334,14143,9663,8113,7367,327085,15222,17200,16927,16038,15905,16122,18402,23782,26578,25171,24173,21742,19007,17139,15704,11613,11300,15060,19290430805.6213,1124671.5864665,2020-03-18T11:03:55.276Z
16,16,16,ES,ES2,ES21,País Vasco,973,40,,,,16,16,2199088,93900,107939,105389,96506,92585,100418,121484,157608,184163,176081,173387,162611,142916,128831,115074,80555,77392,82249,1068750,48187,55643,54156,49893,47340,50441,60951,79552,93770,89244,85995,79019,68940,61152,52774,35367,30679,25647,1130338,45713,52296,51233,46613,45245,49977,60533,78056,90393,86837,87392,83592,73976,67679,62300,45188,46713,56602,13477175025.3745,1379195.96400892,2020-03-18T11:03:55.276Z
17,17,17,ES,ES2,ES23,La Rioja,419,5,,,,17,17,315675,13991,16273,16082,14653,14402,15607,18071,23728,26707,25032,23926,22541,19277,16595,14863,10860,10618,12449,155758,7235,8379,8184,7518,7205,7789,8976,12080,13702,12854,11939,11274,9666,8257,7055,4994,4374,4277,159917,6756,7894,7898,7135,7197,7818,9095,11648,13005,12178,11987,11267,9611,8338,7808,5866,6244,8172,9220827622.12421,780720.802885702,2020-03-18T11:03:55.276Z
