"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","Residents in Federal Quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","","",""
"Alameda","34","0","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","",""
"Alpine","0","0","https://www.alpinecountyca.gov/CivicAlerts.aspx?AID=268","","","","","","","","","","","","","","","","","","","","",""
"Amador","1","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","",""
"Butte","0","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","","","","","","","","","","","","","","",""
"Calaveras","2","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","",""
"Colusa","0","0","http://countyofcolusa.org/CivicAlerts.aspx?AID=422&ARC=1141","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","41","0","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","","24","9","15","0","","","","","","","","","","","","","","","",""
"El Dorado","0","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19.aspx","","","","","","","","","","","","","","","","","","","","",""
"Fresno","3","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","","","","","","3","","","","","","","","","","","","","",""
"Glenn","0","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","","","","","","","","","","","","","","","","","","","",""
"Humboldt","1","0","https://humboldtgov.org/2018/Humboldt-Health-Alert","","45","","43","1","1","","","","","","1","","","","","","","","",""
"Imperial","2","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","Negative results include results from public laboratories.","39","8","29","2","","","","","","","","","","","","","","","",""
"Inyo","0","0","https://www.inyocounty.us/services/health-human-services/public-health-and-prevention-division/public-health-updates","","","","","","","","","","","","","","","","","","","","",""
"Kern","2","0","https://kernpublichealth.com/2019-novel-coronavirus/","","","192","76","3","","","","","","","","","","","1","30","22","","",""
"Kings","0","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","","51","","","","","","","","","","","","","","","5","","","",""
"Lake","0","0","http://www.lakecountyca.gov/Government/PressReleases/","They say they've tested ""a few dozen people""","","","","","","","","","","","","","","","","","","","",""
"Lassen","0","0","http://www.lassencounty.org/government/news/public-health","","","","","","","","","","","","","","","","","","","","",""
"Los Angeles","190","1","http://publichealth.lacounty.gov/media/Coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"Madera","1","0","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","","","","","","","","","","","","","","",""
"Marin","15","0","https://www.marinhhs.org/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Mariposa","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","","18","12","8","0","","","","","","","","","","","","","","","",""
"Mendocino","1","0","https://www.mendocinocounty.org/community/novel-coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Merced","0","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","27","","","","","","","","","","","","","","","","","","",""
"Modoc","0","0","https://modochealthservices.org/","","","","","","","","","","","","","","","","","","","","",""
"Mono","0","0","https://www.inyocounty.us/services/health-human-services/public-health-and-prevention-division/public-health-updates/news","","","","","","","","","","","","","","","","","","","","",""
"Monterey","2","0","https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data","They've performed nearly 100 tests","","","","","","","","","","","","","","","","","","","",""
"Napa County","0","0","https://www.countyofnapa.org/2739/Coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Nevada","1","0","https://www.mynevadacounty.com/2924/Coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Orange","42","0","http://www.ochealthinfo.com/phs/about/epidasmt/epi/dip/prevention/novel_coronavirus","","457","","","","","22","","7","12","1","","","","","","","","","",""
"Placer","9","1","https://www.placer.ca.gov/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Plumas","0","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","","16","6","10","0","","","","","","","","","","","","","","","",""
"Riverside","16","3","https://www.rivcoph.org/coronavirus","","","","","","","4","12","","","","","","","","","","","","",""
"Sacramento","40","2","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","","","","","","","","","","","","","","","","",""
"San Benito County","5","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","","","","","","","","","","","2","","","","","","","","",""
"San Bernardino","5","0","http://wp.sbcounty.gov/dph/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"San Diego County","67","0","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","11","","5","8","","","","",""
"San Francisco","70","0","https://www.sfdph.org/dph/alerts/coronavirus.asp","","","","","","","","","","","","","","","","","","","","",""
"San Joaquin","15","2","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","6","0","https://www.slocounty.ca.gov/Departments/Health-Agency/Public-Health/Department-News/COVID-19-Updates.aspx","","","","","","","","","","","","","","","","","","","","",""
"San Mateo County","89","1","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","3","0","https://publichealthsbc.org/","","","","","","","","","","","","","","","","","","","","",""
"Santa Clara","175","6","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx","","","","","","","18","","38","70","","","56","","","","","","","",""
"Santa Cruz","14","0","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","",""
"Shasta","1","0","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","","","","","","","1","","","","","","","","","","","","","",""
"Sierra County","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","1","1","","","","","","","","","","","","","","","","","",""
"Siskiyou County","0","0","https://www.co.siskiyou.ca.us/publichealth","","9","5","4","","","","","","","","","","","","","","","","",""
"Solano County","8","0","http://www.solanocounty.com/depts/ph/ncov.asp","","","","","","","","","","","","","","","","","","","","",""
"Sonoma","8","0","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","","196","","","","","","","","","","","","","","","","","","",""
"Stanislaus County","5","0","http://schsa.org/publichealth/pages/corona-virus/","","","","","","","","","","","","","","","","","","","","",""
"Sutter","0","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Tehama","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","",""
"Trinity","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Tulare","5","0","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/tulare-county-health-report/","","","","","","","","","","","","","","","","","","","","",""
"Tuolumne County","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","46","23","23","0","","","","","","","","","","","","","","","",""
"Ventura","13","0","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","","",""
"Yolo County","5","0","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","",""
"Yuba","0","0","https://www.yuba.org/departments/emergency_services/coronavirus.php","","","","","","","","","","","","","","","","","","","","",""
