"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","","",""
"Alameda","70","0","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","",""
"Alpine","0","0","https://www.alpinecountyca.gov/CivicAlerts.aspx?AID=268","","","","","","","","","","","","","","","","","","","","",""
"Amador","2","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","",""
"Butte","0","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","","","","","","","","","","","","","","",""
"Calaveras","2","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","",""
"Colusa","0","0","http://countyofcolusa.org/CivicAlerts.aspx?AID=422&ARC=1141","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","51","1","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","","28","13","15","0","","","","","","","","","","","","","","","",""
"El Dorado","2","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19.aspx","they say there are ""more than 50"" pending results","","","66","2","","","","","","","","","","","","","","","",""
"Fresno","6","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","","","","","","5","","1","","","","","","","","","","","",""
"Glenn","0","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","","","","","","","","","","","","","","","","","","","",""
"Humboldt","2","0","https://humboldtgov.org/2018/Humboldt-Health-Alert","","71","","68","2","1","","","","","","1","","","","","","","","",""
"Imperial","4","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*Includes results from private laboratories. ∞Pending results for Public Health Laboratory testing only.","53","18","31","4","","","","","","","","","","","","","","","",""
