"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","",""
"Alameda","122","1","http://www.acphd.org/2019-ncov.aspx","100 in Alameda County (excluding Berkeley), plus 6 in Berkeley","","","","","","","","","","","","","","","","","","BANG","","",""
"Alpine","0","0","https://www.alpinecountyca.gov/CivicAlerts.aspx?AID=268","","","","","","","","","","","","","","","","","","","","","",""
"Amador","2","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","","",""
"Butte","3","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","","","","","","","","","","","","","","","",""
"Calaveras","2","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","","",""
"Colusa","0","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","71","1","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","BANG","","",""
"Del Norte","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","","35","9","26","0","","","","","","","","","","","","","","","","",""
"El Dorado","2","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","","","66","2","","","","","","","","","","","","","","","","",""
"Fresno","6","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","","","","","","5","","1","","","","","","","","","","","","",""
"Glenn","0","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","4","0","4","0","","","","","","","","","","","","","","","","",""
"Humboldt","2","0","https://humboldtgov.org/2018/Humboldt-Health-Alert","","109","","106","2","1","","","","","","1","","","","","","","","","",""
"Imperial","6","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*Includes results from private laboratories. ∞Pending results for Public Health Laboratory testing only.","53","11","36","6","","","","","","","","","","","","","","","","",""
"Inyo","0","0","https://www.inyocounty.us/coronavirus-covid-19-response/press-releases-and-daily-updates","","32","22","10","0","","","","","","","","","","","","","","","","",""
"Kern","13","0","https://kernpublichealth.com/2019-novel-coronavirus/","1 of the positive cases is a non-resident","496","296","187","13","","","","","","","","","","","1","8","","","","",""
"Kings","0","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","","67","","62","","","","","","","","","","","","","8","","","","",""
"Lake","0","0","http://health.co.lake.ca.us/Coronavirus.htm","35-40 people tested","","","","","","","","","","","","","","","","","","","","",""
"Lassen","0","0","http://www.lassencounty.org/government/news/public-health","","5","","5","","","","","","","","","","","","","","","","","",""
"Los Angeles","543","7","http://publichealth.lacounty.gov/media/Coronavirus/","","","","","","","","","","","","","90","","","","","","SCNG","","",""
"Madera","5","0","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","","","","","","1","","","","","","","","","",""
"Marin","38","0","https://www.marinhhs.org/coronavirus","","430","","","","","","","","","","","4","","","","","","BANG","","",""
"Mariposa","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","","23","11","12","0","","","","","","","","","","","","","","","","",""
"Mendocino","1","0","https://www.mendocinocounty.org/community/novel-coronavirus","","99","52","46","1","","","","","","","","","","","","","","","","",""
"Merced","1","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","37","8","28","1","","1","","","","","","","","","","","","","","",""
"Modoc","0","0","https://modochealthservices.org/","","9","6","3","0","","","","","","","","","","","","","","","","",""
"Mono","1","0","https://coronavirus.monocounty.ca.gov/","","53","33","19","1","","","","","","","","","","","","","","","","",""
"Monterey","14","1","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site.","271","","","","","5","","4","4","1","","","","","","","","","","",""
"Napa County","2","0","https://insight.livestories.com/s/v2/new-story/c0872bae-6127-4036-aea4-ad779a801a71","","95","","","","","","","","","","","","","","","35","","BANG","","",""
"Nevada","3","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","1","","","","","","","","","","","",""
"Orange","125","0","http://www.ochealthinfo.com/phs/about/epidasmt/epi/dip/prevention/novel_coronavirus","","1776","","","","","43","","11","38","33","","","","","","","","SCNG","","",""
"Placer","20","1","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","","","",""
"Plumas","0","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","","32","16","16","0","","","","","","","","","","","","","","","","",""
"Riverside","48","6","https://www.rivcoph.org/coronavirus","","","","","","","4","24","","","20","","","","","","","","SCNG","","",""
"Sacramento","88","4","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","","","","","","","","","","","","","","","","","",""
"San Benito County","6","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","","","","","","","","","","","2","","","","","","","SCNG","","",""
"San Bernardino","17","0","http://wp.sbcounty.gov/dph/coronavirus/","","","","","","","","","","","","","","","","","","","","","",""
"San Diego County","205","1","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","This includes residents in federal quarantine and non-residents tested positive.","","","","","","","","","","","","41","15","11","16","","","","","",""
"San Francisco","131","0","https://www.sfdph.org/dph/alerts/coronavirus.asp","","","","","","","","","","","","","","","","","","","BANG","","",""
"San Joaquin","51","2","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","33","0","https://www.emergencyslo.org/en/covid19.aspx","","","","","","","","","","","","","","","","","","","","","",""
"San Mateo County","142","1","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Barbara","18","0","https://publichealthsbc.org/","","493","245","229","18","1","","","","","","","","","","","","","","","",""
"Santa Clara","321","13","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx","","","","","","","22","","75","77","","","108","","","","","","BANG","","",""
"Santa Cruz","22","0","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","BANG","","",""
"Shasta","2","0","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","","","","","","","1","","","","","","","","","","","","","","",""
"Sierra County","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","3","1","2","0","","","","","","","","","","","","","","","","",""
"Siskiyou County","2","0","https://www.co.siskiyou.ca.us/publichealth","","33","17","14","2","","","","","","","","","","","","","","","","",""
"Solano County","21","0","http://www.solanocounty.com/depts/ph/ncov.asp","","","","","","","","","","","","","","","","","","","BANG","","",""
"Sonoma","29","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","","25","475","29","","5","","3","6","15","1","","","","","","","BANG","","",""
"Stanislaus County","10","0","http://schsa.org/publichealth/pages/corona-virus/","","","","","","","","","","","","","","","","","","","","","",""
"Sutter","0","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent.","","","","","","","","","","","","","","","","","","","","",""
"Tehama","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","","",""
"Trinity","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","","",""
"Tulare","16","0","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/tulare-county-health-report/","","","","","","","","","","","","","","","","","","","","","",""
"Tuolumne County","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","93","27","66","0","","","","","","","","","","","","","","","","",""
"Ventura","35","1","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","","","",""
"Yolo County","6","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","","",""
"Yuba","3","0","https://www.yuba.org/departments/emergency_services/coronavirus.php","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","","","",""
