"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","updated","",""
"Alameda","135","2","http://www.acphd.org/2019-ncov.aspx","100 in Alameda County (excluding Berkeley), plus 6 in Berkeley","","","","","","","","","","","","","","","","","","","",""
"Alpine","0","0","http://alpinecountyca.gov/Index.aspx?NID=516","","","","","","","","","","","","","","","","","","","","",""
"Amador","2","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","",""
"Butte","4","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","2","","","","","","","","","",""
"Calaveras","2","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","",""
"Colusa","0","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","86","1","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","","35","5","30","0","","","","","","","","","","","","","","","",""
"El Dorado","3","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","","","66","2","","","","","","","","","","","","","","","",""
"Fresno","18","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","","","","","","6","","2","","10","","","","","","","","","",""
"Glenn","0","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","4","0","4","0","","","","","","","","","","","","","","","",""
"Humboldt","4","0","https://humboldtgov.org/2018/Humboldt-Health-Alert","","","","","","","","","","","","1","","","","","","","","",""
"Imperial","6","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","73","30","37","6","","","","","","","","","","","","","","","",""
"Inyo","0","0","https://www.inyocounty.us/coronavirus-covid-19-response/press-releases-and-daily-updates","","34","16","18","0","","","","","","","","","","","","","","","",""
"Kern","15","0","https://kernpublichealth.com/2019-novel-coronavirus/","1 of the positive cases is a non-resident","552","335","202","13","","","","","","","","","","","1","4","","","",""
"Kings","0","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","67","","62","","","","","","","","","","","","","8","","","",""
"Lake","0","0","http://health.co.lake.ca.us/Coronavirus.htm","35-40 people tested","","","","","","","","","","","","","","","","","","","",""
"Lassen","0","0","http://www.lassencounty.org/government/news/public-health","","13","7","6","","","","","","","","","","","","","","","","",""
"Los Angeles","665","11","http://publichealth.lacounty.gov/media/Coronavirus/","We are getting slightly higher numbers than the LA County Public Health page because our reporters in the South Bay are adding changes throughout the day between LA's scheduled updates.","","","","","","","","","","","","90","","","","","","","",""
"Madera","5","0","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","","","","","","1","","","","","","","","",""
"Marin","53","0","https://www.marinhhs.org/coronavirus","","527","","","","","","","","","","","5","","","","","","","",""
"Mariposa","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","24","10","14","0","","","","","","","","","","","","","","","",""
"Mendocino","2","0","https://www.mendocinocounty.org/community/novel-coronavirus","","124","47","75","2","","","","","","","","","","","","","","","",""
"Merced","1","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","46","13","32","1","","1","","","","","","","","","","","","","",""
"Modoc","0","0","https://modochealthservices.org/","","9","6","3","0","","","","","","","","","","","","","","","",""
"Mono","1","0","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","53","33","19","1","","","","","","","","","","","","","","","",""
"Monterey","20","1","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site.","271","","","","","6","","5","4","5","","","","","","","","","",""
"Napa County","3","0","https://insight.livestories.com/s/v2/new-story/c0872bae-6127-4036-aea4-ad779a801a71","One of the positive cases is from the Grand Princess, two are residents.","116","","","","","","","","","","","","","","1","41","","","",""
