OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length
1,08,109,08109,SAGUACHE,Saguache,Saguache County,0,6829,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,13273871024.1289,529491.079018544
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,2491281577.11719,208249.56871408
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1867,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,7613550869.75391,373455.831824096
4,08,027,08027,CUSTER,Custer,Custer County,0,4934,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,3100361575.17578,290994.589030107
5,08,067,08067,LA PLATA,La Plata,La Plata County,1,56446,-1,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,6966607866.58203,371001.027724019
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,747,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,1611963627.42969,209303.346789561
7,08,097,08097,PITKIN,Pitkin,Pitkin County,18,17926,100.41,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,4204962607.14063,360368.050497512
8,08,093,08093,PARK,Park,Park County,1,18545,-1,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,9525822458.41406,477017.520520283
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,0,16178,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,2987314188.43359,224661.437209443
10,08,099,08099,PROWERS,Prowers,Prowers County,0,12076,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,6861386117.78516,333326.752196427
11,08,081,08081,MOFFAT,Moffat,Moffat County,0,13201,0,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,21378597682.3633,615436.363722786
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,73,579877,12.59,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,3379799618.59766,374132.11754513
13,08,117,08117,SUMMIT,Summit,Summit County,10,30978,32.28,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,2707648429.75781,325660.775440309
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,3,167081,-1,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,10064732291.2969,426421.345889861
15,08,013,08013,BOULDER,Boulder,Boulder County,49,325520,15.05,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,3280791024.07031,290982.502053684
16,08,031,08031,DENVER,Denver,Denver County,176,717862,24.52,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,680063925.65625,341638.127461467
17,08,085,08085,MONTROSE,Montrose,Montrose County,3,42280,-1,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,9473395348.78906,544456.741798932
18,08,037,08037,EAGLE,Eagle,Eagle County,96,54895,174.88,5695430,18,912,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 23, 2020",7701,84,11,35,16.01,7395854605.48047,390147.77807481
