OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_TravelYes,C_TravelNo,C_TravelUnkn,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_PendRes,T_PendNotRes,T_total,T_negative,T_pending,T_positive,FLandNonFLDeaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,12,2,0,1,2,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 to 78,42,NA,0,0,5,7,0,12,0,0,1,11,0,0,0,0,0,0,0,0,12,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,12,0,0,0,0,0,0.0858306455302227,1.42926667474908
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,172,5,2,14,23,24,26,32,20,20,6,0,0,0,1,0,0,0,0,3,1,0,0,0 to 96,50,23 to 82,5,0,107,64,1,171,1,0,72,90,10,1,3,1,3,2,0,0,127,5,121,1,45,9,16,56,5,2,3,1,1,3,5,0,0,121,1,45,0,172,122,45,5,0,0,0,0.19954202109966,2.24642787127675
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,21,0,0,1,1,4,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22 to 81,53,NA,0,0,11,10,0,21,0,0,2,19,0,0,0,0,0,0,0,0,21,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,21,0,0,0,0,0,0.251180544361659,2.5842937884235
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,126,4,9,7,23,19,28,22,8,6,0,0,0,0,1,2,2,4,2,3,4,0,0,3 to 83,42,24 to 83,18,0,72,52,2,124,1,1,52,53,21,12,1,5,14,1,3,0,106,18,88,0,20,26,6,31,18,5,13,9,9,0,17,0,1,87,1,20,0,126,88,20,18,0,69,26,0.223073367498728,3.21429589964413
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,6,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 84,59,NA,0,0,3,3,0,6,0,0,0,4,2,0,0,0,0,0,0,0,6,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,1,1,0.139649278891739,1.88103049664632
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,1187,19,26,95,184,184,180,175,173,105,39,7,0,1,13,13,13,12,25,38,23,3,0,0 to 104,49,6 to 88,134,0,663,503,21,1172,14,1,59,1080,48,19,80,42,43,74,24,3,1166,141,1025,0,21,55,39,51,141,85,55,31,26,84,133,7,1,1018,7,21,0,1187,1025,21,141,3,96,40,0.517626395411526,4.37197700916443
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,149,2,7,12,24,24,24,25,19,7,5,0,0,0,1,2,1,2,1,0,2,0,0,0 to 92,46,19 to 77,8,0,86,63,0,147,2,0,18,120,11,7,0,2,9,0,0,0,136,9,127,0,13,18,4,6,9,4,5,2,7,0,8,1,0,126,1,13,0,149,127,13,9,0,16,12,0.136812390149089,2.40436561248543
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,383,15,18,19,48,58,56,68,63,29,8,1,0,0,0,3,2,4,2,7,0,0,0,0 to 93,49,32 to 73,17,0,227,155,1,375,8,0,53,303,27,11,3,4,13,1,4,1,362,18,344,0,21,52,38,17,18,9,9,11,6,1,17,1,0,339,5,19,2,383,344,21,18,1,81,47,0.181730911146815,2.21152384025129
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,26,2,0,1,6,2,5,3,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0 to 90,47,54 to 54,1,0,17,9,0,25,0,1,3,20,3,0,1,0,0,1,0,0,26,1,25,0,0,1,3,2,1,1,0,1,0,0,0,0,1,25,0,0,0,26,25,0,1,0,0,0,0.128633605824916,2.03339191189709
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,265,5,4,33,53,37,35,46,34,12,6,0,0,0,0,2,2,1,3,0,0,0,0,0 to 95,46,31 to 59,6,0,157,106,2,261,3,1,6,243,16,3,0,5,6,0,2,0,256,8,248,0,9,4,18,5,8,3,5,8,0,0,5,2,1,247,1,9,0,265,248,9,8,0,35,12,0.170704044219292,2.4286163213721
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,8,2,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 63,39,NA,0,0,3,5,0,8,0,0,1,7,0,0,0,0,0,0,0,0,8,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8,0,0,0,6,0,0.148496656273664,2.20493094417238
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,16,0,0,1,4,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 to 73,47,NA,0,0,13,3,0,16,0,0,1,15,0,0,0,0,0,0,0,0,15,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,16,15,1,0,0,0,0,0.174026329932531,2.16969164096843
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76 to 76,76,NA,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.204641327119816,3.02097391915482
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,9,0,0,3,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23 to 93,57,NA,0,0,3,6,0,9,0,0,2,7,0,0,0,0,0,0,0,0,9,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,2,1,0.126367835571273,2.3015236638577
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,57,2,3,3,11,5,9,11,6,6,1,0,0,0,0,0,0,1,1,1,0,0,0,0 to 90,47,47 to 74,2,0,32,25,0,55,2,0,9,29,19,2,0,1,2,0,1,0,54,3,51,0,3,9,12,8,3,2,1,2,1,0,2,1,0,50,1,3,0,57,51,3,3,0,2,0,0.181027420621376,5.42268519828761
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,73,4,5,6,6,9,11,10,12,9,1,0,0,0,0,0,0,2,0,1,0,0,0,1 to 118,48,46 to 70,3,0,35,38,0,71,2,0,19,50,4,0,3,0,3,0,0,0,48,3,45,0,25,18,5,7,3,1,2,0,3,0,3,0,0,44,1,24,1,73,45,25,3,0,1,1,0.193837653608398,2.63367861758089
