OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,PUI_FLRes,PUI_NonRes,C_AllResTypes,C_FLResOnly,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUIFLResOut,PUINotFLRes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths1,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,19,3,0,2,2,5,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 to 78,40,NA,19,0,0,0,11,8,0,19,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,19,0,19,19,0,0,0,0,0.0858306455302227,1.42926667474908
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,188,7,3,14,24,28,29,35,22,20,6,0,0,0,2,0,2,3,0,4,1,0,0,0 to 96,49,22 to 82,175,1,12,12,119,68,1,187,1,0,1,10,1,10,2,0,0,188,12,175,1,21,12,6,6,12,0,0,175,1,200,176,12,0,1,1,0.19954202109966,2.24642787127675
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,28,0,0,2,4,5,5,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 81,50,NA,28,0,0,0,12,16,0,28,0,0,0,0,0,0,0,0,0,28,0,28,0,5,0,0,0,0,0,0,28,0,28,28,0,0,1,1,0.251180544361659,2.5842937884235
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,162,4,11,11,29,25,34,27,12,9,0,0,0,0,2,3,3,5,3,4,5,0,0,3 to 83,43,24 to 83,137,0,25,21,98,63,1,157,4,1,16,2,7,19,2,4,0,162,25,137,0,34,25,11,14,21,3,1,136,1,180,137,25,0,88,38,0.223073367498728,3.21429589964413
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,8,0,0,2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 84,54,NA,8,0,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,8,0,8,0,1,0,0,0,0,0,0,8,0,8,8,0,0,1,0,0.139649278891739,1.88103049664632
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,1657,26,38,136,245,252,252,250,250,150,50,8,0,1,23,19,25,24,37,60,42,10,0,0 to 104,49,6 to 92,1416,0,241,230,915,711,31,1639,16,2,36,146,59,76,131,34,5,1657,241,1416,0,69,241,131,104,230,9,2,1409,7,1692,1416,241,5,304,226,0.517626395411526,4.37197700916443
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,237,6,8,21,38,34,37,42,32,13,6,0,0,0,1,2,2,2,5,2,2,1,0,0 to 95,47,19 to 95,220,0,17,15,131,103,3,234,3,0,9,2,6,13,1,3,1,237,17,220,0,25,17,9,8,15,2,0,219,1,251,220,17,1,38,34,0.136812390149089,2.40436561248543
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,584,17,22,34,70,87,94,107,95,45,13,0,0,0,2,4,3,6,3,7,0,0,0,0 to 95,49,21 to 73,558,1,25,24,355,229,0,577,7,0,14,6,5,18,2,5,1,584,25,558,1,58,25,11,14,24,1,0,552,6,598,558,25,1,117,53,0.181730911146815,2.21152384025129
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,35,2,0,1,7,5,7,4,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0 to 90,48,54 to 54,34,0,1,0,21,14,0,34,0,1,0,1,0,0,1,0,0,35,1,34,0,1,1,1,0,0,0,1,34,0,35,34,1,0,0,0,0.128633605824916,2.03339191189709
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,377,8,7,51,71,57,50,65,46,16,6,0,0,0,1,4,5,1,4,0,0,0,0,0 to 95,45,19 to 60,362,0,15,12,231,145,1,373,3,1,7,0,8,13,0,2,0,377,15,362,0,9,15,8,7,12,2,1,361,1,379,362,15,0,77,51,0.170704044219292,2.4286163213721
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,10,2,1,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 63,34,NA,10,0,0,0,4,6,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0,1,0,0,0,0,0,0,10,0,10,10,0,0,7,1,0.148496656273664,2.20493094417238
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,20,0,0,1,4,1,6,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21 to 85,51,NA,20,0,0,0,15,5,0,20,0,0,0,0,0,0,0,0,0,20,0,20,0,2,0,0,0,0,0,0,20,0,20,20,0,0,0,0,0.174026329932531,2.16969164096843
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29 to 76,52,NA,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0.204641327119816,3.02097391915482
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,13,0,0,3,0,3,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,23 to 93,58,NA,13,0,0,0,5,8,0,13,0,0,0,0,0,0,0,0,0,13,0,13,0,3,0,0,0,0,0,0,13,0,15,13,0,0,2,0,0.126367835571273,2.3015236638577
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,74,2,3,3,15,7,12,17,7,7,1,0,0,0,0,0,1,1,1,1,0,0,0,0 to 90,48,44 to 74,70,0,4,3,40,33,1,72,2,0,3,0,1,3,0,1,0,74,4,70,0,10,4,3,1,3,1,0,69,1,77,70,4,0,5,3,0.181027420621376,5.42268519828761
