OBJECTID,COUNTY_NAME,FIPS,POPULATION,POP_SQMI,Active,Deaths,Recovered,Cumulative,Shape__Area,Shape__Length
1,Monterey,06053,431696,130.2,33,1,0,34,13215833478.6016,792646.447199538
2,Santa Cruz,06087,278575,623.6,39,0,0,39,1820158023.20313,294155.255962505
3,Santa Clara,06085,1958087,1508.1,566,25,0,591,5314381657.21094,479708.864347279
4,San Benito,06069,59354,42.7,11,1,2,14,5599403013.33594,458142.190640416
5,Ventura,06111,861790,464.1,80,3,0,83,7091569646.00391,481173.089552495
6,Los Angeles,06037,10275545,2514.1,1772,32,0,1804,15559413943.8008,1020461.72869614
7,San Diego,06073,3328647,785.7,412,5,0,417,15655800654.3125,772836.486658043
8,Orange,06059,3229809,4042.1,399,4,0,403,2997986013.69922,298695.101345867
9,Riverside,06065,2388710,327.1,187,8,0,195,27427254907.9297,912351.695572544
10,Santa Barbara,06083,449510,163.4,47,0,0,47,10560593991.9727,862141.481924345
11,San Luis Obispo,06079,284693,85.8,54,0,13,67,12966164363.4414,784045.846221672
12,Kern,06029,897549,110,45,1,0,46,31840643184.0313,859362.079168281
13,Kings,06031,152405,109.5,0,0,0,0,5528032111.28125,355656.400235456
14,Merced,06047,271689,137.4,7,0,0,7,8084603187.40625,434805.87109048
15,Fresno,06019,989303,164.6,31,0,0,31,24303385057.2031,1123719.48786682
16,Madera,06039,156213,72.5,9,1,1,11,8810712125.67969,617490.591019263
17,Tulare,06107,467780,96.7,27,1,1,29,19294782920.4336,645412.792062486
18,Inyo,06027,18416,1.8,5,0,0,5,41088757847.9023,1058697.80191976
19,San Bernardino,06071,2153382,107.1,73,3,0,76,77495847008.1211,1247702.07297434
20,Mendocino,06045,89584,25.5,2,0,1,3,15272110449.5273,781131.309158896
21,San Francisco,06075,871042,18384.2,304,4,0,308,196662532.347656,144940.895278164
22,Marin,06041,261748,498,67,1,0,68,2200310416.19531,516776.892682913
23,San Mateo,06081,763610,1672.1,268,6,0,274,1878640057.32031,335179.396016855
24,Contra Costa,06013,1135585,1494.9,165,3,0,168,3166767842.51953,370992.756205394
25,Sonoma,06097,509142,320.2,40,1,13,54,6739371242.48047,504219.569921854
26,Napa,06055,143012,181.4,9,0,0,9,3339792863.59766,351638.840058331
27,Solano,06095,439903,494.4,34,0,0,34,3744555620.02734,337560.826590287
28,Alameda,06001,1647386,2214,250,6,0,256,3079142800.73828,467391.299697893
29,San Joaquin,06077,744029,521.6,97,4,0,101,5949021523.44531,419856.232383038
30,Stanislaus,06099,540604,357.1,23,0,0,23,6250162897.21875,487167.422619538
31,Sacramento,06067,1513201,1522.5,158,6,0,164,4203625188.375,408549.015411202
32,Yolo,06113,216044,211.1,15,1,0,16,4356553117.17578,417915.191642977
33,Colusa,06011,22344,19.3,0,0,0,0,4991039125.85547,388980.850802053
34,Glenn,06021,28774,21.7,0,0,0,0,5796273974.91797,404599.293582856
35,Lake,06033,65976,49.6,0,0,0,0,5725398894.87109,466853.869549913
36,Tehama,06103,65042,22,0,0,0,0,13137548676.2539,630652.874323445
37,Butte,06007,229177,136.6,5,0,0,5,7341267069.33984,536407.298657459
38,Sutter,06101,97309,159.9,3,0,0,3,2615936092.91016,353219.424588617
39,Yuba,06115,76307,118.6,3,0,0,3,2784836649.11719,368066.205114253
40,Placer,06061,381674,254.1,43,1,0,44,6462070436.49219,538722.446191509
41,Lassen,06035,32275,6.8,0,0,0,0,21276769788.8281,776795.498646861
42,Plumas,06063,19292,7.4,0,0,0,0,11549192227.832,657042.084975852
43,Humboldt,06023,138972,38.8,13,0,1,14,16162530486.2031,817366.977329504
44,Del Norte,06015,27363,27,0,0,0,0,4719499420.29688,398336.556542595
45,Trinity,06105,13367,4.2,0,0,0,0,14448114289.5078,802787.759840829
46,Shasta,06089,181656,47.2,3,1,0,4,17388171954.0195,711885.409340457
47,Siskiyou,06093,45000,7.1,3,0,0,3,29416851865.0273,895812.364826952
48,Modoc,06049,9489,2.3,0,0,0,0,19478674751.668,566523.504751187
49,Calaveras,06009,44859,43.3,3,0,0,3,4354597673.19141,374146.682991838
50,Mariposa,06043,18014,12.3,0,0,0,0,6044061132.78125,435659.117088087
51,Tuolumne,06109,55346,24.3,0,0,0,0,9517993318.21484,645142.251944131
52,Amador,06005,37913,62.6,2,0,0,2,2562821973.08594,361972.826144915
53,El Dorado,06017,191254,107.1,12,0,0,12,7624399272.33984,471559.82854796
54,Alpine,06003,1080,1.5,0,0,0,0,3157762491.14453,275594.869999683
55,Mono,06051,13680,4.4,8,0,0,8,13060103238.0664,695336.687928767
56,Nevada,06057,101215,103.9,12,0,0,12,4220695420.52344,435740.379144755
57,Sierra,06091,3079,3.2,0,0,0,0,4199907316.9375,375780.987052086
58,Imperial,06025,182795,40.8,21,0,0,21,16560452212.418,593093.780286479
