OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,24,3,0,2,3,5,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0 to 89,46,NA,0,0,15,9,0,24,0,0,2,22,0,0,0,0,0,0,0,0,24,0,24,0,0,1,2,0,0,0,0,0,0,0,24,0,24,24,0,0,0,0,0.0858306455302227,1.42926667474908
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,213,7,3,15,29,30,34,38,25,25,7,0,0,0,2,0,2,3,0,4,1,0,0,0 to 96,50,22 to 82,12,0,134,78,1,212,1,0,85,117,11,1,9,2,9,2,1,0,204,12,191,1,9,25,18,75,12,6,6,12,0,0,191,1,213,192,12,0,2,2,0.19954202109966,2.24642787127675
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,28,0,0,2,4,5,5,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 81,50,NA,0,0,12,16,0,28,0,0,5,23,0,0,0,0,0,0,0,0,28,0,28,0,0,5,0,0,0,0,0,0,0,0,28,0,28,28,0,0,1,1,0.251180544361659,2.5842937884235
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,206,6,11,11,38,34,40,33,17,10,1,5,0,0,2,5,4,5,4,5,5,1,0,1 to 87,43,24 to 87,28,0,120,79,7,201,4,1,54,119,33,17,3,11,23,3,5,0,195,31,164,0,11,42,6,41,31,16,15,27,3,1,163,1,206,164,31,0,101,51,0.223073367498728,3.21429589964413
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,11,0,0,2,0,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 84,55,NA,0,0,7,4,0,11,0,0,0,9,2,0,0,0,0,0,0,0,11,0,11,0,0,1,1,0,0,0,0,0,0,0,11,0,11,11,0,0,1,0,0.139649278891739,1.88103049664632
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,1995,31,46,151,292,300,306,297,290,202,68,12,0,1,23,25,33,37,48,72,64,15,0,0 to 104,50,6 to 92,306,0,1104,851,40,1974,19,2,103,1821,71,38,216,64,81,200,37,6,1965,318,1647,0,30,75,63,85,318,162,146,304,12,2,1640,7,1995,1647,318,6,394,312,0.517626395411526,4.37197700916443
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,339,9,11,25,46,46,55,61,51,26,9,0,0,0,2,3,2,3,6,3,2,1,0,0 to 95,49,19 to 95,20,0,194,140,5,336,3,0,35,290,14,15,1,6,18,1,3,2,328,22,306,0,11,34,9,13,22,10,12,20,2,0,305,1,339,306,22,2,45,41,0.136812390149089,2.40436561248543
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,761,17,24,45,91,107,135,141,122,61,18,0,0,0,3,4,5,10,5,7,0,0,0,0 to 95,50,18 to 73,33,0,462,298,1,751,10,0,66,661,34,17,12,5,22,7,5,2,748,34,713,1,13,70,38,23,34,14,20,33,1,0,706,7,761,713,34,2,139,72,0.181730911146815,2.21152384025129
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,37,2,0,2,7,5,7,4,6,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0 to 90,48,54 to 54,1,0,22,15,0,36,0,1,3,31,3,0,1,0,0,1,0,0,37,1,36,0,0,1,3,2,1,1,0,0,0,1,36,0,37,36,1,0,1,1,0.128633605824916,2.03339191189709
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,428,10,11,57,81,65,57,71,51,19,6,0,0,0,1,4,6,2,4,0,0,0,0,0 to 95,44,19 to 60,15,0,264,163,1,424,3,1,12,395,21,7,1,9,14,0,3,0,427,17,410,0,1,9,18,11,17,9,8,14,2,1,409,1,428,410,17,0,92,59,0.170704044219292,2.4286163213721
