"county","as of - if there were changes","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","",""
"Alameda","3/29/2020 13:38:42","270","7","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","",""
"Alpine","3/28/2020 15:52:15","0","0","http://alpinecountyca.gov/Index.aspx?NID=516","","","","","","","","","","","","","","","","","","","",""
"Amador","3/27/2020 17:10:48","2","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","",""
"Butte","3/27/2020 17:11:00","5","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","",""
"Calaveras","3/27/2020 17:17:45","3","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","",""
"Colusa","3/27/2020 17:18:00","1","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","3/29/2020 13:54:06","175","3","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","",""
"Del Norte","3/27/2020 17:18:24","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","48","9","39","0","","","","","","","","","","","","","","",""
"El Dorado","3/27/2020 17:18:37","12","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","","","66","2","","","","","","","","","","","","","","",""
"Fresno","3/29/2020 13:54:06","43","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","325","87","","","","14","","3","3","7","","","","","","","","",""
"Glenn","3/27/2020 17:19:34","1","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","10","0","9","1","","","","","","","","","","","","","","",""
"Humboldt","3/29/2020 13:44:29","18","0","https://humboldtgov.org/2707/COVID-Test-Results","","470","","","","","","","","","","1","1","","","","","","",""
"Imperial","3/29/2020 13:44:44","25","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","170","0","145","25","","","","","","","","","","","","","","",""
"Inyo","3/29/2020 13:45:33","8","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","11","61","8","","","","","","","","","","","","","","",""
"Kern","3/29/2020 13:46:36","51","1","https://kernpublichealth.com/2019-novel-coronavirus/","1 of the positive cases is a non-resident","1915","935","964","51","","","","","","","","","","","1","0","","",""
"Kings","3/29/2020 13:47:10","2","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","88","","77","","","","","","","","","","","","","8","","",""
"Lake","3/27/2020 17:23:28","0","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","60","","","","","","","","","","","","","","","",""
"Lassen","3/27/2020 17:23:31","0","0","http://www.lassencounty.org/government/news/public-health","","13","7","6","","","","","","","","","","","","","","","",""
"Los Angeles","3/28/2020 15:59:50","1804","32","http://publichealth.lacounty.gov/media/Coronavirus/","We are getting slightly higher numbers than the LA County Public Health page because our reporters in the South Bay are adding changes throughout the day between LA's scheduled updates.","","","","","","","","","","","","90","","","","","","",""
"Madera","3/28/2020 17:20:59","15","1","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","1","","7","2","","1","2","","","","","","",""
"Marin","3/29/2020 10:56:41","74","1","https://www.marinhhs.org/coronavirus","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","681","","","","","","","","","","","9","","","","","","",""
"Mariposa","3/29/2020 13:48:31","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","40","15","25","0","","","","","","","","","","","","","","",""
"Mendocino","3/28/2020 16:01:24","3","0","https://www.mendocinocounty.org/community/novel-coronavirus","","187","41","143","3","","","","","","","1","","","","","","","",""
"Merced","3/29/2020 13:49:14","8","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","61","","","","","1","","","","","","","","","","","","",""
"Modoc","3/27/2020 17:26:18","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","9","6","3","0","","","","","","","","","","","","","","",""
"Mono","3/29/2020 13:49:50","11","0","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","72","7","54","11","","","","","","","","","","","","","","",""
"Monterey","3/28/2020 16:03:43","32","1","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site.","452","","","","","9","","5","4","5","","","","","","","","",""
"Napa","3/29/2020 13:40:08","10","0","https://www.countyofnapa.org/2739/Coronavirus","Napa had a website it wasn't updating, check their twitter/FB","260","","","","","","","","","","","","","","1","41","","",""
"Nevada","3/27/2020 21:45:26","12","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","",""
"Orange","3/28/2020 17:23:06","403","4","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","4884","","","","","62","","17","57","51","","","","","","","","",""
