"county","checked","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","",""
"Alameda","3/30/2020 18:15:38","283","7","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","",""
"Alpine","3/30/2020 17:00:13","1","0","http://alpinecountyca.gov/Index.aspx?NID=516","","","","","","","","","","","","","","","","","","","",""
"Amador","3/30/2020 17:00:25","2","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","",""
"Butte","3/30/2020 17:00:42","8","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","",""
"Calaveras","3/30/2020 17:01:18","3","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","",""
"Colusa","3/30/2020 17:01:36","1","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","3/30/2020 18:16:36","187","3","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","",""
"Del Norte","3/30/2020 17:02:06","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","51","8","43","0","","","","","","","","","","","","","","",""
"El Dorado","3/30/2020 17:02:49","15","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","565","","450","15","","","","","","","","","","","","","","",""
"Fresno","3/30/2020 17:03:02","53","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","325","87","","","","17","","9","8","19","","","","","","","","",""
"Glenn","3/30/2020 17:05:07","2","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","14","","11","2","","","","","","","","","","","","","","",""
"Humboldt","3/30/2020 20:21:45","21","0","https://humboldtgov.org/2707/COVID-Test-Results","","544","","","","","","","","","","1","1","","","","","","",""
"Imperial","3/30/2020 20:33:21","33","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","224","14","177","33","","","","","","","","","","","","","","",""
"Inyo","3/30/2020 17:06:34","8","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","11","61","8","","","","","","","","","","","","","","",""
"Kern","3/30/2020 17:07:20","76","1","https://kernpublichealth.com/2019-novel-coronavirus/","1 of the positive cases is a non-resident","2456","938","1442","76","","","","","","","","","","","","1","0","",""
"Kings","3/30/2020 17:08:05","2","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","89","","86","","","","","","","","","","","","","","8","",""
"Lake","3/30/2020 17:08:37","0","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","82","","","","","","","","","","","","","","","",""
"Lassen","3/30/2020 17:09:04","0","0","http://www.lassencounty.org/government/news/public-health","","13","7","6","","","","","","","","","","","","","","","",""
"Los Angeles","3/30/2020 18:16:55","2474","44","http://publichealth.lacounty.gov/media/Coronavirus/","We are getting slightly higher numbers than the LA County Public Health page because our reporters in the South Bay are adding changes throughout the day between LA's scheduled updates.","","","","","","","","","","","","398","","","","","","",""
"Madera","3/30/2020 17:09:32","21","1","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","1","","7","2","","1","2","","","","","","",""
"Marin","3/30/2020 20:26:06","99","1","https://www.marinhhs.org/coronavirus","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","681","","","","","","","","","","","9","","","","","","",""
"Mariposa","3/30/2020 17:09:49","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","41","13","28","0","","","","","","","","","","","","","","",""
"Mendocino","3/30/2020 17:10:51","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","200","42","154","4","","","","","","","1","","","","","","","",""
"Merced","3/30/2020 17:11:05","9","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","61","","","","","1","","","","","","","","","","","","",""
"Modoc","3/30/2020 17:11:40","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","9","6","3","0","","","","","","","","","","","","","","",""
"Mono","3/30/2020 17:12:05","13","0","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","72","4","55","13","","","","","","","","","","","","","","",""
"Monterey","3/30/2020 17:12:48","36","1","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site.","452","","","","","9","","5","4","5","","","","","","","","",""
"Napa","3/30/2020 18:19:16","14","0","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa had a website it wasn't updating, check their twitter/FB","260","","","","","","","","","","","","","","","1","41","",""
"Nevada","3/30/2020 17:13:11","18","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","",""
"Orange","3/30/2020 18:22:17","464","4","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","5522","","","","","62","","17","57","51","","","","","","","","",""
"Placer","3/30/2020 17:13:25","57","2","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","",""
"Plumas","3/30/2020 17:13:43","0","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","","50","8","42","0","","","","","","","","","","","","","","",""
"Riverside","3/30/2020 18:22:35","291","9","https://www.rivcoph.org/coronavirus","","","","","","","4","24","","","79","","","","","","","","",""
"Sacramento","3/30/2020 17:13:55","224","7","https://www.saccounty.net/COVID-19/Pages/default.aspx","They aren't reporting their numbers daily, so beware calculating daily changes.","","","","","","","","","","","","","","","","","","",""
"San Benito","3/30/2020 16:59:50","17","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","90","19","65","","","2","","5","3","2","4","","","","","","","",""
"San Bernardino","3/30/2020 17:14:10","111","3","http://wp.sbcounty.gov/dph/coronavirus/","","996","","","","","","","","","","","","","","","","","",""
