OBJECTID_1,OBJECTID,COUNTY,COUNTY_LAB,Region,TOTAL_CASE,DEATHS,Shape__Area,Shape__Length
1,1,ATLANTIC,Atlantic County,South,31,0,17023851474.4613,650227.599305267
2,2,BERGEN,Bergen County,North,2909,53,6686009554.16296,443324.347929857
3,3,BURLINGTON,Burlington County,South,202,5,22869023171.602,788903.854872472
4,4,CAMDEN,Camden County,South,228,3,6344509876.69253,495006.578775342
5,5,CAPE MAY,Cape May County,South,12,0,7976961326.18913,514564.340281693
6,6,CUMBERLAND,Cumberland County,South,18,1,13989252050.4917,704221.618565244
7,7,ESSEX,Essex County,North,1900,47,3616983902.62894,344556.35202766
8,8,GLOUCESTER,Gloucester County,South,114,2,9372629753.11616,560696.852574102
9,9,HUDSON,Hudson County,North,1606,16,1436707422.2616,381356.570662874
10,10,HUNTERDON,Hunterdon County,Central,97,1,12191752747.2279,561755.697692183
11,11,MERCER,Mercer County,Central,268,1,6378548120.95474,484092.889323168
12,12,MONMOUTH,Monmouth County,Central,1140,21,13539886535.1187,733254.571341134
13,13,OCEAN,Ocean County,Central,1022,18,21129932138.2335,722804.02331507
14,14,PASSAIC,Passaic County,North,1294,11,5528911617.80997,492850.74933723
15,15,SALEM,Salem County,South,12,1,9677192466.65024,664540.959974652
16,16,SOMERSET,Somerset County,Central,413,14,8499713898.79497,541586.643839565
17,17,SUSSEX,Sussex County,North,132,3,14929294846.8201,525986.641842362
18,18,UNION,Union County,North,1418,24,2937613335.40103,321814.207050551
19,19,WARREN,Warren County,North,76,2,10108546134.3227,554859.389116752
20,20,MORRIS,Morris County,North,841,21,13420104286.1659,750263.075351202
21,21,MIDDLESEX,Middlesex County,Central,1277,24,8836527089.15266,505626.0316389
