FID,NAME,Region,Shape__Area,Shape__Length,Number_Confirmed,T_3162020,T_3152020,T_3172020,T_3182020,T_3192020,T_3202020,T_3202021,T_3202022,T_3202023,T_3202024,T_3202025,T_3202026,T_3202027,T_3202028,T_3292020,T_3302020,T_3312020
1,Apache County,North,43846152427.7422,1217599.16943221,16,0,0,0,0,0,0,3,3,4,4,7,9,11,13,13,17,16
2,Cochise County,South,22398093551.7656,602341.133980917,4,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
3,Coconino County,North,73713741075.7422,1573770.84095113,81,0,0,0,0,1,5,11,14,17,18,23,28,41,56,62,71,81
4,Gila County,Central,18032587861.4492,1040451.69513729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,Graham County,South,17148831102.6953,696670.446484808,2,1,1,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2
6,Greenlee County,South,6815434536.28906,468175.959701548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,Mohave County,North,53038158291.5742,1331553.89117903,7,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,7,7
8,Navajo County,North,38920690306.7461,1146922.93327622,91,0,0,1,2,3,3,10,13,25,32,37,43,49,57,60,88,91
9,Pima County,South,33259866092.125,863889.435283917,202,4,4,4,5,7,8,12,17,24,42,49,75,102,120,147,187,202
10,Pinal County,Central,19804636161.6172,716740.709606362,62,5,5,5,8,10,10,14,16,17,22,23,35,36,41,51,64,62
11,Santa Cruz County,South,4425323941.71484,298061.35279545,2,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2
12,Yavapai County,North,31142537960.4492,905534.621630871,21,0,0,0,0,0,1,1,3,3,3,4,5,9,13,12,15,21
13,La Paz County,North,16943030821.4219,709094.730708182,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
14,Yuma County,South,20268578373.9414,672810.142670354,9,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,6,9
15,Maricopa County,Central,34332203913.8281,987341.640463632,788,8,8,9,11,22,34,49,81,139,199,251,299,399,454,546,690,788
