OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,REPORTED_DEATH,GlobalID
5361,Autauga,01001,East Central,7,0,0.150198352049983,2.1379328255407,0,741100d8-c2e1-4f8d-ad49-8743137d56e7
5362,Baldwin,01003,Southwestern,19,0,0.400159431601878,6.69300034847276,0,ab151a4b-403f-4f16-b292-6b0a8ed1a233
5363,Barbour,01005,Southeastern,0,0,0.223267704174077,2.69097505269632,0,7353dbcc-0799-4286-9788-ac193e598899
5364,Bibb,01007,West Central,3,0,0.156476914356972,1.8951692775798,0,9e2f0a3c-e827-4e83-8d2f-5d5fd306fc46
5365,Blount,01009,Northeastern,5,0,0.164406638341006,2.45274784751908,0,751fc54d-ac8b-4461-9631-7d85d8d2c5ba
5366,Bullock,01011,East Central,3,0,0.154671563531792,2.06480197165101,0,281af0c2-b410-4978-8182-2c609503fa2d
5367,Butler,01013,Southeastern,1,0,0.191776547733298,1.83587954870993,0,9c964c2e-0498-4146-bae7-dcf61138baad
5368,Calhoun,01015,Northeastern,9,0,0.154366224232035,2.21070839394633,0,4de0f614-972a-4063-9147-90760d6639c3
5369,Chambers,01017,East Central,36,3,0.150563980768084,1.72306516183319,4,2aef484d-def6-4e42-a11a-5a9a83ede79b
5370,Cherokee,01019,Northeastern,2,0,0.151975822791428,1.89808177880757,0,433c5298-8628-4807-9dc2-cee4286184cb
5371,Chilton,01021,West Central,11,0,0.174837510280213,2.09165532433194,0,09679dbc-0dcb-4bf6-8c4d-5f7ee55e4855
5372,Choctaw,01023,Southwestern,3,0,0.227681129400253,2.68700551554037,0,6d1a5bb1-3d4e-40c9-9866-4a96413226bc
5373,Clarke,01025,Southwestern,0,0,0.308508819690587,3.78655552072513,0,dd891356-8ce1-43db-98c9-d218e1646a20
5374,Clay,01027,Northeastern,2,0,0.151874743437702,2.02332180215824,0,ab9b99c5-5556-429c-9de1-86aea6014a6b
5375,Cleburne,01029,Northeastern,5,0,0.141259985723536,2.17578212063938,0,d1347d32-4ba0-40e8-8c7e-6862bd33328b
5376,Coffee,01031,Southeastern,0,0,0.167143203828118,1.67989540600381,0,648f2896-c206-459e-b67e-986e69259ccb
5377,Colbert,01033,Northern,4,0,0.15857369348987,2.31239229125845,0,03d6e20f-1ff9-4085-a11c-b07031c9d655
5378,Conecuh,01035,Southwestern,0,0,0.209509978242295,2.59686142559656,0,9374fdb6-f37a-4b30-88ff-410e42278968
5379,Coosa,01037,East Central,4,0,0.16640708911109,1.7505584986585,0,eb612628-158b-4d22-8d67-717079058492
5380,Covington,01039,Southeastern,2,0,0.255971892285061,2.38709591035509,0,62ca608b-3aec-4bf5-aa0a-0ddbe38ff1d7
5381,Crenshaw,01041,Southeastern,1,0,0.150571897113878,2.31806123117494,0,e901944b-280e-4754-bd09-e33a7508da3d
5382,Cullman,01043,Northern,8,0,0.191087821164047,2.50218505547441,1,952965a7-52ef-4d47-9fef-2481cb666c59
5383,Dale,01045,Southeastern,0,0,0.138259666605563,1.65151999951547,0,04c22bff-2027-48a1-9572-a5e7f2fe3835
5384,Dallas,01047,Southwestern,2,0,0.246497505086154,3.13752996820932,0,0b58b3ab-8caf-4608-856c-ae1cf70eed8e
5385,DeKalb,01049,Northeastern,4,0,0.197848401841384,2.21695752803772,0,c196789d-7614-4ef5-9011-d5c00e29c51b
5386,Elmore,01051,East Central,12,0,0.163505782545826,2.27519521591255,0,e70e2102-94f7-42e1-b43b-a9c7a55cf75a
