OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,98,4,1,10,13,19,11,16,12,10,2,0,0,0,0,0,1,1,2,0,0,0,46,0 to 89,54,38 to 56,4,59,39,0,98,0,0,7,90,1,2,1,1,3,0,1,0,97,4,93,0,1,3,3,2,4,3,1,4,0,0,93,0,98,93,4,0,1,1,920490830.042053,148547.348006441,1,0,1,0
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,703,21,19,62,97,95,112,129,76,68,19,5,0,2,2,4,3,7,3,6,2,0,49,0 to 97,49,13 to 82,29,413,256,34,702,1,0,107,582,14,19,1,9,21,0,8,1,699,29,669,1,4,56,23,101,29,13,16,29,0,0,669,1,703,670,29,1,55,43,2142439482.67719,232574.925675008,8,0,9,0
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,100,8,4,2,11,20,13,20,15,6,1,0,0,0,0,1,0,0,0,0,0,0,48,1 to 118,29,29 to 29,1,53,41,6,100,0,0,18,79,3,1,0,0,1,0,0,0,98,1,97,0,2,8,12,1,1,0,1,1,0,0,97,0,100,97,1,0,11,11,2685252568.13834,267348.178950349,0,0,0,0
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,890,45,30,62,152,145,126,149,98,57,26,0,1,0,2,15,11,8,16,16,12,4,45,0 to 118,58,3 to 96,82,551,320,19,885,4,1,100,740,50,55,3,27,71,0,14,1,876,85,790,1,14,69,28,100,85,41,44,81,3,1,789,1,890,790,85,1,278,159,2369222670.29688,330553.160278386,14,0,26,1
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,52,1,1,4,8,8,7,7,8,7,1,0,0,0,1,1,0,1,0,1,0,1,51,0 to 88,47,20 to 88,5,26,23,3,52,0,0,4,45,3,1,0,4,3,0,2,0,52,5,47,0,0,3,2,3,5,2,3,5,0,0,47,0,52,47,5,0,23,19,1487626835.10838,192207.890331272,2,0,4,0
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,7986,116,135,522,1098,1148,1256,1266,1147,843,434,21,4,7,78,148,183,210,216,249,232,102,52,0 to 110,58,0 to 104,1387,4477,3385,124,7907,77,2,509,7354,123,131,964,336,254,919,258,79,7895,1431,6459,5,91,169,943,313,1431,725,691,1385,44,2,6428,32,7986,6460,1431,79,681,519,5710098601.29486,464192.459734082,246,12,316,20
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,1736,32,38,118,216,257,301,281,258,166,69,0,0,0,7,11,19,19,29,29,22,10,52,0 to 99,61,18 to 96,144,1028,643,65,1731,5,0,166,1528,42,66,19,61,85,19,42,6,1695,146,1548,1,41,107,22,85,146,61,85,144,2,0,1545,3,1736,1548,146,6,70,62,1499679486.67142,252832.323289834,42,0,61,0
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,3191,60,75,222,396,492,576,578,457,244,87,4,1,1,13,17,32,28,28,20,3,0,51,0 to 102,47,1 to 82,138,1931,1250,10,3169,22,0,183,2935,73,66,31,46,109,7,27,2,3164,143,3017,4,27,100,85,135,143,75,68,138,5,0,3000,17,3191,3017,143,2,326,213,1975344274.45807,225211.500752162,26,1,45,1
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,150,4,5,12,23,19,35,23,19,7,2,1,0,0,1,3,1,4,3,1,1,0,48,0 to 90,52,24 to 81,14,91,58,1,149,0,1,11,134,5,6,8,0,7,6,1,0,149,14,135,0,1,1,9,14,14,6,8,13,0,1,135,0,150,135,14,0,29,12,1367889846.39806,205127.330650714,1,0,0,0
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,1601,43,37,222,293,258,262,250,160,56,19,1,0,2,7,20,19,15,17,10,0,1,43,0 to 95,43,9 to 86,88,911,644,46,1591,9,1,75,1480,46,42,10,39,71,2,18,0,1592,91,1499,2,9,41,20,80,91,45,46,87,3,1,1493,6,1601,1499,91,0,229,170,1817477697.41779,246081.909627491,17,1,36,3
