"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Alameda","4/13/2020 12:04:28","884","23","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","x","x"
"Contra Costa","4/14/2020 21:23:59","600","12","https://cchealth.org/coronavirus/","","7748","","","","","","","","","","","44","currently","","","","","","","BANG","","",""
"Marin","4/14/2020 16:46:07","171","10","https://coronavirus.marinhhs.org/surveillance","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","2145","","","","","","","","","","121","","ever/currently","","","","","","","BANG","","",""
"Napa","4/14/2020 14:10:03","38","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","731","128","565","38","","","","","","","","","","","","","","","","BANG","","","x"
"San Francisco","4/14/2020 14:11:36","987","15","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","8541","","","","","","","","","","","90","current","31","current","","","","","BANG","","","x"
"San Mateo","4/14/2020 14:17:24","721","21","https://www.smchealth.org/coronavirus","Their portal says it was updated on the previous day, but the numbers aren't reported until the next day. So, for example, it says ""data last updated April 8th"" but those numbers are reported on the 9th.","6773","6043","5517","699","","","","","","","","87","current","22","current","","","","","BANG","","",""
"Santa Clara","4/13/2020 16:46:53","1666","60","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","15529","193","13670","1666","","","","","","","","195","current","76","current","","","","","BANG","","x","x"
"Santa Cruz","4/13/2020 12:17:26","91","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","2340","","","","","","","","37","16","required hospitalization","","","","","","","BANG","","x",""
"Solano","4/14/2020 16:47:41","140","2","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","1922","","","","","","","","","","","","cumulative/current","","","","","","","BANG","","x",""
"Sonoma","4/14/2020 21:26:24","160","2","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","3865","","","","","","","","","","70","21","hospitalized","","","","","","","BANG","","",""
"Los Angeles","4/14/2020 16:51:09","10047","360","http://publichealth.lacounty.gov/media/Coronavirus/","","63000","","","","","","","","","","","2517","ever","","","","","","","SCNG","","x",""
"Orange","4/14/2020 16:51:43","1299","19","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","14977","","","","","","","","","","","122","current","62","current","","","","","SCNG","","x",""
"Riverside","4/14/2020 16:52:24","1961","50","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","376","247","current","66","current","","","","","SCNG","","x",""
"San Benito","4/14/2020 16:53:51","39","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","603","49","515","38","","","","","","","33","","","","","","","","","SCNG","","",""
"Alpine","4/14/2020 16:54:34","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","10","4","4","2","","","","","","","1","","","","","","1","","","","","",""
"Amador","4/14/2020 16:54:57","7","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","5","2","","","","","","","","","","",""
"Butte","4/14/2020 16:55:30","16","0","https://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek?live","","642","","576","16","","","","","","","","1","currently","","","","","","","","","",""
"Calaveras","4/14/2020 16:56:24","9","0","https://covid19.calaverasgov.us/","","252","","","","","","","","","","6","","","","","","","","","","","",""
"Colusa","4/14/2020 16:56:44","3","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","4/14/2020 16:57:15","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","185","1","182","2","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/14/2020 16:57:51","35","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1300","","1265","35","","","","","","","25","","","","","","","","","","","",""
"Fresno","4/13/2020 16:53:49","222","5","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","3212","","","","","","","","","","37","51","ever","","","","","","","","","x",""
"Glenn","4/14/2020 16:58:18","4","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","61","","57","4","","","","","","","2","0","","","","","","","","","","",""
"Humboldt","4/14/2020 16:59:12","51","0","https://humboldtgov.org/2707/COVID-Test-Results","","1455","","","","","","","","","","","3","","","","","","","","","","",""
"Imperial","4/14/2020 16:59:37","100","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","892","","","","","","","","","","26","","","","","","","","","","","",""
"Inyo","4/10/2020 17:54:42","12","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","28","116","12","","","","","","","","","","","","","","","","","","",""
