OBJECTID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,Shape__Area,Shape__Length,pop_est_2018
1,60,19119,Lyon,IA,4,,0,2020-04-15T18:00:00.000Z,USA,2883177096.50781,266602.936748937,11811
2,72,19143,Osceola,IA,2,,0,2020-04-15T18:00:00.000Z,USA,1958418275.64063,180087.231697451,6040
3,30,19059,Dickinson,IA,1,,0,2020-04-15T18:00:00.000Z,USA,1980720817.10938,180616.422060153,17153
4,32,19063,Emmet,IA,,,0,2020-04-15T18:00:00.000Z,USA,1974360374.16797,180185.839299696,9253
5,3,19005,Allamakee,IA,24,,2,2020-04-15T18:00:00.000Z,USA,3223746538.03516,237607.001550003,13832
6,55,19109,Kossuth,IA,1,,0,2020-04-15T18:00:00.000Z,USA,4751821677.07031,285918.615339638,14908
7,96,19191,Winneshiek,IA,5,,0,2020-04-15T18:00:00.000Z,USA,3374056114.09766,233955.150185039,20029
8,45,19089,Howard,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2321975467.04297,193509.490526615,9187
9,95,19189,Winnebago,IA,2,,0,2020-04-15T18:00:00.000Z,USA,1969238436.66797,180232.384289622,10518
10,66,19131,Mitchell,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2302146605.48438,192754.064988699,10569
11,98,19195,Worth,IA,1,,0,2020-04-15T18:00:00.000Z,USA,1970999865.85547,180231.579952507,7453
12,84,19167,Sioux,IA,7,,0,2020-04-15T18:00:00.000Z,USA,3734771098.60156,301810.41782208,34909
13,71,19141,Obrien,IA,3,,0,2020-04-15T18:00:00.000Z,USA,2783838513.92188,210986.087755015,13840
14,21,19041,Clay,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2781379423.67969,210828.339104522,16134
15,74,19147,Palo Alto,IA,,,0,2020-04-15T18:00:00.000Z,USA,2766037498.89063,210293.320739091,8929
16,41,19081,Hancock,IA,3,,0,2020-04-15T18:00:00.000Z,USA,2783907602.16797,211137.923238544,10712
17,17,19033,Cerro Gordo,IA,14,,0,2020-04-15T18:00:00.000Z,USA,2792592125.83594,211295.113135936,42647
18,19,19037,Chickasaw,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2455613665.92578,198539.176208313,11964
19,34,19067,Floyd,IA,,,0,2020-04-15T18:00:00.000Z,USA,2434281512.80078,197820.208776171,15761
20,22,19043,Clayton,IA,7,,1,2020-04-15T18:00:00.000Z,USA,3831740526.03125,278459.904889549,17556
21,33,19065,Fayette,IA,5,,0,2020-04-15T18:00:00.000Z,USA,3527348275.57813,239186.889038303,19660
22,75,19149,Plymouth,IA,4,,0,2020-04-15T18:00:00.000Z,USA,4150897538.71484,318540.231166357,25095
23,18,19035,Cherokee,IA,,,0,2020-04-15T18:00:00.000Z,USA,2771509442.17578,210619.136323881,11321
24,11,19021,Buena Vista,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2787552408.94141,211253.618572276,19874
25,76,19151,Pocahontas,IA,,,0,2020-04-15T18:00:00.000Z,USA,2779732711.02734,210824.771924437,6740
26,46,19091,Humboldt,IA,,,0,2020-04-15T18:00:00.000Z,USA,2095379128.14453,184816.136722881,9547
27,99,19197,Wright,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2795247120.01172,211277.691584036,12690
28,9,19017,Bremer,IA,9,,0,2020-04-15T18:00:00.000Z,USA,2113052782.59766,185568.815509666,24947
29,35,19069,Franklin,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2797473399.43359,211631.740317432,10124
30,12,19023,Butler,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2795062026.60156,211462.104774962,14539
31,31,19061,Dubuque,IA,37,,1,2020-04-15T18:00:00.000Z,USA,2937132267.01563,245602.45770025,96854
32,28,19055,Delaware,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2757870508.875,211667.575849713,17069
33,94,19187,Webster,IA,2,,0,2020-04-15T18:00:00.000Z,USA,3418687653.46484,245191.606034089,36277
34,10,19019,Buchanan,IA,8,,0,2020-04-15T18:00:00.000Z,USA,2730056679.08594,212545.67393443,21199
35,7,19013,Black Hawk,IA,85,,0,2020-04-15T18:00:00.000Z,USA,2727870030.25391,213122.267714274,132408
36,97,19193,Woodbury,IA,21,,0,2020-04-15T18:00:00.000Z,USA,4170249598.67578,295393.118183361,102539
37,47,19093,Ida,IA,,,0,2020-04-15T18:00:00.000Z,USA,2051757192.95313,198910.202149229,6841
38,81,19161,Sac,IA,,,0,2020-04-15T18:00:00.000Z,USA,2747336480.56641,223800.54765206,9719
39,13,19025,Calhoun,IA,,,0,2020-04-15T18:00:00.000Z,USA,2717853223.60547,220859.059602862,9699
40,40,19079,Hamilton,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2743061077.59375,218133.755293715,14952
41,42,19083,Hardin,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2707526876.85156,215524.634340535,16868
42,38,19075,Grundy,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2385120327.38672,214070.842231114,12304
43,49,19097,Jackson,IA,4,,0,2020-04-15T18:00:00.000Z,USA,3064794686.00391,255765.531349385,19432
44,53,19105,Jones,IA,11,,0,2020-04-15T18:00:00.000Z,USA,2717982569.94141,208473.039839581,20744
45,57,19113,Linn,IA,276,,21,2020-04-15T18:00:00.000Z,USA,3409207543.51563,234896.936300439,225909
46,6,19011,Benton,IA,19,,1,2020-04-15T18:00:00.000Z,USA,3380714517.92969,234735.53723965,25642
47,86,19171,Tama,IA,111,,3,2020-04-15T18:00:00.000Z,USA,3396678361.35547,234734.252086405,16904
48,67,19133,Monona,IA,6,,0,2020-04-15T18:00:00.000Z,USA,3284267993.11328,262118.687568654,8679
49,24,19047,Crawford,IA,6,,1,2020-04-15T18:00:00.000Z,USA,3359978410.16406,233350.906871467,17158
50,14,19027,Carroll,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2678467235.55078,207050.088024698,20154
51,37,19073,Greene,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2684012941.23047,207235.872862692,8981
52,8,19015,Boone,IA,4,,0,2020-04-15T18:00:00.000Z,USA,2694762789.61328,207586.977057862,26346
53,85,19169,Story,IA,11,,0,2020-04-15T18:00:00.000Z,USA,2695361521.31641,207599.920594136,98105
54,64,19127,Marshall,IA,44,,0,2020-04-15T18:00:00.000Z,USA,2693328764.63281,207518.587913645,39981
55,23,19045,Clinton,IA,38,,0,2020-04-15T18:00:00.000Z,USA,3321895220.4375,279584.240099408,46518
56,16,19031,Cedar,IA,22,,0,2020-04-15T18:00:00.000Z,USA,2711410289.69922,208213.599029623,18627
57,43,19085,Harrison,IA,12,,0,2020-04-15T18:00:00.000Z,USA,3253501805.69922,266037.132536336,14134
58,83,19165,Shelby,IA,7,,0,2020-04-15T18:00:00.000Z,USA,2747844446.58984,221749.408512638,11578
59,5,19009,Audubon,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2060926652.16406,194034.244242503,5506
60,39,19077,Guthrie,IA,3,,0,2020-04-15T18:00:00.000Z,USA,2755824341.66797,218824.040237842,10720
61,52,19103,Johnson,IA,226,,3,2020-04-15T18:00:00.000Z,USA,2894384526.63281,238131.77014786,151260
62,25,19049,Dallas,IA,38,,0,2020-04-15T18:00:00.000Z,USA,2749436307.72266,214843.598046544,90180
63,48,19095,Iowa,IA,7,,0,2020-04-15T18:00:00.000Z,USA,2730012804.41016,209683.622877876,16141
64,77,19153,Polk,IA,224,,7,2020-04-15T18:00:00.000Z,USA,2751154902.73438,230794.648823963,487204
65,79,19157,Poweshiek,IA,6,,1,2020-04-15T18:00:00.000Z,USA,2725269436.21484,209857.444431815,18699
66,50,19099,Jasper,IA,17,,0,2020-04-15T18:00:00.000Z,USA,3405107704.98828,237388.367183535,37147
67,82,19163,Scott,IA,129,,2,2020-04-15T18:00:00.000Z,USA,2173779672.96875,242262.884349054,173283
68,70,19139,Muscatine,IA,133,,2,2020-04-15T18:00:00.000Z,USA,2074638059.20703,202588.958769925,42929
69,78,19155,Pottawattamie,IA,14,,1,2020-04-15T18:00:00.000Z,USA,4409567658.84766,322249.004765045,93533
70,15,19029,Cass,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2598077894.32813,203902.111355435,12930
71,92,19183,Washington,IA,101,,4,2020-04-15T18:00:00.000Z,USA,2623672105.65625,209969.011378975,22141
72,1,19001,Adair,IA,1,,0,2020-04-15T18:00:00.000Z,USA,2621598456.98047,204908.536544986,7063
73,54,19107,Keokuk,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2667348918.70313,206677.383783905,10225
74,91,19181,Warren,IA,16,,0,2020-04-15T18:00:00.000Z,USA,2634020678.23438,218441.305612931,51056
75,61,19121,Madison,IA,3,,1,2020-04-15T18:00:00.000Z,USA,2584321046.94141,203905.386212477,16249
76,62,19123,Mahaska,IA,7,,0,2020-04-15T18:00:00.000Z,USA,2637843314.25,205451.352481522,22000
77,63,19125,Marion,IA,3,,0,2020-04-15T18:00:00.000Z,USA,2622546396.70703,204836.595093365,33407
78,58,19115,Louisa,IA,166,,0,2020-04-15T18:00:00.000Z,USA,1912674740.52344,219347.537832649,11169
79,65,19129,Mills,IA,2,,0,2020-04-15T18:00:00.000Z,USA,2006389857.54297,185404.885485515,15063
80,69,19137,Montgomery,IA,1,,0,2020-04-15T18:00:00.000Z,USA,1936388797.26953,177843.016987998,10003
81,2,19003,Adams,IA,,,0,2020-04-15T18:00:00.000Z,USA,1938249994.25781,177974.23016426,3645
82,44,19087,Henry,IA,22,,1,2020-04-15T18:00:00.000Z,USA,1986136460.36719,180027.365370138,20067
83,51,19101,Jefferson,IA,4,,0,2020-04-15T18:00:00.000Z,USA,1990392161.01563,180408.780891155,18381
84,88,19175,Union,IA,1,,0,2020-04-15T18:00:00.000Z,USA,1940227141.08984,178011.227873327,12359
85,90,19179,Wapello,IA,7,,0,2020-04-15T18:00:00.000Z,USA,1985982559.85156,179926.105598424,35205
86,20,19039,Clarke,IA,2,,0,2020-04-15T18:00:00.000Z,USA,1966457524.11719,179045.617762496,9423
87,59,19117,Lucas,IA,,,0,2020-04-15T18:00:00.000Z,USA,1979028866.61719,179636.980306955,8645
88,68,19135,Monroe,IA,,,0,2020-04-15T18:00:00.000Z,USA,1977459553.89844,179591.966177005,7790
89,29,19057,Des Moines,IA,7,,0,2020-04-15T18:00:00.000Z,USA,1951025786.55859,201287.894583274,39138
90,36,19071,Fremont,IA,,,0,2020-04-15T18:00:00.000Z,USA,2333451385.14844,201252.780155907,6993
