OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,141,4,2,17,19,26,16,23,18,13,3,0,0 to 89,46,86,55,0,141,0,0,3,137,10,1,3,138,0,0,141,1,2,0,3,0,0,0,0,1,1,1,0,0,0,0,38 to 56,52,3,0,0,0,0,3,0,0,0,0,0,0,0,3,2,1,3,0,0,138,0,141,138,3,0,2,2,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,918,25,36,89,134,124,144,155,98,83,25,5,0 to 118,48,531,346,41,915,3,0,57,749,120,16,46,869,0,3,912,25,21,0,46,0,8,5,5,5,9,4,8,2,0,0,6 to 82,42,31,15,0,0,0,44,2,13,0,8,0,0,1,46,21,25,46,0,0,866,3,918,869,46,1,63,30,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,137,11,5,5,14,24,21,25,18,12,2,0,0 to 118,49,73,54,10,137,0,0,8,128,31,3,1,134,1,1,135,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29 to 29,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,134,0,137,134,1,0,11,8,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1388,52,38,91,207,215,200,239,166,112,66,2,0 to 118,48,865,481,42,1368,19,1,77,1195,120,52,107,1269,1,11,1357,60,43,0,103,1,1,3,16,12,11,19,19,16,9,0,3 to 96,59,79,12,5,7,7,88,8,33,1,18,0,0,1,107,46,61,102,4,1,1254,15,1388,1269,107,1,295,135,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,64,1,2,7,10,10,8,8,8,9,1,0,0 to 88,46,35,27,2,64,0,0,3,57,4,3,5,59,0,0,64,3,2,0,5,0,0,1,1,0,1,0,1,0,1,0,20 to 88,47,1,4,0,0,0,5,0,4,0,2,0,0,0,5,2,3,5,0,0,59,0,64,59,5,0,27,18,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,11590,151,182,771,1565,1693,1867,1950,1635,1123,611,42,0 to 110,52,6468,4958,164,11469,119,2,187,11020,603,131,1816,9597,107,70,11296,879,871,15,1765,6,9,111,195,238,270,295,301,259,128,4,0 to 104,57,663,195,130,777,215,732,818,409,21,312,14,2,107,1816,898,903,1763,51,2,9531,66,11590,9597,1816,107,681,490,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,2045,33,42,131,257,318,366,346,291,189,72,0,0 to 99,51,1194,778,73,2039,6,0,140,1783,208,53,172,1830,1,42,1996,100,69,0,169,0,0,10,13,23,23,34,33,24,12,0,18 to 96,60,110,36,12,11,24,129,16,69,0,50,0,0,8,172,71,101,169,3,0,1827,3,2045,1830,172,8,71,62,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,3770,67,86,258,491,586,680,681,536,286,95,4,0 to 102,50,2297,1461,12,3745,25,0,108,3483,231,82,186,3559,5,20,3720,89,90,0,179,1,1,16,20,43,37,30,30,5,3,0,1 to 94,48,119,15,32,13,46,115,18,61,3,37,2,0,3,186,94,92,179,7,0,3541,18,3770,3559,186,3,362,216,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,240,6,7,23,40,43,45,36,28,8,3,1,0 to 96,45,154,84,2,238,1,1,2,202,27,6,40,200,0,0,239,27,12,0,39,0,0,3,8,9,8,7,4,1,0,0,20 to 81,44,4,17,0,18,0,18,21,1,0,4,0,0,0,40,12,28,38,1,1,200,0,240,200,40,0,62,33,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,2023,49,40,274,377,338,336,316,200,69,23,1,0 to 95,43,1157,806,60,2010,12,1,43,1837,129,49,155,1861,2,5,2004,86,63,2,151,0,2,22,34,27,25,27,16,0,2,0,9 to 86,43,67,55,5,24,11,115,25,43,3,21,1,0,0,155,64,89,150,4,1,1853,8,2023,1861,155,0,281,189,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,83,2,2,2,9,15,12,21,10,5,4,1,1 to 95,54,52,30,1,80,3,0,3,46,27,5,22,60,0,1,79,11,9,0,20,0,0,1,1,1,2,4,6,4,3,0,22 to 95,66,8,8,1,3,3,14,3,3,2,3,0,0,1,22,11,11,20,2,0,59,1,83,60,22,1,42,27,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,142,21,8,11,16,19,21,13,18,12,3,0,0 to 89,42,75,65,2,139,3,0,12,109,43,3,15,125,0,2,137,9,5,0,14,2,0,2,2,1,3,2,2,1,0,0,0 to 77,50,5,6,0,3,1,10,3,4,0,1,0,0,0,15,5,10,14,1,0,123,2,142,125,15,0,46,17,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,28,1,2,2,8,5,3,4,2,1,0,0,2 to 76,36,13,13,2,28,0,0,1,26,2,0,2,26,0,0,28,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,26,0,28,26,2,0,9,9,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,79,1,1,11,11,11,8,15,12,7,2,0,0 to 93,51,43,31,5,77,2,0,8,65,12,2,2,76,0,1,77,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,56 to 62,59,2,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,2,0,0,75,1,79,76,2,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,645,8,11,47,93,104,136,113,76,41,16,0,0 to 99,49,337,260,48,643,2,0,28,597,46,27,39,605,1,0,642,16,22,0,38,0,0,2,7,8,10,5,6,0,1,0,21 to 93,47,24,5,3,6,6,24,8,14,1,6,1,0,2,39,23,16,38,1,0,604,1,645,605,39,2,31,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,481,19,23,39,61,78,65,96,63,25,9,3,0 to 118,48,253,202,26,476,5,0,111,327,94,17,34,440,0,7,470,18,15,0,33,1,0,4,7,2,4,11,3,2,0,0,1 to 79,48,27,4,1,1,4,27,2,2,0,5,0,0,0,34,16,18,33,1,0,437,3,481,440,34,0,7,6,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,243,6,6,25,39,30,46,34,21,23,13,0,0 to 99,48,152,75,16,240,3,0,15,212,50,3,17,226,0,0,240,10,7,0,17,0,0,1,1,0,0,4,4,4,3,0,24 to 97,71,15,1,1,0,0,17,0,4,0,7,0,0,2,17,7,10,17,0,0,223,3,243,226,17,2,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,101,4,3,8,14,12,21,15,15,7,2,0,0 to 100,48,56,33,12,100,1,0,0,98,5,1,4,93,0,4,96,1,3,0,4,0,0,0,1,1,1,0,1,0,0,0,27 to 73,42,4,0,0,0,0,4,0,2,0,0,0,0,0,4,3,1,4,0,0,92,1,101,93,4,0,3,3,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1217,19,12,68,119,154,192,249,214,135,55,0,0 to 99,56,687,500,30,1206,11,0,71,1086,94,56,140,1067,0,10,1198,57,73,1,131,0,0,9,11,11,21,36,19,27,6,0,19 to 92,60,98,4,7,22,12,96,23,47,2,34,1,0,4,140,79,60,131,9,0,1067,0,1217,1067,140,4,59,52,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,13347,343,307,1222,2443,2313,2223,2053,1429,691,315,8,0 to 119,45,7906,5374,67,13200,147,0,385,12589,459,249,870,12442,29,6,13166,416,414,0,830,9,20,102,147,148,161,139,84,40,20,0,0 to 100,45,396,131,177,126,235,444,151,237,6,141,2,1,18,870,432,438,830,40,0,12336,106,13347,12442,870,18,654,329,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,1855,29,36,124,238,270,320,340,256,172,69,1,0 to 100,52,1115,704,36,1838,17,0,134,1668,167,25,277,1576,1,1,1836,146,126,3,275,0,2,15,29,33,53,41,48,47,9,0,14 to 91,56,171,38,18,48,14,172,89,39,1,53,1,0,19,277,127,146,275,2,0,1561,15,1855,1576,277,19,182,102,1945653927.12581,371198.171414394
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,2262,28,52,158,310,419,446,383,261,145,51,9,0 to 99,48,1264,874,124,2257,5,0,66,2100,193,39,170,2090,1,1,2255,100,68,0,168,0,0,9,11,24,28,32,32,23,11,0,18 to 95,59,93,31,14,30,15,121,32,55,0,40,0,0,9,170,69,101,168,2,0,2087,3,2262,2090,170,9,47,30,1667659896.51059,183856.484298748
