FID,NAME,Region,Shape__Area,Shape__Length,Number_Confirmed,T_3162020,T_3152020,T_3172020,T_3182020,T_3192020,T_3202020,T_3202021,T_3202022,T_3202023,T_3202024,T_3202025,T_3202026,T_3202027,T_3202028,T_3292020,T_3302020,T_3312020,T_4012020,T_4022020,T_4032020,T_4042020,T_4052020,T_4062020,T_4072020,T_4082020,T_4092020,Reference_Count,T_4102020,T_4112020,T_4122020,T_4132020,T_4142020,T_4152020,T_4162020
1,Apache County,North,43846152427.7422,1217599.16943221,118,0,0,0,0,0,0,3,3,4,4,7,9,11,13,13,17,16,17,19,17,20,23,25,28,34,52,110,55,66,72,89,97,110,118
2,Cochise County,South,22398093551.7656,602341.133980917,18,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,4,4,5,7,7,9,9,9,11,15,11,13,15,16,15,15,18
3,Coconino County,North,73713741075.7422,1573770.84095113,299,0,0,0,0,1,5,11,14,17,18,23,28,41,56,62,71,81,85,114,126,147,147,163,179,186,210,266,214,238,243,253,270,266,299
4,Gila County,Central,18032587861.4492,1040451.69513729,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,Graham County,South,17148831102.6953,696670.446484808,2,1,1,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
6,Greenlee County,South,6815434536.28906,468175.959701548,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2
7,Mohave County,North,53038158291.5742,1331553.89117903,51,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,7,7,7,8,9,12,12,20,23,23,27,45,28,30,30,40,45,45,51
8,Navajo County,North,38920690306.7461,1146922.93327622,410,0,0,1,2,3,3,10,13,25,32,37,43,49,57,60,88,91,102,129,148,177,195,210,222,240,286,390,287,321,335,345,355,390,410
9,Pima County,South,33259866092.125,863889.435283917,760,4,4,4,5,7,8,12,17,24,42,49,75,102,120,147,187,202,217,237,280,326,372,415,415,464,512,700,543,591,622,668,685,700,760
10,Pinal County,Central,19804636161.6172,716740.709606362,197,5,5,5,8,10,10,14,16,17,22,23,35,36,41,51,64,62,65,69,77,89,103,106,120,124,137,182,138,146,163,168,175,182,197
11,Santa Cruz County,South,4425323941.71484,298061.35279545,14,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,5,6,7,12,7,8,8,10,10,12,14
12,Yavapai County,North,31142537960.4492,905534.621630871,68,0,0,0,0,0,1,1,3,3,3,4,5,9,13,12,15,21,24,34,35,43,45,49,57,58,62,66,62,63,63,65,70,66,68
13,La Paz County,North,16943030821.4219,709094.730708182,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,5,3,4,5,4,4,4,4,4,5,5
14,Yuma County,South,20268578373.9414,672810.142670354,21,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,6,9,12,13,13,14,13,13,13,14,15,18,16,15,17,17,17,18,21
15,Maricopa County,Central,34332203913.8281,987341.640463632,2264,8,8,9,11,22,34,49,81,139,199,251,299,399,454,546,690,788,871,961,1049,1171,1326,1433,1495,1559,1689,2146,1741,1891,1960,2020,2056,2146,2264
