OBJECTID,COUNTY,TotalCaseCount,TotalDeathCount,ProbDeaths,EOCStatus,DISTRICT,COUNTY_FIP,COUNTYNUM,Shape__Area,Shape__Length
1,Allegany,26,1,0,Enhanced,6,1,1,1851538947.24609,394249.898087364
2,Anne Arundel,966,34,6,Partial,5,3,2,1778838317.07031,1187074.90604609
3,Baltimore,1569,37,7,Partial,4,5,3,2637687793.67188,818319.559802303
4,Baltimore City,1273,38,4,Full,0,510,24,352783081.195313,199394.091724007
5,Calvert,109,2,0,Partial,5,9,4,910463399.882813,382233.861870395
6,Caroline,28,0,0,Partial,2,11,5,1379449077.28906,248389.129627785
7,Carroll,288,25,2,Partial,7,13,6,1962097001.74609,333550.715409503
8,Cecil,127,2,0,Partial,2,15,7,1526098142.74219,542652.15548276
9,Charles,337,15,0,Enhanced,5,17,8,1951088479.46094,581727.788949102
10,Dorchester,20,1,0,Enhanced,1,19,9,2329934588.31641,2122613.69146384
11,Frederick,525,23,7,Enhanced,7,21,10,2890002368.51172,328351.049806112
12,Garrett,4,0,0,Partial,6,23,11,2860745161.01563,281807.867259157
13,Harford,176,0,6,Enhanced,4,25,12,1918415707.58594,509309.187104658
14,Howard,475,10,1,Partial,7,27,13,1089436036.53125,217926.641507374
15,Kent,14,1,0,Partial,2,29,14,1214377368.37891,642712.199279433
16,Montgomery,2280,63,15,Partial,3,31,15,2142728433.39844,459689.982466052
17,Prince George's,2966,77,10,Partial,3,33,16,2073261898.11719,391861.372434526
18,Queen Anne's,19,1,0,Partial,2,35,17,1604272544.72266,833409.527049959
19,Somerset,9,0,0,Partial,1,39,19,1353987955.57813,1724844.63525122
20,St. Mary's,100,1,0,Partial,5,37,18,1515567868.50781,962932.297427502
21,Talbot,14,1,0,Enhanced,2,41,20,1153979565.26953,1221554.88133175
22,Washington,116,1,0,Partial,6,43,21,2002006981.78516,428074.05189915
23,Wicomico,103,1,0,Enhanced,1,45,22,1602773791.67969,384958.204199738
24,Worcester,28,0,0,Enhanced,1,47,23,1994019871.01172,1473471.71489491
