OBJECTID,COUNTY,DISTRICT,COUNTY_FIP,COUNTYNUM,TotalCaseCount,TotalDeathCount,EOCStatus,ProbDeaths,Shape__Area,Shape__Length
1,Allegany,6,1,1,33,1,Enhanced,0,1851538947.24609,394249.898087364
2,Anne Arundel,5,3,2,1047,40,Partial,6,1778838317.07031,1187074.90604609
3,Baltimore,4,5,3,1733,44,Partial,6,2637687793.67188,818319.559802303
4,Baltimore City,0,510,24,1392,46,Full,5,352783081.195313,199394.091724007
5,Calvert,5,9,4,113,3,Partial,0,910463399.882813,382233.861870395
6,Caroline,2,11,5,33,0,Partial,0,1379449077.28906,248389.129627785
7,Carroll,7,13,6,313,27,Partial,1,1962097001.74609,333550.715409503
8,Cecil,2,15,7,131,3,Partial,0,1526098142.74219,542652.15548276
9,Charles,5,17,8,370,17,Enhanced,0,1951088479.46094,581727.788949102
10,Dorchester,1,19,9,21,1,Enhanced,0,2329934588.31641,2122613.69146384
11,Frederick,7,21,10,591,25,Enhanced,5,2890002368.51172,328351.049806112
12,Garrett,6,23,11,4,0,Partial,0,2860745161.01563,281807.867259157
13,Harford,4,25,12,210,1,Enhanced,5,1918415707.58594,509309.187104658
14,Howard,7,27,13,515,11,Partial,1,1089436036.53125,217926.641507374
15,Kent,2,29,14,18,1,Partial,0,1214377368.37891,642712.199279433
16,Montgomery,3,31,15,2507,80,Partial,16,2142728433.39844,459689.982466052
17,Prince George's,3,33,16,3345,98,Partial,7,2073261898.11719,391861.372434526
18,Queen Anne's,2,35,17,25,2,Partial,0,1604272544.72266,833409.527049959
19,Somerset,1,39,19,10,0,Partial,0,1353987955.57813,1724844.63525122
20,St. Mary's,5,37,18,105,2,Partial,0,1515567868.50781,962932.297427502
21,Talbot,2,41,20,19,1,Enhanced,0,1153979565.26953,1221554.88133175
22,Washington,6,43,21,117,3,Partial,0,2002006981.78516,428074.05189915
23,Wicomico,1,45,22,145,3,Enhanced,0,1602773791.67969,384958.204199738
24,Worcester,1,47,23,33,0,Partial,0,1994019871.01172,1473471.71489491
