OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,170,4,2,20,27,30,23,28,19,14,3,0,0 to 89,45,103,67,0,170,0,0,3,165,2,11,158,1,4,165,0,1,169,0,0,4,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,165,0,170,165,4,0,11,8,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,1043,27,39,106,153,145,167,173,111,90,27,5,0 to 118,47,618,383,42,1040,3,0,58,863,122,132,886,16,56,984,0,3,1037,27,0,29,0,31,25,0,56,0,9,6,5,8,11,5,9,3,0,0,6 to 82,44,32,23,1,0,1,53,2,15,0,10,0,0,1,56,25,31,56,0,0,981,3,1043,984,56,1,69,32,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,168,19,6,6,20,27,21,28,22,14,4,1,0 to 118,47,86,68,14,168,0,0,11,156,1,36,128,3,1,167,0,0,168,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29 to 29,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,167,0,168,167,1,0,12,7,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1662,62,43,119,234,261,250,283,203,128,76,3,0 to 118,48,1045,574,43,1613,48,1,82,1448,132,137,1464,53,131,1519,1,11,1602,47,2,79,3,72,54,0,126,1,2,4,19,16,12,25,24,18,10,0,3 to 96,59,88,17,11,10,12,101,13,39,1,23,0,0,3,131,58,73,125,5,1,1476,43,1662,1519,131,3,307,140,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,86,1,2,8,15,16,11,11,9,11,1,1,0 to 88,45,47,37,2,86,0,0,3,79,4,5,78,3,6,80,0,0,86,2,0,4,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,80,0,86,80,6,0,27,11,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,16223,209,241,1029,2065,2296,2644,2866,2177,1315,762,619,0 to 115,52,9095,6980,148,16049,172,2,194,15608,417,678,15262,134,2170,13687,303,63,15691,122,6,1995,47,1055,1050,12,2117,8,10,133,237,291,329,363,337,284,155,23,0 to 104,57,737,257,151,972,248,855,1014,460,23,346,15,3,121,2170,1079,1079,2115,53,2,13574,113,16223,13687,2170,121,681,426,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,2340,43,49,153,297,371,412,394,330,209,79,3,0 to 99,51,1363,904,73,2333,7,0,145,2030,161,270,2006,56,202,2102,2,34,2297,15,0,183,4,118,80,0,198,0,2,15,17,29,26,35,37,26,15,0,5 to 96,59,126,43,13,16,27,150,21,79,0,60,0,0,15,202,82,120,198,4,0,2099,3,2340,2102,202,15,71,56,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,4223,71,94,297,540,654,753,773,611,316,108,6,0 to 102,50,2563,1647,13,4196,27,0,111,3904,202,257,3864,84,205,3989,6,23,4167,25,1,173,6,99,99,0,198,1,3,17,24,46,39,32,31,7,5,0,1 to 94,48,136,17,31,14,49,131,18,68,3,41,2,0,3,205,103,102,198,7,0,3969,20,4223,3989,205,3,393,187,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,327,8,8,29,55,61,64,47,39,11,4,1,0 to 96,45,213,111,3,325,1,1,3,280,44,40,276,7,51,276,0,0,326,6,0,44,1,33,17,0,50,0,0,4,9,10,13,10,4,1,0,0,20 to 81,46,7,22,0,21,1,25,24,1,0,4,0,0,0,51,17,34,49,1,1,276,0,327,276,51,0,74,36,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,2402,60,45,316,446,411,415,373,230,79,26,1,0 to 95,43,1363,983,56,2384,17,1,46,2186,168,146,2194,51,176,2217,2,7,2376,7,1,164,4,99,72,0,171,1,2,24,40,31,31,29,16,0,2,0,2 to 86,42,71,66,5,29,12,128,31,46,3,21,1,0,1,176,74,102,170,5,1,2205,12,2402,2217,176,1,322,206,1817477697.41779,246081.909627491
