OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,44,3,1,7,5,9,5,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,43,0 to 89,NA,NA,0,0,24,20,0,44,0,0,5,39,0,0,0,0,0,0,0,0,44,0,44,0,0,1,2,0,0,0,0,0,0,0,44,0,44,44,0,0,1,1,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,339,11,3,26,51,46,51,60,42,36,13,0,0,0,2,0,2,5,0,4,1,0,50,0 to 97,51,22 to 82,14,0,201,129,9,338,1,0,94,233,12,10,1,3,12,0,2,0,334,14,319,1,5,52,20,87,14,7,7,14,0,0,319,1,339,320,14,0,17,16,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,38,0,0,2,4,7,8,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,51,19 to 81,NA,NA,0,0,20,18,0,38,0,0,5,32,1,0,0,0,0,0,0,0,37,0,37,0,1,6,0,0,0,0,0,0,0,0,37,0,38,37,0,0,1,1,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,397,17,15,25,72,66,63,69,44,22,3,1,1,0,2,9,5,8,8,8,9,1,45,0 to 93,54,3 to 87,48,0,231,147,19,392,4,1,64,294,39,28,4,19,40,3,8,1,339,51,288,0,58,49,19,62,51,24,27,47,3,1,287,1,397,288,51,1,202,141,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,18,0,0,2,1,3,1,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,56,19 to 84,73,73 to 73,1,0,10,8,0,18,0,0,0,15,3,0,0,1,0,0,1,0,18,1,17,0,0,2,1,0,1,0,1,1,0,0,17,0,18,17,1,0,3,2,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,3920,61,71,272,543,573,613,623,593,394,161,16,3,2,46,70,86,98,117,145,123,47,51,0 to 104,57,0 to 99,707,0,2188,1673,59,3877,41,2,244,3575,101,71,522,144,150,482,105,27,3845,737,3108,0,75,130,429,162,737,383,347,705,30,2,3097,11,3920,3108,737,27,638,530,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,680,18,21,47,85,98,105,113,104,67,22,0,0,0,2,5,3,6,12,12,6,2,50,0 to 95,58,18 to 95,46,0,378,264,38,676,4,0,65,589,26,19,1,28,29,1,18,3,663,48,615,0,17,63,8,24,48,23,25,46,2,0,613,2,680,615,48,3,74,70,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,1563,34,43,90,179,248,280,298,238,117,36,0,0,0,7,9,14,14,9,11,2,0,50,0 to 95,47,17 to 82,64,0,960,598,5,1547,16,0,90,1419,54,25,22,19,46,10,10,2,1540,66,1473,1,23,78,53,54,66,32,34,64,2,0,1461,12,1563,1473,66,2,199,120,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,52,3,0,2,9,6,16,6,6,3,1,0,0,0,0,1,0,1,0,0,0,0,47,0 to 90,43,32 to 54,2,0,33,19,0,51,0,1,3,45,4,0,2,0,1,1,0,0,52,2,50,0,0,1,3,3,2,1,1,1,0,1,50,0,52,50,2,0,2,2,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,718,24,16,102,132,107,104,113,81,30,9,0,0,0,4,10,10,4,4,3,0,0,43,0 to 95,40,19 to 71,32,0,442,272,4,712,5,1,21,665,32,19,1,15,29,1,5,0,715,35,680,0,3,19,19,21,35,17,18,31,3,1,678,2,718,680,35,0,155,111,1817477697.41779,246081.909627491
