OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,177,4,2,20,27,30,26,30,21,14,3,0,0 to 89,46,108,69,0,177,0,0,3,172,2,11,1,4,172,0,1,176,0,0,4,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,172,0,177,172,4,0,11,8,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,1070,28,40,109,161,149,171,177,112,90,28,5,0 to 118,47,638,390,42,1067,3,0,57,889,122,133,16,58,1009,0,3,1064,27,0,31,0,32,26,0,58,0,9,6,6,9,11,5,9,3,0,0,6 to 82,42,32,25,1,0,1,55,2,15,0,11,0,0,1,58,26,32,58,0,0,1006,3,1070,1009,58,1,72,30,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,177,19,7,6,22,29,22,29,24,14,4,1,0 to 118,47,89,71,17,177,0,0,11,164,1,37,3,2,175,0,0,177,0,0,2,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 60,44,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,175,0,177,175,2,0,12,3,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1699,64,45,121,238,270,254,291,206,130,77,3,0 to 118,48,1070,586,43,1635,63,1,85,1480,132,142,54,131,1556,1,11,1624,47,2,79,3,72,54,0,126,1,2,4,19,16,12,25,24,18,10,0,3 to 96,59,87,17,12,10,12,101,13,41,1,23,0,0,3,131,58,73,125,5,1,1498,58,1699,1556,131,3,313,141,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,92,1,2,8,15,19,12,12,9,12,1,1,0 to 88,45,49,41,2,92,0,0,3,85,4,5,3,6,86,0,0,92,2,0,4,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,86,0,92,86,6,0,27,5,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,17685,221,256,1109,2203,2453,2876,3222,2352,1361,791,841,0 to 115,52,9908,7618,159,17499,184,2,197,17054,417,700,136,2260,15071,294,60,17153,122,6,2085,47,1094,1101,12,2207,11,10,144,246,307,343,384,340,291,159,25,0 to 104,56,771,271,160,1005,258,893,1056,471,23,354,15,3,122,2260,1130,1118,2205,53,2,14946,125,17685,15071,2260,122,683,427,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,2404,44,49,155,304,376,425,408,342,217,81,3,0 to 99,51,1394,934,76,2397,7,0,155,2082,161,279,56,204,2163,2,35,2360,15,0,185,4,118,81,1,200,0,2,15,17,29,26,37,37,26,15,0,5 to 96,59,130,44,13,13,29,153,18,80,0,61,0,0,15,204,83,120,200,4,0,2160,3,2404,2163,204,15,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,4323,74,95,299,556,667,766,793,628,329,110,6,0 to 102,51,2622,1688,13,4295,28,0,113,3998,202,270,85,209,4081,6,27,4262,25,1,177,6,102,100,0,202,2,3,18,24,46,40,32,33,6,5,0,1 to 94,48,139,19,32,12,49,137,16,71,3,45,2,0,3,209,104,105,202,7,0,4060,21,4323,4081,209,3,396,188,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,352,8,8,33,59,68,71,49,40,11,4,1,0 to 96,44,227,122,3,350,1,1,6,301,44,43,7,57,295,0,0,351,6,0,50,1,37,19,0,56,0,0,4,11,11,15,11,4,1,0,0,20 to 81,45,9,23,0,24,1,28,27,1,0,5,0,0,0,57,19,38,55,1,1,295,0,352,295,57,0,79,39,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,2520,63,52,325,466,435,431,392,242,84,29,1,0 to 95,43,1435,1027,58,2500,19,1,49,2287,168,155,53,184,2327,2,7,2492,7,1,171,5,101,77,0,178,1,2,24,41,33,33,30,16,2,2,0,2 to 86,42,76,71,5,26,12,139,27,48,5,22,3,0,1,184,80,104,177,6,1,2314,13,2520,2327,184,1,332,211,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,123,6,4,4,9,16,15,25,18,14,11,1,0 to 96,57,80,41,2,120,3,0,4,79,40,31,5,26,97,0,0,120,19,0,5,2,12,12,0,24,0,0,1,1,1,2,6,7,4,4,0,22 to 95,66,10,10,3,1,3,19,2,4,2,5,0,0,1,26,14,12,24,2,0,96,1,123,97,26,1,43,18,1581350101.5302,228391.565390175
