"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","recovered"
"Alameda","4/20/2020 13:26:19","1191","42","http://www.acphd.org/2019-ncov.aspx","","","","","",""
"Alpine","4/20/2020 17:15:44","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","10","0","8","2","1"
"Amador","4/20/2020 17:16:50","7","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","5"
"Butte","4/20/2020 13:29:17","16","0","https://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek?live","","811","","795","16",""
"Calaveras","4/17/2020 17:51:26","12","0","https://covid19.calaverasgov.us/","","288","","","","7"
"Colusa","4/20/2020 17:17:53","3","0","http://countyofcolusa.org/99/Public-Health","","","","","",""
"Contra Costa","4/19/2020 17:36:10","707","22","https://cchealth.org/coronavirus/","","9572","","","",""
"Del Norte","4/20/2020 17:19:43","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","242","1","239","2","2"
"El Dorado","4/20/2020 17:20:53","38","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1590","","1552","38","31"
"Fresno","4/20/2020 17:21:26","351","7","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","5149","","","","105"
"Glenn","4/17/2020 17:55:29","4","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","69","","65","4","3"
"Humboldt","4/20/2020 17:24:48","52","0","https://humboldtgov.org/2707/COVID-Test-Results","","1693","","","",""
"Imperial","4/20/2020","160","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","1128","","","","45"
"Inyo","4/20/2020 17:25:56","18","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","20","155","18",""
"Kern","4/19/2020 17:51:27","643","3","https://kernpublichealth.com/2019-novel-coronavirus/","we no longer include the non-residents listed","","3527","4668","652","234"
"Kings","4/20/2020 13:31:03","30","1","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","856","","802","","4"
"Lake","4/20/2020 17:26:52","6","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","335","","5"
"Lassen","4/20/2020 17:27:42","0","0","https://lassencares.org/","","93","8","85","0",""
"Los Angeles","4/20/2020 17:12:19","13816","617","http://publichealth.lacounty.gov/media/Coronavirus/","","80500","","","",""
