Report Date,FIPS,Locality,Health District,Total Cases,Hospitalized,Deaths
4/21/2020,51001,Accomack,Eastern Shore,52,15,1
4/21/2020,51005,Alleghany,Alleghany,5,4,0
4/21/2020,51007,Amelia,Piedmont,15,6,1
4/21/2020,51017,Bath,Central Shenandoah,0,0,0
4/21/2020,51023,Botetourt,Alleghany,25,9,3
4/21/2020,51041,Chesterfield,Chesterfield,346,29,7
4/21/2020,51045,Craig,Alleghany,2,0,0
4/21/2020,51051,Dickenson,Cumberland Plateau,0,0,0
4/21/2020,51059,Fairfax,Fairfax,2077,379,64
4/21/2020,51061,Fauquier,Rappahannock Rapidan,49,5,1
4/21/2020,51063,Floyd,New River,1,0,0
4/21/2020,51065,Fluvanna,Thomas Jefferson,68,12,4
4/21/2020,51067,Franklin County,West Piedmont,16,2,0
4/21/2020,51069,Frederick,Lord Fairfax,83,9,0
4/21/2020,51071,Giles,New River,4,0,0
4/21/2020,51073,Gloucester,Three Rivers,21,4,1
4/21/2020,51075,Goochland,Chickahominy,62,7,3
4/21/2020,51089,Henry,West Piedmont,10,2,1
4/21/2020,51095,James City,Peninsula,146,51,12
4/21/2020,51099,King George,Rappahannock,19,11,2
4/21/2020,51101,King William,Three Rivers,2,0,0
4/21/2020,51103,Lancaster,Three Rivers,1,1,0
4/21/2020,51107,Loudoun,Loudoun,468,59,8
4/21/2020,51117,Mecklenburg,Southside,68,16,1
4/21/2020,51121,Montgomery,New River,48,6,0
4/21/2020,51125,Nelson,Thomas Jefferson,6,0,0
4/21/2020,51135,Nottoway,Piedmont,8,0,0
4/21/2020,51137,Orange,Rappahannock Rapidan,21,3,0
4/21/2020,51139,Page,Lord Fairfax,14,0,0
4/21/2020,51147,Prince Edward,Piedmont,19,3,2
4/21/2020,51157,Rappahannock,Rappahannock Rapidan,1,0,0
4/21/2020,51159,Richmond County,Three Rivers,53,4,0
4/21/2020,51161,Roanoke County,Alleghany,25,0,0
4/21/2020,51169,Scott,Lenowisco,5,1,1
4/21/2020,51171,Shenandoah,Lord Fairfax,45,8,0
4/21/2020,51173,Smyth,Mount Rogers,13,4,0
4/21/2020,51175,Southampton,Western Tidewater,18,3,1
4/21/2020,51177,Spotsylvania,Rappahannock,79,18,2
4/21/2020,51179,Stafford,Rappahannock,164,37,2
4/21/2020,51181,Surry,Crater,4,1,1
4/21/2020,51183,Sussex,Crater,23,2,1
4/21/2020,51191,Washington,Mount Rogers,29,8,3
4/21/2020,51195,Wise,Lenowisco,18,7,1
4/21/2020,51530,Buena Vista City,Central Shenandoah,5,0,0
4/21/2020,51540,Charlottesville,Thomas Jefferson,41,11,2
4/21/2020,51570,Colonial Heights,Chesterfield,36,0,2
4/21/2020,51580,Covington,Alleghany,1,0,0
4/21/2020,51595,Emporia,Crater,12,3,1
4/21/2020,51610,Falls Church,Fairfax,24,2,1
4/21/2020,51630,Fredericksburg,Rappahannock,17,3,0
4/21/2020,51640,Galax,Mount Rogers,1,1,0
4/21/2020,51650,Hampton,Hampton,92,26,1
4/21/2020,51670,Hopewell,Crater,16,5,0
