Report Date,FIPS,Health District,Locality,Total Cases,Hospitalized,Deaths
4/22/2020,51720,Lenowisco,Norton,2,1,0
4/22/2020,51680,Central Virginia,Lynchburg,43,4,1
4/22/2020,51735,Peninsula,Poquoson,6,2,0
4/22/2020,51021,Mount Rogers,Bland,0,0,0
4/22/2020,51171,Lord Fairfax,Shenandoah,53,8,0
4/22/2020,51107,Loudoun,Loudoun,475,61,9
4/22/2020,51081,Crater,Greensville,24,4,4
4/22/2020,51169,Lenowisco,Scott,5,1,1
4/22/2020,51620,Western Tidewater,Franklin City,14,0,0
4/22/2020,51025,Southside,Brunswick,13,3,0
4/22/2020,51029,Piedmont,Buckingham,27,6,0
4/22/2020,51137,Rappahannock Rapidan,Orange,22,3,0
4/22/2020,51101,Three Rivers,King William,2,0,0
4/22/2020,51153,Prince William,Prince William,924,101,17
4/22/2020,51033,Rappahannock,Caroline,20,3,0
4/22/2020,51185,Cumberland Plateau,Tazewell,4,0,0
4/22/2020,51085,Chickahominy,Hanover,97,20,6
4/22/2020,51600,Fairfax,Fairfax City,25,2,1
4/22/2020,51175,Western Tidewater,Southampton,19,3,1
4/22/2020,51145,Chesterfield,Powhatan,9,0,0
4/22/2020,51027,Cumberland Plateau,Buchanan,12,0,0
4/22/2020,51159,Three Rivers,Richmond County,53,4,0
4/22/2020,51059,Fairfax,Fairfax,2256,405,66
4/22/2020,51540,Thomas Jefferson,Charlottesville,44,11,2
4/22/2020,51135,Piedmont,Nottoway,8,0,0
4/22/2020,51031,Central Virginia,Campbell,10,0,0
4/22/2020,51079,Thomas Jefferson,Greene,9,2,1
4/22/2020,51113,Rappahannock Rapidan,Madison,12,1,0
4/22/2020,51077,Mount Rogers,Grayson,0,0,0
4/22/2020,51073,Three Rivers,Gloucester,21,4,1
4/22/2020,51177,Rappahannock,Spotsylvania,83,20,3
4/22/2020,51109,Thomas Jefferson,Louisa,37,8,0
4/22/2020,51760,Richmond,Richmond City,250,41,10
4/22/2020,51001,Eastern Shore,Accomack,59,15,1
4/22/2020,51530,Central Shenandoah,Buena Vista City,5,0,0
4/22/2020,51117,Southside,Mecklenburg,69,17,1
4/22/2020,51193,Three Rivers,Westmoreland,12,0,0
4/22/2020,51800,Western Tidewater,Suffolk,126,28,3
4/22/2020,51103,Three Rivers,Lancaster,1,1,0
4/22/2020,51161,Alleghany,Roanoke County,31,0,0
4/22/2020,51093,Western Tidewater,Isle of Wight,90,8,2
4/22/2020,51590,Pittsylvania-Danville,Danville,29,13,1
4/22/2020,51167,Cumberland Plateau,Russell,2,1,0
4/22/2020,51820,Central Shenandoah,Waynesboro,8,1,0
4/22/2020,51678,Central Shenandoah,Lexington,3,0,0
4/22/2020,51139,Lord Fairfax,Page,16,0,0
4/22/2020,51610,Fairfax,Falls Church,25,2,1
4/22/2020,51840,Lord Fairfax,Winchester,29,0,0
4/22/2020,51009,Central Virginia,Amherst,10,2,1
4/22/2020,51570,Chesterfield,Colonial Heights,37,0,2
4/22/2020,51133,Three Rivers,Northumberland,5,0,0
4/22/2020,51057,Three Rivers,Essex,2,0,0
4/22/2020,51083,Southside,Halifax,12,1,0
4/22/2020,51087,Henrico,Henrico,684,96,82
4/22/2020,51510,Alexandria,Alexandria,474,65,12
4/22/2020,51061,Rappahannock Rapidan,Fauquier,56,5,1
4/22/2020,51670,Crater,Hopewell,16,5,0
4/22/2020,51041,Chesterfield,Chesterfield,356,30,7
4/22/2020,51099,Rappahannock,King George,20,11,4
4/22/2020,51023,Alleghany,Botetourt,26,9,3
4/22/2020,51049,Piedmont,Cumberland,10,1,0
4/22/2020,51710,Norfolk,Norfolk,126,29,3
4/22/2020,51183,Crater,Sussex,23,2,1
4/22/2020,51640,Mount Rogers,Galax,1,1,0
4/22/2020,51830,Peninsula,Williamsburg,14,5,1
