Fecha,TOTAL,Nuevos,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO_,UCI,RECUPERADO,Check,FID
2020-03-10T00:00:00.000Z,1,1,0,4,0,0,0,,1
2020-03-11T00:00:00.000Z,8,7,1,6,0,1,0,1,2
2020-03-12T00:00:00.000Z,14,6,3,9,1,1,0,1,3
2020-03-13T00:00:00.000Z,27,13,4,21,1,1,0,1,4
2020-03-14T00:00:00.000Z,36,9,4,30,1,1,0,1,5
2020-03-15T00:00:00.000Z,43,7,3,37,1,2,0,1,6
2020-03-16T00:00:00.000Z,55,12,4,44,1,6,0,1,7
2020-03-17T00:00:00.000Z,69,14,4,57,1,7,0,1,8
2020-03-18T00:00:00.000Z,86,17,6,71,1,8,0,1,9
2020-03-19T00:00:00.000Z,109,23,8,91,1,9,0,,10
2020-03-20T00:00:00.000Z,137,28,11,115,1,10,0,1,11
2020-03-21T00:00:00.000Z,200,63,17,171,1,11,0,,12
2020-03-22T00:00:00.000Z,245,45,22,208,3,12,0,,13
2020-03-23T00:00:00.000Z,313,68,29,268,3,13,0,1,14
2020-03-24T00:00:00.000Z,345,32,33,289,6,17,0,,15
2020-03-25T00:00:00.000Z,443,98,45,373,6,19,0,,16
2020-03-26T00:00:00.000Z,558,115,46,482,8,20,2,1,17
2020-03-27T00:00:00.000Z,674,116,62,578,9,23,2,1,18
2020-03-28T00:00:00.000Z,786,112,80,662,14,28,2,,19
2020-03-29T00:00:00.000Z,901,115,95,753,17,32,4,1,20
2020-03-30T00:00:00.000Z,989,88,105,820,24,36,4,1,21
2020-03-31T00:00:00.000Z,1075,86,109,888,26,43,9,1,22
2020-04-01T00:00:00.000Z,1181,106,123,969,30,50,9,,23
2020-04-02T00:00:00.000Z,1317,136,135,1078,32,63,9,,24
2020-04-03T00:00:00.000Z,1475,158,152,1207,37,69,10,1,25
2020-04-04T00:00:00.000Z,1673,198,141,1406,41,72,13,1,26
2020-04-05T00:00:00.000Z,1801,128,154,1513,46,75,13,,27
2020-04-06T00:00:00.000Z,1988,187,163,1680,54,78,13,1,28
2020-04-07T00:00:00.000Z,2100,112,167,1776,55,88,14,1,29
2020-04-08T00:00:00.000Z,2249,149,177,1906,59,91,16,1,30
2020-04-09T00:00:00.000Z,2528,279,194,2154,63,101,16,1,31
2020-04-10T00:00:00.000Z,2752,224,196,2367,66,107,16,1,32
2020-04-11T00:00:00.000Z,2974,222,200,2579,74,104,17,1,33
2020-04-12T00:00:00.000Z,3234,260,213,2817,79,102,23,1,34
2020-04-13T00:00:00.000Z,3400,166,223,2955,87,106,29,1,35
2020-04-14T00:00:00.000Z,3472,72,229,2983,94,105,61,1,36
2020-04-15T00:00:00.000Z,3574,102,230,3071,95,106,72,1,37
2020-04-16T00:00:00.000Z,3751,177,227,3270,103,106,75,1,38
2020-04-17T00:00:00.000Z,4016,265,227,3483,109,99,98,1,39
2020-04-18T00:00:00.000Z,4210,194,247,3631,116,94,122,1,40
2020-04-19T00:00:00.000Z,4273,63,254,3664,120,95,140,1,41
2020-04-20T00:00:00.000Z,4467,194,259,3819,126,98,165,1,42
2020-04-21T00:00:00.000Z,4658,191,266,3954,136,98,204,1,43
2020-04-22T00:00:00.000Z,4821,163,261,4094,141,94,231,1,44
2020-04-23T00:00:00.000Z,4992,171,259,4237,144,97,255,1,45
2020-04-24T00:00:00.000Z,5166,174,270,4393,146,86,271,1,46
2020-04-25T00:00:00.000Z,5338,172,254,4524,154,87,319,1,47
