OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
26478,Blount,01009,Northeastern,31,0,0.164406638341006,2.45274784751908,e8fdce2a-3fed-4521-8d81-ceeb597f4f0d,326
26479,Fayette,01057,West Central,4,0,0.158552104918499,1.83779224583562,5b4634e2-7c3a-4bce-aba0-137ed2356ff9,193
26480,Lamar,01075,West Central,10,0,0.15263540616661,1.64069081755141,e82ac73e-bc46-4b42-ac00-7a758ffd17e1,172
26481,Clay,01027,Northeastern,19,1,0.151874743437702,2.02332180215824,0d767247-44ac-471f-89e5-3af7bb3068a0,141
26482,Lauderdale,01077,Northern,25,2,0.184043571131042,2.55716948814366,4d1eb217-8b13-439c-a2ea-09e3c3600bc4,1145
26483,Covington,01039,Southeastern,31,0,0.255971892285061,2.38709591035509,2906a333-0f2c-4add-8043-7d6636fb4760,270
26484,Houston,01069,Southeastern,76,3,0.142463779205855,2.10452810210549,88757806-566e-4b5c-9463-39a476da47b7,604
26485,Lowndes,01085,East Central,36,1,0.179493868658938,2.34426217715912,3e7cff4f-a6b4-41ff-a42f-470a28e169a6,104
26486,Macon,01087,East Central,29,2,0.152225727451423,2.0876916570357,9e6815bb-3bbf-4c2a-bcce-fd0aa4d103da,231
26487,Baldwin,01003,Southwestern,147,3,0.400159431601878,6.69300034847276,5f70043a-c17d-497b-be07-75d8be4b1157,1872
26488,Clarke,01025,Southwestern,24,1,0.308508819690587,3.78655552072513,5bf02711-3157-4a99-9a88-e1429d449c06,273
26489,Conecuh,01035,Southwestern,9,0,0.209509978242295,2.59686142559656,016c2b2f-d3ff-4e17-90f1-5bc9bc022365,80
26490,Franklin,01059,Northern,32,0,0.164243463038702,1.78358559509712,43911bdd-6e08-4719-a795-0ac00e05f7a4,316
26491,Hale,01065,West Central,39,2,0.163613340422671,2.4799010938001,0f3ae657-2c70-49b5-bf08-d9611a0dde28,192
26492,Autauga,01001,East Central,36,2,0.150198352049983,2.1379328255407,885441bf-d49f-4627-ac50-15a0ba863514,455
26493,Escambia,01053,Southwestern,22,1,0.233446648119298,2.50306921694382,38666ede-bb80-4a5b-af83-1bc829997042,266
26494,Marshall,01095,Northern,267,4,0.158193819913322,2.22984018931076,500ebcaf-08af-481a-b7ff-b3d4a018c7f3,1235
26495,Pickens,01107,West Central,45,1,0.22311596802615,2.22345505777214,95045fd6-fea9-4ee8-972a-effa440d70cf,285
