OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,Gilchrist,FL,201,5,3,21,32,33,30,35,23,16,3,0,0 to 89,46,125,75,1,201,0,0,3,196,2,11,176,1,4,196,0,1,200,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,196,0,201,196,4,0,12,3,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,Putnam,FL,1152,29,43,120,173,159,176,193,129,94,31,5,0 to 118,47,687,424,41,1149,3,0,64,951,133,158,955,16,81,1068,0,3,1146,44,37,0,0,47,34,0,81,0,11,11,8,14,13,8,13,3,0,0,6 to 82,42,45,35,1,0,1,78,2,25,0,13,0,0,1,81,34,47,81,0,0,1065,3,1152,1068,81,1,84,38,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,Taylor,FL,194,19,8,7,25,31,24,32,27,16,4,1,0 to 118,47,99,77,18,194,0,0,11,178,3,46,140,3,3,189,0,2,192,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,189,0,194,189,3,0,18,8,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,Okaloosa,FL,1954,71,51,136,275,316,289,329,244,150,90,3,0 to 118,48,1227,689,38,1884,69,1,84,1711,137,158,1583,55,145,1798,0,11,1874,81,59,3,2,77,63,0,140,1,3,4,20,18,14,29,26,19,11,0,3 to 96,59,108,21,11,0,17,122,1,43,1,24,0,0,3,145,67,78,139,5,1,1734,64,1954,1798,145,3,369,170,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,Calhoun,FL,101,1,2,9,16,22,12,13,11,13,1,1,0 to 88,44,55,44,2,101,0,0,3,94,4,5,89,3,6,95,0,0,101,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,95,0,101,95,6,0,27,0,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,Palm Beach,FL,22203,262,337,1386,2692,2928,3535,4127,3007,1699,952,1278,0 to 115,53,12368,9685,150,21966,235,2,211,21495,465,757,19060,140,2600,19281,268,54,21650,2419,123,52,6,1258,1283,1,2542,13,19,178,292,352,399,442,368,321,189,27,0 to 104,56,919,326,181,1116,307,1010,1225,518,24,384,15,3,155,2600,1317,1282,2540,58,2,19108,173,22203,19281,2600,155,685,428,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,St. Lucie,FL,2740,48,59,180,345,423,484,483,385,235,91,7,0 to 99,51,1591,1072,77,2731,9,0,174,2338,188,330,2165,60,223,2459,2,56,2673,201,16,6,0,131,86,0,217,2,2,15,19,32,28,38,40,26,21,0,3 to 97,59,134,49,15,19,31,162,24,89,0,68,0,0,19,223,88,135,217,6,0,2456,3,2740,2459,223,19,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,Pasco,FL,4828,86,104,330,610,736,848,882,704,395,127,6,0 to 102,51,2920,1894,14,4799,29,0,116,4478,223,305,4106,85,230,4560,6,32,4761,190,33,6,1,113,110,0,223,3,5,20,26,48,44,34,36,8,6,0,1 to 94,48,153,22,35,13,54,149,20,72,3,50,2,0,4,230,114,116,223,7,0,4538,22,4828,4560,230,4,407,136,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,Gadsden,FL,435,13,8,40,72,87,84,60,50,15,5,1,0 to 96,44,276,155,4,433,1,1,9,359,46,71,312,7,79,355,0,1,433,71,7,1,0,54,24,0,78,0,0,5,14,20,22,11,5,2,0,0,20 to 81,45,8,46,3,21,3,46,29,11,0,13,0,0,0,79,24,55,77,1,1,355,0,435,355,79,0,102,40,1367889846.39806,205127.330650714
10,10,37,073,LEON,Leon,FL,2904,69,60,373,533,484,489,465,282,105,43,1,0 to 97,43,1610,1203,91,2872,31,1,65,2623,201,198,2346,60,207,2687,2,8,2863,186,9,11,1,107,88,0,195,1,2,28,46,36,36,37,16,2,3,0,2 to 87,43,87,84,6,18,13,162,20,57,6,27,6,1,2,207,95,112,194,12,1,2668,19,2904,2687,207,2,350,189,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,Jefferson,FL,133,7,4,5,10,17,15,29,18,14,12,2,0 to 96,57,83,47,3,130,3,0,4,86,41,34,90,5,27,105,0,1,129,5,20,2,0,12,13,0,25,0,0,1,1,1,2,7,7,4,4,0,22 to 95,66,11,10,4,0,3,20,2,4,2,6,0,0,2,27,15,12,25,2,0,104,1,133,105,27,2,43,10,1581350101.5302,228391.565390175
12,12,40,079,MADISON,Madison,FL,362,31,18,18,26,40,34,39,60,41,32,23,0 to 99,55,208,134,20,352,10,0,15,286,53,166,122,5,41,225,0,96,260,20,19,2,0,20,19,0,39,2,0,4,3,5,5,6,7,4,5,0,0 to 89,59,11,22,1,5,1,29,9,8,0,4,0,0,2,41,20,21,39,2,0,221,4,362,225,41,2,72,28,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,Liberty,FL,42,2,3,6,10,6,4,6,4,1,0,0,0 to 76,34,25,15,2,42,0,0,1,40,1,2,39,0,2,40,0,0,42,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,40,0,42,40,2,0,13,4,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,Hamilton,FL,127,3,2,17,19,14,14,23,19,7,5,4,0 to 95,49,73,48,6,125,2,0,9,109,9,17,97,3,6,116,0,5,121,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,115,1,127,116,6,0,3,1,1344926537.82205,232510.619937192
15,15,3,005,BAY,Bay,FL,1019,9,16,70,133,164,213,197,124,67,26,0,0 to 99,50,556,409,54,1017,2,0,37,953,28,69,849,29,63,955,1,0,1016,47,15,1,0,26,36,0,62,0,1,3,10,12,16,9,9,2,1,0,14 to 93,47,46,8,3,5,14,41,7,20,1,9,1,0,2,63,37,26,62,1,0,954,1,1019,955,63,2,32,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,Columbia,FL,797,30,29,55,113,119,107,155,111,55,19,4,0 to 118,49,429,320,48,789,8,0,131,601,63,126,540,17,46,745,0,6,785,33,12,1,0,26,19,0,45,1,0,5,11,4,8,12,4,1,0,0,1 to 76,46,36,6,2,1,5,38,2,2,0,6,0,0,0,46,20,26,45,1,0,740,5,797,745,46,0,7,5,2068684690.43686,276060.430857214
