County,Total Positive,Total Negative,Total Tested
Adams,0.0,29.0,29.0
Barnes,4.0,112.0,116.0
Benson,0.0,340.0,340.0
Billings,0.0,8.0,8.0
Bottineau,0.0,100.0,100.0
Bowman,1.0,174.0,175.0
Burke,3.0,32.0,35.0
Burleigh,74.0,1987.0,2061.0
Cass,357.0,4073.0,4430.0
Cavalier,0.0,36.0,36.0
Dickey,0.0,33.0,33.0
Divide,1.0,36.0,37.0
Dunn,10.0,119.0,129.0
Eddy,1.0,56.0,57.0
Emmons,1.0,57.0,58.0
Foster,1.0,36.0,37.0
Golden Valley,0.0,14.0,14.0
Grand Forks,173.0,1658.0,1831.0
Grant,1.0,29.0,30.0
Griggs,0.0,24.0,24.0
Hettinger,0.0,124.0,124.0
Kidder,0.0,27.0,27.0
LaMoure,0.0,39.0,39.0
Logan,0.0,32.0,32.0
McHenry,1.0,84.0,85.0
McIntosh,1.0,53.0,54.0
McKenzie,12.0,265.0,277.0
McLean,3.0,222.0,225.0
Mercer,0.0,124.0,124.0
Morton,24.0,706.0,730.0
Mountrail,33.0,561.0,594.0
Nelson,1.0,54.0,55.0
Oliver,1.0,18.0,19.0
Pembina,1.0,95.0,96.0
Pierce,2.0,43.0,45.0
Ramsey,3.0,274.0,277.0
Ransom,0.0,64.0,64.0
Renville,0.0,35.0,35.0
Richland,7.0,206.0,213.0
Rolette,1.0,141.0,142.0
Sargent,1.0,60.0,61.0
Sheridan,0.0,21.0,21.0
Sioux,1.0,60.0,61.0
Slope,3.0,125.0,128.0
Stark,40.0,1026.0,1066.0
Steele,0.0,18.0,18.0
Stutsman,4.0,355.0,359.0
Towner,0.0,32.0,32.0
Traill,0.0,116.0,116.0
Unknown,0.0,2207.0,2207.0
Walsh,4.0,209.0,213.0
Ward,21.0,1454.0,1475.0
Wells,2.0,187.0,189.0
Williams,10.0,557.0,567.0
