OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,Gilchrist,FL,213,5,3,21,35,33,33,36,25,17,5,0,0 to 98,47,134,78,1,213,0,0,3,208,2,11,1,4,208,0,1,212,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,208,0,213,208,4,0,12,3,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,Putnam,FL,1251,33,45,126,180,175,195,207,139,110,35,6,0 to 118,48,736,471,44,1248,3,0,68,1044,133,166,16,87,1161,0,3,1245,48,39,0,0,50,37,0,87,0,11,11,10,16,14,8,13,3,1,0,6 to 88,42,48,37,1,1,1,83,3,27,0,13,0,0,1,87,37,50,87,0,0,1158,3,1251,1161,87,1,86,38,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,Taylor,FL,208,19,8,9,25,32,28,36,30,16,4,1,0 to 118,48,106,81,21,208,0,0,12,188,3,48,3,3,204,0,1,207,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,204,0,208,204,3,0,18,8,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,Okaloosa,FL,2136,78,55,151,318,341,311,360,264,160,93,5,0 to 118,48,1321,779,36,2061,74,1,85,1888,137,160,57,149,1976,0,11,2051,83,59,3,4,76,66,0,142,1,3,4,20,18,16,30,27,19,11,0,3 to 96,59,109,21,12,0,18,123,1,43,1,24,0,0,3,149,70,79,141,7,1,1909,67,2136,1976,149,3,375,176,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,Calhoun,FL,105,1,2,10,16,22,12,15,11,14,1,1,0 to 88,45,56,47,2,105,0,0,3,98,4,5,3,6,99,0,0,105,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,99,0,105,99,6,0,27,0,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,Palm Beach,FL,24271,278,377,1501,2914,3184,3842,4520,3323,1901,1058,1373,0 to 115,53,13504,10615,152,24017,252,2,213,23548,465,782,139,2697,21269,253,52,23718,2514,125,52,6,1299,1339,1,2639,14,22,184,308,369,411,455,381,327,191,35,0 to 104,55,943,337,192,1167,323,1037,1279,533,24,394,15,3,155,2697,1373,1323,2637,58,2,21079,190,24271,21269,2697,155,693,436,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,St. Lucie,FL,2892,53,62,192,366,436,506,506,405,258,101,7,0 to 102,51,1681,1134,77,2881,11,0,177,2484,188,341,60,228,2615,2,47,2832,206,16,6,0,131,91,0,222,2,2,15,20,32,29,38,41,28,21,0,3 to 97,59,138,50,15,19,32,166,24,90,0,68,0,0,19,228,93,135,222,6,0,2610,5,2892,2615,228,19,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,Pasco,FL,5090,92,107,352,636,770,900,924,740,419,144,6,0 to 102,51,3068,2008,14,5061,29,0,116,4735,223,315,85,232,4827,6,25,5030,188,37,6,1,116,109,0,225,3,5,20,25,48,44,34,36,11,6,0,1 to 94,48,152,23,35,15,55,150,20,72,3,51,2,0,4,232,113,119,225,7,0,4805,22,5090,4827,232,4,421,143,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,Gadsden,FL,457,14,9,41,73,90,90,64,53,16,6,1,0 to 96,45,288,163,6,455,1,1,9,380,46,71,7,81,376,0,0,456,73,7,1,0,56,24,0,80,0,0,5,14,20,23,11,6,2,0,0,20 to 81,45,8,49,2,21,3,48,29,11,0,13,0,0,0,81,24,57,79,1,1,376,0,457,376,81,0,105,42,1367889846.39806,205127.330650714
10,10,37,073,LEON,Leon,FL,3009,70,64,388,545,505,498,477,302,111,48,1,0 to 97,43,1662,1248,99,2971,37,1,68,2721,201,199,61,210,2790,2,7,2963,187,9,13,1,106,90,0,196,1,2,28,46,37,36,38,17,2,3,0,2 to 87,43,87,84,6,19,13,161,22,56,8,27,8,1,2,210,98,112,195,14,1,2767,23,3009,2790,210,2,352,186,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,Jefferson,FL,139,7,4,5,10,19,18,29,19,14,12,2,0 to 96,56,87,49,3,136,3,0,4,91,41,35,5,27,110,0,2,134,5,20,2,0,12,13,0,25,0,0,1,1,1,2,7,7,4,4,0,22 to 95,66,11,10,4,0,3,20,2,4,2,6,0,0,2,27,15,12,25,2,0,109,1,139,110,27,2,43,10,1581350101.5302,228391.565390175
12,12,40,079,MADISON,Madison,FL,380,31,20,21,26,44,37,40,61,43,32,25,0 to 99,54,217,144,19,370,10,0,14,301,53,171,5,43,243,0,94,280,19,22,2,0,21,20,0,41,2,0,4,4,6,5,6,7,4,5,0,0 to 89,57,10,24,2,5,1,30,10,8,0,4,0,0,2,43,21,22,41,2,0,239,4,380,243,43,2,75,31,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,Liberty,FL,43,2,3,6,10,6,4,6,4,1,1,0,0 to 89,35,26,15,2,43,0,0,1,41,1,2,0,2,41,0,0,43,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,41,0,43,41,2,0,13,4,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,Hamilton,FL,140,4,3,19,22,15,15,26,20,7,6,3,0 to 99,48,81,50,9,139,1,0,9,123,9,15,3,6,131,0,3,136,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,130,1,140,131,6,0,3,1,1344926537.82205,232510.619937192
15,15,3,005,BAY,Bay,FL,1236,14,18,82,152,182,252,231,148,76,33,48,0 to 99,51,662,521,53,1233,3,0,37,1170,28,69,29,65,1169,2,0,1231,49,15,1,0,27,37,0,64,0,1,3,10,12,17,9,9,2,1,1,14 to 93,48,47,8,3,6,14,42,8,20,1,9,1,0,2,65,38,27,64,1,0,1167,2,1236,1169,65,2,32,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,Columbia,FL,878,33,35,62,125,127,124,167,122,59,20,4,0 to 118,49,470,351,57,869,9,0,132,679,63,130,17,49,823,0,6,865,35,13,1,0,28,20,0,48,1,0,6,11,5,8,13,4,1,0,0,1 to 76,46,37,8,2,1,5,40,3,3,0,6,0,0,0,49,21,28,48,1,0,817,6,878,823,49,0,8,6,2068684690.43686,276060.430857214
17,17,2,003,BAKER,Baker,FL,355,10,6,37,59,41,65,52,36,29,20,0,0 to 99,48,212,122,21,351,4,0,17,320,16,53,3,20,335,0,0,351,5,15,0,0,13,7,0,20,0,0,1,1,2,0,4,4,5,3,0,24 to 97,70,17,2,1,0,0,19,1,5,0,8,0,0,3,20,7,13,20,0,0,331,4,355,335,20,3,3,2,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,Holmes,FL,477,8,6,28,52,51,76,90,100,49,17,0,0 to 100,57,272,183,22,474,3,0,0,471,5,10,1,9,463,0,5,469,3,6,0,0,3,6,0,9,0,0,0,2,3,2,1,1,0,0,0,27 to 73,44,6,1,1,1,0,8,1,2,0,0,0,0,0,9,6,3,9,0,0,460,3,477,463,9,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,Martin,FL,1642,26,21,90,171,203,264,349,275,174,65,4,0 to 99,56,908,705,29,1632,10,0,77,1478,82,127,58,174,1463,0,5,1628,158,7,9,0,72,93,0,165,1,1,11,17,20,30,39,21,28,6,0,3 to 92,56,109,6,19,31,34,102,29,60,2,40,1,0,5,174,100,74,165,9,0,1463,0,1642,1463,174,5,61,51,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,18456,455,447,1669,3209,3142,3050,2940,2021,1011,473,39,0 to 119,45,10811,7553,92,18259,197,0,412,17524,458,625,269,1048,17360,33,15,18212,933,68,44,3,509,492,0,1001,10,26,123,172,186,190,164,101,52,24,0,0 to 100,45,500,164,210,127,297,548,156,275,10,156,6,2,21,1048,514,534,1001,47,0,17211,149,18456,17360,1048,21,660,314,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,Manatee,FL,3325,77,74,205,410,467,544,585,457,343,161,2,0 to 100,53,2002,1268,55,3304,21,0,245,2874,177,442,33,508,2812,2,3,3299,451,55,2,0,295,210,1,506,1,8,21,47,62,91,66,86,91,35,0,2 to 98,58,315,81,40,70,59,335,112,86,1,129,1,1,42,508,212,295,506,2,0,2793,19,3325,2812,508,42,183,92,1945653927.12581,371198.171414394
22,22,10,019,CLAY,Clay,FL,3511,51,78,277,465,596,659,575,437,258,106,9,0 to 99,49,2032,1358,121,3506,5,0,68,3283,130,287,41,267,3243,1,0,3505,236,29,2,0,159,106,0,265,0,1,15,22,35,43,48,51,33,19,0,6 to 95,58,149,47,17,52,21,190,54,75,0,55,0,0,13,267,107,160,265,2,0,3240,3,3511,3243,267,13,158,134,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,Hardee,FL,115,2,1,12,21,14,20,16,22,5,2,0,0 to 89,49,61,52,2,111,4,0,5,107,2,7,3,10,105,0,0,111,8,0,2,0,5,3,0,8,0,0,0,0,2,3,0,5,0,0,0,35 to 74,60,3,4,0,1,0,7,1,2,2,1,2,0,0,10,4,6,8,2,0,103,2,115,105,10,0,7,7,1653184151.65315,165534.73009074
