OBJECTID_1,OBJECTID,AREA,PERIMETER,ACRES,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,StateCases,USCases,USDeaths,CountyCases,Hosp,Shape__Area,Shape__Length
1,1,0,156472.984375,366053.0625,ROCKINGHAM,37157,157,157,Rockingham,Rockingham,24,2,55,928619,52459,95,473,0.148785685045368,1.60550891033685
2,2,0,166183.5,420968.9375,GUILFORD,37081,81,081,Guilford,Guilford,301,17,55,928619,52459,95,473,0.170461249960454,1.68763135812499
3,3,0,143114.546875,278127.03125,ALAMANCE,37001,1,001,Alamance,Alamance,91,1,55,928619,52459,95,473,0.112591183756876,1.40325020018321
4,4,0,116938.171875,168640.984375,ALEXANDER,37003,3,003,Alexander,Alexander,4,0,55,928619,52459,95,473,0.0681572615228561,1.15902331406146
5,5,0,180894.171875,505667.96875,RANDOLPH,37151,151,151,Randolph,Randolph,137,3,55,928619,52459,95,473,0.203850925732695,1.81820442925197
6,6,0,174751.765625,356469.25,WAYNE,37191,191,191,Wayne,Wayne,635,8,55,928619,52459,95,473,0.143104402560766,1.73800574979259
7,7,0,159013.59375,273892.96875,ASHE,37009,9,009,Ashe,Ashe,4,0,55,928619,52459,95,473,0.111379250835853,1.62041375068248
8,8,0,132949.109375,150006.015625,ALLEGHANY,37005,5,005,Alleghany,Alleghany,2,0,55,928619,52459,95,473,0.0610416128834004,1.36181318416571
9,9,0,198715.75,283933.65625,CURRITUCK,37053,53,053,Currituck,Currituck,2,0,55,928619,52459,95,473,0.115361119903127,1.98969872742252
10,10,0,203025.140625,195563.296875,CAMDEN,37029,29,029,Camden,Camden,1,0,55,928619,52459,95,473,0.0794412878267394,2.06695672033485
11,11,0,174563.109375,345225.15625,SURRY,37171,171,171,Surry,Surry,12,0,55,928619,52459,95,473,0.140350927317286,1.76160942158441
12,12,0,134811.796875,221245.71875,GATES,37073,73,073,Gates,Gates,7,0,55,928619,52459,95,473,0.0899798985994948,1.39825742996753
13,13,0,178531.078125,231307.421875,HERTFORD,37091,91,091,Hertford,Hertford,28,1,55,928619,52459,95,473,0.0939751796515793,1.85185126536062
14,14,0,233920.75,351931.65625,NORTHAMPTON,37131,131,131,Northampton,Northampton,81,3,55,928619,52459,95,473,0.14308298336914,2.42716213499337
15,15,0,138205.25,291801.6875,STOKES,37169,169,169,Stokes,Stokes,11,0,55,928619,52459,95,473,0.118623983185444,1.40435816871631
16,16,0,150724.609375,283768.28125,WARREN,37185,185,185,Warren,Warren,4,0,55,928619,52459,95,473,0.115341343672299,1.51128223847269
17,17,0,118698.65625,172724.4375,VANCE,37181,181,181,Vance,Vance,80,3,55,928619,52459,95,473,0.070179543057975,1.14473069536426
18,18,0,174102.328125,343236.40625,GRANVILLE,37077,77,077,Granville,Granville,240,5,55,928619,52459,95,473,0.139359229865704,1.70187067145839
19,19,0,133013.5,274504.8125,CASWELL,37033,33,033,Caswell,Caswell,18,0,55,928619,52459,95,473,0.111572693180051,1.34288282986952
20,20,0,129423.3203125,258586.328125,PERSON,37145,145,145,Person,Person,19,0,55,928619,52459,95,473,0.105097039715247,1.29914427033017
