ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,226,5,4,22,35,33,35,40,28,19,5,0,0 to 98,48,145,80,1,226,0,0,3,221,2,11,1,4,221,0,1,225,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,221,0,226,221,4,0,12,3,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,1464,36,46,143,203,194,235,232,171,133,66,5,0 to 118,49,924,498,42,1461,3,0,68,1256,133,181,16,103,1358,0,3,1458,64,39,0,0,63,40,0,103,0,11,12,13,18,17,9,15,4,4,0,6 to 98,42,61,40,1,1,1,99,3,27,0,13,0,0,1,103,40,63,103,0,0,1355,3,1464,1358,103,1,87,37,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,222,19,8,11,28,32,32,37,31,18,5,1,0 to 118,49,111,89,22,222,0,0,12,197,3,54,3,3,214,0,5,217,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,214,0,222,214,3,0,17,7,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,2364,84,61,183,373,380,340,394,278,171,95,5,0 to 118,47,1434,892,38,2268,95,1,87,2107,137,162,58,152,2201,0,11,2258,86,59,3,4,77,68,0,145,2,3,4,21,18,17,30,27,19,11,0,0 to 96,58,110,21,13,1,19,124,2,44,1,24,0,0,3,152,72,80,144,7,1,2113,88,2364,2201,152,3,389,171,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,109,1,2,10,17,22,12,15,12,16,1,1,0 to 88,46,58,49,2,109,0,0,3,102,4,5,3,6,103,0,0,109,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,103,0,109,103,6,0,27,0,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,26928,313,415,1652,3205,3481,4201,4991,3869,2255,1197,1349,0 to 115,53,14943,11830,155,26650,276,2,225,26173,465,847,140,2877,23754,245,52,26359,2693,125,53,6,1399,1418,1,2818,15,27,194,333,404,441,483,410,348,208,14,0 to 104,55,999,356,198,1265,342,1094,1382,549,24,408,15,3,173,2877,1453,1423,2816,59,2,23541,213,26928,23754,2877,173,697,440,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,3083,58,66,205,390,462,535,536,441,274,109,7,0 to 102,51,1788,1217,78,3071,12,0,186,2636,188,373,60,239,2790,2,52,3017,217,16,6,0,138,95,0,233,2,3,15,21,35,31,40,42,27,23,0,3 to 97,58,142,55,16,20,34,174,25,93,0,68,0,0,22,239,97,142,233,6,0,2784,6,3083,2790,239,22,71,57,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,5299,94,114,367,661,804,933,945,773,444,158,6,0 to 102,51,3173,2112,14,5270,29,0,119,4935,223,321,88,239,5029,6,25,5239,195,37,6,1,120,112,0,232,5,6,21,26,49,45,35,36,11,5,0,1 to 94,47,152,26,35,19,55,153,24,76,3,51,2,0,6,239,116,123,232,7,0,5007,22,5299,5029,239,6,431,134,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,500,17,13,45,77,96,96,72,56,20,7,1,0 to 96,45,311,178,11,498,1,1,10,417,46,75,7,94,406,0,0,499,86,7,1,0,61,30,2,93,1,1,6,16,22,24,13,7,4,0,0,4 to 83,45,10,58,2,23,3,58,32,16,0,16,0,0,0,94,30,62,92,1,1,406,0,500,406,94,0,115,49,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,3159,72,66,398,571,525,523,512,322,114,54,2,0 to 97,43,1742,1302,115,3120,38,1,69,2864,201,205,60,213,2937,2,7,3112,191,9,12,1,109,91,0,200,1,2,28,46,37,37,39,18,2,3,0,2 to 87,43,88,88,6,18,14,166,20,58,8,28,8,1,3,213,99,114,199,13,1,2912,25,3159,2937,213,3,364,178,2.42861632663576,0.170704044186268
