County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0.0,30.0,30.0,0.0
Barnes,4.0,138.0,142.0,3.0
Benson,0.0,349.0,349.0,0.0
Billings,0.0,10.0,10.0,0.0
Bottineau,0.0,109.0,109.0,0.0
Bowman,1.0,177.0,178.0,1.0
Burke,3.0,60.0,63.0,2.0
Burleigh,76.0,2241.0,2317.0,41.0
Cass,492.0,5516.0,6008.0,194.0
Cavalier,0.0,40.0,40.0,0.0
Dickey,0.0,39.0,39.0,0.0
Divide,1.0,52.0,53.0,1.0
Dunn,10.0,124.0,134.0,6.0
Eddy,1.0,57.0,58.0,1.0
Emmons,1.0,63.0,64.0,0.0
Foster,1.0,38.0,39.0,1.0
Golden Valley,0.0,19.0,19.0,0.0
Grand Forks,251.0,3108.0,3359.0,58.0
Grant,1.0,31.0,32.0,1.0
Griggs,0.0,28.0,28.0,0.0
Hettinger,0.0,130.0,130.0,0.0
Kidder,0.0,28.0,28.0,0.0
LaMoure,0.0,45.0,45.0,0.0
Logan,0.0,36.0,36.0,0.0
McHenry,1.0,100.0,101.0,0.0
McIntosh,1.0,59.0,60.0,1.0
McKenzie,13.0,300.0,313.0,10.0
McLean,3.0,239.0,242.0,3.0
Mercer,0.0,132.0,132.0,0.0
Morton,24.0,772.0,796.0,14.0
Mountrail,35.0,959.0,994.0,30.0
Nelson,1.0,142.0,143.0,0.0
Oliver,1.0,22.0,23.0,1.0
Pembina,1.0,137.0,138.0,0.0
Pierce,2.0,53.0,55.0,2.0
Ramsey,3.0,308.0,311.0,3.0
Ransom,1.0,82.0,83.0,0.0
Renville,0.0,46.0,46.0,0.0
Richland,7.0,241.0,248.0,7.0
Rolette,1.0,158.0,159.0,0.0
Sargent,1.0,68.0,69.0,1.0
Sheridan,0.0,22.0,22.0,0.0
Sioux,1.0,66.0,67.0,1.0
Slope,3.0,125.0,128.0,3.0
Stark,46.0,1084.0,1130.0,23.0
Steele,0.0,31.0,31.0,0.0
Stutsman,6.0,705.0,711.0,1.0
Towner,0.0,35.0,35.0,0.0
Traill,0.0,156.0,156.0,0.0
Unknown,0.0,2936.0,2936.0,0.0
Walsh,7.0,427.0,434.0,3.0
Ward,21.0,1812.0,1833.0,17.0
Wells,2.0,198.0,200.0,0.0
Williams,10.0,620.0,630.0,8.0
