ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,230,5,5,22,35,34,35,41,29,19,5,0,0 to 98,48,146,83,1,230,0,0,3,225,2,11,1,4,225,0,1,229,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,225,0,230,225,4,0,12,3,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,1493,36,46,145,202,202,238,240,175,137,67,5,0 to 118,49,940,512,41,1490,3,0,69,1284,133,179,17,103,1387,0,3,1487,63,40,0,0,63,40,0,103,0,11,12,13,18,17,9,15,4,4,0,6 to 98,42,62,40,1,0,1,100,2,28,0,14,0,0,1,103,40,63,103,0,0,1384,3,1493,1387,103,1,87,36,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,229,19,8,11,30,32,33,39,32,19,5,1,0 to 118,49,116,92,21,229,0,0,14,199,3,60,3,3,223,0,3,226,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,223,0,229,223,3,0,16,6,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,2504,87,63,202,400,407,361,409,294,179,97,5,0 to 118,47,1518,949,37,2399,104,1,87,2241,137,163,58,153,2342,0,9,2391,86,60,3,4,78,68,0,146,2,3,4,21,18,18,30,27,19,11,0,0 to 96,58,111,21,14,0,19,125,2,44,1,24,0,0,3,153,72,81,145,7,1,2245,97,2504,2342,153,3,394,170,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,112,1,2,10,17,23,12,15,12,16,3,1,0 to 89,46,61,49,2,112,0,0,3,104,4,6,3,8,104,0,0,112,5,3,0,0,6,2,0,8,0,0,1,1,1,1,1,1,0,2,0,20 to 88,52,4,4,0,0,0,8,0,6,0,2,0,0,0,8,2,6,8,0,0,104,0,112,104,8,0,27,0,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,27347,321,423,1677,3260,3522,4239,5060,3924,2333,1238,1350,0 to 115,54,15153,12038,156,27057,288,2,232,26569,465,872,140,2911,24137,244,55,26764,2727,125,53,6,1418,1433,1,2852,15,28,194,336,411,444,490,415,352,212,14,0 to 104,55,1022,369,204,1257,357,1121,1374,559,24,416,15,3,178,2911,1468,1442,2850,59,2,23912,225,27347,24137,2911,178,696,440,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,3117,58,67,209,395,466,539,540,444,280,112,7,0 to 102,51,1809,1230,78,3104,13,0,191,2658,188,382,60,239,2822,2,54,3048,217,16,6,0,138,95,0,233,2,3,15,21,35,31,40,42,27,23,0,3 to 97,58,142,55,16,20,34,174,25,95,0,71,0,0,22,239,97,142,233,6,0,2815,7,3117,2822,239,22,71,57,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,5396,96,117,372,666,815,950,961,792,455,166,6,0 to 102,51,3230,2152,14,5366,30,0,116,5032,223,324,87,241,5131,6,18,5342,195,39,6,1,122,112,0,234,5,6,21,26,49,47,35,36,11,5,0,1 to 94,48,155,26,37,16,55,158,21,76,3,51,2,0,6,241,116,125,234,7,0,5108,23,5396,5131,241,6,440,141,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,504,17,13,45,78,97,97,73,56,20,7,1,0 to 96,45,313,180,11,502,1,1,11,417,46,81,7,94,410,0,0,503,86,7,1,0,61,30,2,93,1,1,6,16,22,24,13,7,4,0,0,4 to 83,45,10,60,2,21,3,61,29,16,0,17,0,0,0,94,30,62,92,1,1,410,0,504,410,94,0,121,53,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,3182,72,66,400,574,527,528,517,327,114,55,2,0 to 97,43,1755,1314,113,3141,40,1,71,2878,201,212,60,214,2955,2,11,3129,192,9,12,1,109,92,0,201,1,2,28,47,37,37,39,18,2,3,0,2 to 87,43,89,92,6,14,13,172,16,59,8,29,8,1,3,214,100,114,200,13,1,2928,27,3182,2955,214,3,372,178,43,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,162,7,4,6,13,28,22,33,23,14,11,1,0 to 96,55,103,55,4,159,3,0,4,98,41,53,6,28,134,0,0,159,6,20,2,0,13,13,0,26,0,0,1,1,1,3,7,7,4,4,0,22 to 95,66,11,11,4,0,3,21,2,4,2,6,0,0,2,28,15,13,26,2,0,133,1,162,134,28,2,43,10,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,429,31,22,34,40,52,48,51,65,44,30,12,0 to 99,51,263,152,14,417,12,0,15,341,53,184,6,49,329,0,51,367,23,23,3,0,25,21,0,46,2,0,5,4,6,7,8,7,4,6,0,0 to 98,56,11,28,2,5,1,33,12,8,0,4,0,0,2,49,22,27,46,3,0,321,8,429,329,49,2,89,44,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,51,2,3,6,10,6,5,9,7,1,2,0,0 to 99,40,33,16,2,51,0,0,1,49,1,2,0,3,48,0,0,51,2,1,0,0,1,2,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 56,49,2,1,0,0,0,3,0,1,0,0,0,0,0,3,2,1,3,0,0,48,0,51,48,3,0,13,4,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,154,5,3,20,25,15,20,28,22,7,7,2,0 to 99,49,89,55,10,153,1,0,9,137,9,15,3,6,147,0,1,152,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,146,1,154,147,6,0,3,1,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,1466,15,18,103,186,223,287,273,170,95,49,47,0 to 99,50,813,600,53,1463,3,0,37,1392,28,76,29,70,1394,2,0,1461,54,15,1,0,29,40,0,69,0,1,3,11,12,18,12,9,3,1,0,14 to 93,50,54,8,3,4,14,48,7,20,1,9,1,0,3,70,41,29,69,1,0,1392,2,1466,1394,70,3,32,27,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,1137,36,37,77,151,145,146,227,190,87,37,4,0 to 118,53,577,486,74,1127,10,0,140,927,63,145,17,57,1074,0,6,1123,39,17,1,0,33,23,0,56,2,0,6,12,5,10,15,5,2,0,0,0 to 80,46,40,13,2,1,5,49,2,5,0,7,0,0,2,57,24,33,56,1,0,1067,7,1137,1074,57,2,8,6,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,370,10,7,38,61,45,67,57,36,29,20,0,0 to 99,48,221,128,21,366,4,0,17,335,16,53,3,20,350,0,0,366,5,15,0,0,13,7,0,20,0,0,1,1,2,0,4,4,5,3,0,24 to 97,70,17,2,1,0,0,19,1,5,0,8,0,0,3,20,7,13,20,0,0,346,4,370,350,20,3,3,2,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,484,8,6,28,54,50,79,92,102,49,16,0,0 to 92,56,278,188,18,481,3,0,0,479,5,10,1,9,474,0,1,480,3,6,0,0,4,5,0,9,0,0,0,2,3,2,1,1,0,0,0,27 to 73,44,6,1,1,1,0,8,1,2,0,0,0,0,0,9,5,4,9,0,0,471,3,484,474,9,0,5,4,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,1759,26,22,102,181,218,283,373,298,183,69,4,0 to 99,56,975,756,28,1748,11,0,79,1581,82,139,60,186,1568,0,5,1744,169,7,10,0,74,102,0,176,1,1,13,19,22,33,42,21,28,6,0,3 to 92,55,113,5,28,30,44,103,29,61,2,39,1,0,5,186,109,77,176,10,0,1568,0,1759,1568,186,5,61,51,55,2.97866994211851,0.153458428490643
