"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Alameda","4/3/2020 10:07:33","443","12","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Alpine","4/3/2020 17:18:13","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","","","","","","","","","","","1","","","","","","","","","","","",""
"Amador","4/3/2020 17:50:22","3","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","","","","",""
"Butte","4/3/2020 17:18:51","11","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","","","","",""
"Calaveras","4/3/2020 17:19:13","4","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","2","","","","","","","","","","","",""
"Colusa","4/3/2020 17:19:25","2","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","4/3/2020 17:13:51","307","5","https://cchealth.org/coronavirus/","","4493","","","","","","","","","","","32","currently","","","","","","","BANG","","",""
"Del Norte","4/3/2020 17:19:47","1","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","89","13","75","1","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/3/2020 17:20:20","22","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","849","144","683","22","","","","","","","","","","","","","","","","","","",""
"Fresno","4/3/2020 17:21:20","100","1","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","1650","11","","","","17","","9","8","19","","","","","","","","","","","","",""
"Glenn","4/3/2020 17:50:37","2","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","32","2","28","2","","","","","","","","","","","","","","","","","","",""
"Humboldt","4/3/2020 17:23:49","40","0","https://humboldtgov.org/2707/COVID-Test-Results","","949","","","","","","","","","","","2","","","","","","","","","","",""
