OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender
1,Clark,CLARK,7416,1325886666.59497,164046.409274647,1,,1,,,,,,,,,,,,7,33acd1fd-db21-43ba-9e95-901c7ae83196,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:48:18.136Z,mophep,,,,,,,,,,
2,Atchison,ATCHISON,6430,1424460766.0011,183521.887293614,1,,1,,,,,,,,,,,,,6940e654-2fb7-413f-aa40-8d283707089b,2020-03-24T20:48:38.049Z,mophep,2020-03-27T18:59:44.204Z,mophep,,,,,,,,,,
3,Scotland,SCOTLAND,4983,1136964678.12842,135147.428812104,0,,,,,,,,,,,,,,,ff9e0df4-9d6b-43dc-a87e-33865207394b,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
4,Schuyler,SCHUYLER,4170,797576866.270752,156174.527160598,0,,,,,,,,,,,,,,,279dc07d-0f44-4d84-ba29-82cfa9f8149f,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
5,Nodaway,NODAWAY,21912,2273266151.45618,212569.206932711,0,,,,,,,,,,,,,,,1b94b585-494c-4d0d-b9bb-492027aa0447,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
6,Putnam,PUTNAM,5223,1343979805.81177,210409.59773988,0,,,,,,,,,,,,,,,cebe7236-734a-46c0-919d-ac094f765256,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
7,Worth,WORTH,2382,690902545.26123,112108.539763473,0,,,,,,,,,,,,,,,22e6e602-d30a-4661-a49d-f9a4ab2d1257,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
8,Mercer,MERCER,3757,1177231359.42249,138797.634937689,0,,,,,,,,,,,,,,,e768a8a3-81a5-46cd-8d08-b2a4db46510b,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
9,Harrison,HARRISON,8850,1880143699.50903,177341.492801893,2,,,2,,,,,,,,,,,,e33d5cd8-0770-4a51-b8a5-4488da6d8626,2020-03-24T20:48:38.049Z,mophep,2020-04-02T18:49:38.132Z,mophep,,,,,,,,,,
10,Gentry,GENTRY,6861,1273646566.26721,143259.35541506,0,,,,,,,,,,,,,,,5e56cd56-eff2-4a7f-aec6-eaf1da597692,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
11,Sullivan,SULLIVAN,7219,1686257031.65051,164531.067550778,0,,,,,,,,,,,,,,,d162e0d9-83c3-4f98-9206-258085980877,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
