ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
28586,Colbert,01033,Northern,29,2,0.15857369348987,2.31239229125845,7e8c8894-e468-463a-a68c-e8b906206b96,859
28587,Greene,01063,West Central,55,1,0.164666965815741,3.57766804402764,1871f3b7-3925-4b6d-b0d8-a9e272e7ca91,185
28588,Jefferson,01073,Jefferson,886,46,0.282606031405749,2.91318939557353,222ef86c-e55c-4347-a476-cf068a4a7b16,14430
28589,Lawrence,01079,Northern,12,0,0.182392737623559,1.92975383451283,d0bdb02f-9a72-4654-a9b6-6eb5e4418484,323
28590,Montgomery,01101,East Central,337,6,0.198182172648103,2.60770290702687,a82b439b-167b-412c-886d-b28444476e91,2651
28591,Russell,01113,East Central,57,0,0.160426072907967,2.13411394127528,5fd42b46-f2a8-4d80-8939-e7f21fa7be34,436
28592,Sumter,01119,West Central,64,2,0.227210820567734,3.07842876540608,0f017ec6-42cd-4ea8-ab0b-e8c59ec64634,207
28593,Blount,01009,Northeastern,37,0,0.164406638341006,2.45274784751908,70e9d000-4404-45de-9202-3b92f8a25e0c,633
28594,Fayette,01057,West Central,6,0,0.158552104918499,1.83779224583562,0618272e-a788-47bc-ada8-5c3531325bd4,265
28595,Lamar,01075,West Central,11,0,0.15263540616661,1.64069081755141,18b05973-cbd2-4470-9101-cc9ef499f44f,233
28596,Barbour,01005,Southeastern,39,1,0.223267704174077,2.69097505269632,21a6c4bc-a1a4-4f35-acce-b2beb6b604eb,291
28597,Chilton,01021,West Central,53,1,0.174837510280213,2.09165532433194,6431fd2f-6106-4bcd-87de-3169cec10a02,579
28598,Etowah,01055,Northeastern,139,9,0.138757597037284,2.10053621990475,24c60178-acce-4d68-b5d4-416523fde6a7,1812
28599,Randolph,01111,Northeastern,62,4,0.14646191250813,1.58584516900329,a4a97cf3-f4e1-488d-b0db-1c6573eea38d,368
28600,Henry,01067,Southeastern,24,1,0.139761467476774,1.63725823418183,89b479cb-32c0-4cd2-8539-79cd02e60132,197
28601,Tallapoosa,01123,East Central,285,18,0.191182308914904,2.16459004269042,4eece084-4181-414e-b544-7582dd7191d0,1351
28602,Cherokee,01019,Northeastern,15,0,0.151975822791428,1.89808177880757,a981fd5b-a71f-481a-8039-dbc8eb8536d9,245
28603,Crenshaw,01041,Southeastern,19,0,0.150571897113878,2.31806123117494,faa456d8-5977-4ca0-9edf-08bfebe774ed,237
28604,Marion,01093,Northern,75,6,0.188224455607951,1.90243452461428,637db2a8-33b0-444c-ad36-53722e1765d7,705
28605,Unknown or Out of State,99999,Unknown,0,0,12.9086340951542,16.2873566339486,0c3b76a0-f536-49d9-ac18-667ce1dae50c,6659
28606,Calhoun,01015,Northeastern,93,3,0.154366224232035,2.21070839394633,75f58f41-db6d-4ca0-a73d-5d3d6481203e,1393
28607,Chambers,01017,East Central,291,21,0.150563980768084,1.72306516183319,387d3615-c402-45f7-8b40-bc1d7b880861,966
28608,Jackson,01071,Northern,48,2,0.287410215888713,2.67694940746419,4ed82530-b3fe-49b7-b5e9-40c84950856b,1067
28609,Pike,01109,Southeastern,66,0,0.166038209106773,2.23104055343355,4b8fae77-5855-4520-acfc-50337c47a327,610
28610,Covington,01039,Southeastern,36,1,0.255971892285061,2.38709591035509,4989d7ce-393e-4090-82e6-ff440007591a,386
28611,Houston,01069,Southeastern,90,4,0.142463779205855,2.10452810210549,ceb73382-e38c-4cdb-a077-78997ddac6d7,1141
28612,Lowndes,01085,East Central,65,1,0.179493868658938,2.34426217715912,ec9f3529-541b-425b-b7e7-9af6ed1697cb,196
28613,Macon,01087,East Central,37,2,0.152225727451423,2.0876916570357,d821e2c4-29eb-46e7-8af1-1db789733177,278
28614,Morgan,01103,Northern,68,0,0.152203319983528,1.80617511452274,9ef8a646-1d82-4b35-95f2-f846375fe27b,1669
28615,Shelby,01117,Northeastern,320,12,0.202879219246825,2.52559193618872,a4a15d23-d81b-4eca-b0e1-302fd6a53afd,3802
28616,St. Clair,01115,Northeastern,72,0,0.164611790120262,2.46182521198285,b3fdc36b-1dbb-45f6-b47e-f8847889933d,1186
28617,Bibb,01007,West Central,42,0,0.156476914356972,1.8951692775798,aea06c9a-e100-4c9f-83ca-d03f92090a64,719
28618,Coffee,01031,Southeastern,111,0,0.167143203828118,1.67989540600381,42b3f1de-c0dc-49cc-bb40-43dacef8a04c,776
28619,DeKalb,01049,Northeastern,76,2,0.197848401841384,2.21695752803772,272b6fe1-f670-47da-808f-85cc3e4158fd,959
28620,Geneva,01061,Southeastern,9,0,0.141768015065281,1.83488097279248,b5cb4999-14aa-4bc4-a1f0-ec1f54d07f74,218
28621,Clay,01027,Northeastern,21,1,0.151874743437702,2.02332180215824,b4be581a-ad0e-4565-8421-103f1408423f,232
28622,Lauderdale,01077,Northern,38,2,0.184043571131042,2.55716948814366,490e17e2-77d4-4d5c-8671-6a2f5fda2603,1453
28623,Dale,01045,Southeastern,27,0,0.138259666605563,1.65151999951547,63fe242b-53d0-47b4-b972-d99d1ebb77b8,441
28624,Madison,01089,Northern,227,4,0.207245811581288,2.4192510631746,4fd04c53-1727-4444-8d41-954d637f5bd6,7712
28625,Washington,01129,Southwestern,34,1,0.26740407070929,2.63236527422465,b7ea7b2e-f17a-4b7d-a973-822695077e61,179
28626,Wilcox,01131,Southwestern,66,2,0.224284362669096,2.68126387368409,e32a0d68-3e84-40d4-8f8f-b3e8de3107a1,209
28627,Autauga,01001,East Central,42,4,0.150198352049983,2.1379328255407,13fde655-3a59-4c70-bbb0-5608c340f003,751
28628,Escambia,01053,Southwestern,28,1,0.233446648119298,2.50306921694382,a632f398-8dc6-4c4a-9be2-bbd28b25d918,496
28629,Marshall,01095,Northern,317,6,0.158193819913322,2.22984018931076,0782480b-12d3-49ef-89a4-2da08dc95e0a,1895
28630,Pickens,01107,West Central,48,1,0.22311596802615,2.22345505777214,5224181a-c421-41b1-bc00-65830e00ad01,423
28631,Choctaw,01023,Southwestern,43,0,0.227681129400253,2.68700551554037,bcf7b0e1-cf59-453e-8d01-1559daadc619,143
28632,Marengo,01091,Southwestern,49,3,0.243586589216875,2.64368581241414,330bdd95-eaa8-40c7-a7f1-84948b5ce567,444
28633,Tuscaloosa,01125,West Central,208,1,0.338742577944004,2.90058009044742,dad77b04-ee65-490a-a4d7-b98fc93ef120,3889
28634,Dallas,01047,Southwestern,38,3,0.246497505086154,3.13752996820932,f8a925de-f72f-4863-9272-7d18c8ed3cf9,512
28635,Lee,01081,East Central,391,29,0.153274187500529,2.0496448391292,13ffe078-68b5-44a3-990c-606b8e716253,2818
28636,Perry,01105,West Central,9,0,0.18021159047953,2.14838023913143,449b2060-d153-4e2d-bcc0-7bbe6b922509,232
28637,Walker,01127,West Central,95,0,0.20307720239839,2.39750884765462,561ac238-103c-4be6-a40a-7372b786ace9,858
28638,Bullock,01011,East Central,13,0,0.154671563531792,2.06480197165101,e4db4a06-e3ef-4781-9acf-b4c07cfcc4b0,95
28639,Butler,01013,Southeastern,53,1,0.191776547733298,1.83587954870993,602a2a4f-9a8c-42b6-ad9a-6043d13f94ce,318
28640,Cleburne,01029,Northeastern,12,1,0.141259985723536,2.17578212063938,51695a6b-53da-4415-a6e2-4d21cdd74a16,94
28641,Mobile,01097,Mobile,1057,55,0.307697348295278,4.83629332281426,e039e07f-5e12-4203-8dde-33be6a0b40c6,7380
28642,Monroe,01099,Southwestern,13,1,0.254517578378227,2.83753802882174,c84bec65-48ce-4a21-9000-f2bce08a53b0,181
