OBJECTID,COUNTY,TotalCaseCount,TotalDeathCount,DISTRICT,COUNTY_FIP,COUNTYNUM,Shape__Area,Shape__Length
1,Allegany,6,0,6,1,1,1851538947.24609,394249.898087364
2,Anne Arundel,343,8,5,3,2,1778838317.07031,1187074.90604609
3,Baltimore,648,11,4,5,3,2637687793.67188,818319.559802303
4,Baltimore City,435,8,0,510,24,352783081.195313,199394.091724007
5,Calvert,40,1,5,9,4,910463399.882813,382233.861870395
6,Caroline,6,0,2,11,5,1379449077.28906,248389.129627785
7,Carroll,150,10,7,13,6,1962097001.74609,333550.715409503
8,Cecil,37,1,2,15,7,1526098142.74219,542652.15548276
9,Charles,129,2,5,17,8,1951088479.46094,581727.788949102
10,Dorchester,1,0,1,19,9,2329934588.31641,2122613.69146384
11,Frederick,138,4,7,21,10,2890002368.51172,328351.049806112
12,Garrett,3,0,6,23,11,2860745161.01563,281807.867259157
13,Harford,55,0,4,25,12,1918415707.58594,509309.187104658
14,Howard,214,3,7,27,13,1089436036.53125,217926.641507374
15,Kent,5,0,2,29,14,1214377368.37891,642712.199279433
16,Montgomery,793,19,3,31,15,2142728433.39844,459689.982466052
17,Prince George's,916,23,3,33,16,2073261898.11719,391861.372434526
18,Queen Anne's,15,0,2,35,17,1604272544.72266,833409.527049959
19,Somerset,4,0,1,39,19,1353987955.57813,1724844.63525122
20,St. Mary's,41,0,5,37,18,1515567868.50781,962932.297427502
21,Talbot,8,0,2,41,20,1153979565.26953,1221554.88133175
22,Washington,37,0,6,43,21,2002006981.78516,428074.05189915
23,Wicomico,11,1,1,45,22,1602773791.67969,384958.204199738
24,Worcester,10,0,1,47,23,1994019871.01172,1473471.71489491
