Report Date,FIPS,Locality,Health District,Total Cases
4/7/2020,51003,Albemarle,Thomas Jefferson,38
4/7/2020,51009,Amherst,Central Virginia,8
4/7/2020,51011,Appomattox,Central Virginia,3
4/7/2020,51013,Arlington,Arlington,237
4/7/2020,51015,Augusta,Central Shenandoah,10
4/7/2020,51019,Bedford,Central Virginia,8
4/7/2020,51021,Bland,Mount Rogers,0
4/7/2020,51025,Brunswick,Southside,1
4/7/2020,51027,Buchanan,Cumberland Plateau,1
4/7/2020,51029,Buckingham,Piedmont,6
4/7/2020,51031,Campbell,Central Virginia,3
4/7/2020,51033,Caroline,Rappahannock,4
4/7/2020,51035,Carroll,Mount Rogers,2
4/7/2020,51036,Charles City,Chickahominy,4
4/7/2020,51037,Charlotte,Piedmont,1
4/7/2020,51043,Clarke,Lord Fairfax,2
4/7/2020,51047,Culpeper,Rappahannock Rapidan,9
4/7/2020,51049,Cumberland,Piedmont,6
4/7/2020,51053,Dinwiddie,Crater,1
4/7/2020,51057,Essex,Three Rivers,0
4/7/2020,51077,Grayson,Mount Rogers,0
4/7/2020,51079,Greene,Thomas Jefferson,4
4/7/2020,51081,Greensville,Crater,5
4/7/2020,51083,Halifax,Southside,2
4/7/2020,51085,Hanover,Chickahominy,19
4/7/2020,51087,Henrico,Henrico,267
4/7/2020,51091,Highland,Central Shenandoah,0
4/7/2020,51093,Isle of Wight,Western Tidewater,23
4/7/2020,51097,King and Queen,Three Rivers,1
4/7/2020,51105,Lee,Lenowisco,2
4/7/2020,51109,Louisa,Thomas Jefferson,14
4/7/2020,51111,Lunenburg,Piedmont,2
4/7/2020,51113,Madison,Rappahannock Rapidan,4
4/7/2020,51115,Mathews,Three Rivers,2
4/7/2020,51119,Middlesex,Three Rivers,0
4/7/2020,51127,New Kent,Chickahominy,12
4/7/2020,51131,Northampton,Eastern Shore,2
4/7/2020,51133,Northumberland,Three Rivers,3
4/7/2020,51141,Patrick,West Piedmont,0
4/7/2020,51143,Pittsylvania,Pittsylvania-Danville,3
4/7/2020,51145,Powhatan,Chesterfield,4
4/7/2020,51149,Prince George,Crater,21
4/7/2020,51153,Prince William,Prince William,236
4/7/2020,51155,Pulaski,New River,2
4/7/2020,51163,Rockbridge,Central Shenandoah,3
4/7/2020,51165,Rockingham,Central Shenandoah,16
4/7/2020,51167,Russell,Cumberland Plateau,1
4/7/2020,51185,Tazewell,Cumberland Plateau,4
4/7/2020,51187,Warren,Lord Fairfax,6
4/7/2020,51193,Westmoreland,Three Rivers,3
4/7/2020,51197,Wythe,Mount Rogers,3
4/7/2020,51199,York,Peninsula,25
4/7/2020,51510,Alexandria,Alexandria,126
4/7/2020,51520,Bristol,Mount Rogers,1
4/7/2020,51550,Chesapeake,Chesapeake,80
4/7/2020,51590,Danville,Pittsylvania-Danville,15
4/7/2020,51600,Fairfax City,Fairfax,0
4/7/2020,51620,Franklin City,Western Tidewater,4
4/7/2020,51660,Harrisonburg,Central Shenandoah,27
4/7/2020,51680,Lynchburg,Central Virginia,20
4/7/2020,51685,Manassas Park,Prince William,4
4/7/2020,51690,Martinsville,West Piedmont,0
4/7/2020,51700,Newport News,Peninsula,57
4/7/2020,51710,Norfolk,Norfolk,72
4/7/2020,51775,Salem,Alleghany,1
4/7/2020,51820,Waynesboro,Central Shenandoah,2
4/7/2020,51830,Williamsburg,Peninsula,14
4/7/2020,51840,Winchester,Lord Fairfax,14
4/7/2020,51001,Accomack,Eastern Shore,11
4/7/2020,51005,Alleghany,Alleghany,2
4/7/2020,51007,Amelia,Piedmont,7
4/7/2020,51017,Bath,Central Shenandoah,0
4/7/2020,51023,Botetourt,Alleghany,18
4/7/2020,51041,Chesterfield,Chesterfield,128
4/7/2020,51045,Craig,Alleghany,2
4/7/2020,51051,Dickenson,Cumberland Plateau,0
4/7/2020,51059,Fairfax,Fairfax,532
4/7/2020,51061,Fauquier,Rappahannock Rapidan,18
4/7/2020,51063,Floyd,New River,0
4/7/2020,51065,Fluvanna,Thomas Jefferson,9
4/7/2020,51067,Franklin County,West Piedmont,11
4/7/2020,51069,Frederick,Lord Fairfax,43
4/7/2020,51071,Giles,New River,2
4/7/2020,51073,Gloucester,Three Rivers,15
4/7/2020,51075,Goochland,Chickahominy,22
4/7/2020,51089,Henry,West Piedmont,4
4/7/2020,51095,James City,Peninsula,119
4/7/2020,51099,King George,Rappahannock,10
4/7/2020,51101,King William,Three Rivers,2
4/7/2020,51103,Lancaster,Three Rivers,1
4/7/2020,51107,Loudoun,Loudoun,209
4/7/2020,51117,Mecklenburg,Southside,12
4/7/2020,51121,Montgomery,New River,16
4/7/2020,51125,Nelson,Thomas Jefferson,2
4/7/2020,51135,Nottoway,Piedmont,3
4/7/2020,51137,Orange,Rappahannock Rapidan,7
4/7/2020,51139,Page,Lord Fairfax,3
4/7/2020,51147,Prince Edward,Piedmont,3
4/7/2020,51157,Rappahannock,Rappahannock Rapidan,1
4/7/2020,51159,Richmond County,Three Rivers,2
4/7/2020,51161,Roanoke County,Alleghany,8
4/7/2020,51169,Scott,Lenowisco,0
4/7/2020,51171,Shenandoah,Lord Fairfax,12
4/7/2020,51173,Smyth,Mount Rogers,3
4/7/2020,51175,Southampton,Western Tidewater,5
4/7/2020,51177,Spotsylvania,Rappahannock,29
4/7/2020,51179,Stafford,Rappahannock,49
4/7/2020,51181,Surry,Crater,3
4/7/2020,51183,Sussex,Crater,5
4/7/2020,51191,Washington,Mount Rogers,10
4/7/2020,51195,Wise,Lenowisco,3
4/7/2020,51530,Buena Vista City,Central Shenandoah,4
4/7/2020,51540,Charlottesville,Thomas Jefferson,23
4/7/2020,51570,Colonial Heights,Chesterfield,0
4/7/2020,51580,Covington,Alleghany,1
4/7/2020,51595,Emporia,Crater,2
4/7/2020,51610,Falls Church,Fairfax,0
4/7/2020,51630,Fredericksburg,Rappahannock,8
4/7/2020,51640,Galax,Mount Rogers,1
4/7/2020,51650,Hampton,Hampton,43
4/7/2020,51670,Hopewell,Crater,13
4/7/2020,51678,Lexington,Central Shenandoah,3
4/7/2020,51683,Manassas City,Prince William,20
4/7/2020,51720,Norton,Lenowisco,0
