OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,REPORTED_DEATH,GlobalID,LabTestCount
12463,Autauga,01001,East Central,12,1,0.150198352049983,2.1379328255407,1,dc5de0dc-211e-4c91-94e1-468462b6550f,148
12464,Baldwin,01003,Southwestern,49,0,0.400159431601878,6.69300034847276,1,3780c124-4564-4607-8118-20fba6c57c8a,718
12465,Barbour,01005,Southeastern,3,0,0.223267704174077,2.69097505269632,0,fdbc5e9d-dc37-41b6-a425-4010ce458079,51
12466,Bibb,01007,West Central,9,0,0.156476914356972,1.8951692775798,0,27225463-433c-4c37-9055-e182b8d0cdd2,138
12467,Blount,01009,Northeastern,10,0,0.164406638341006,2.45274784751908,0,92e839c0-4802-472a-8080-ed3b77b02cf5,98
12468,Bullock,01011,East Central,3,0,0.154671563531792,2.06480197165101,0,c68f92c9-e9db-40dd-a6fa-462cb9897409,22
12469,Butler,01013,Southeastern,3,0,0.191776547733298,1.83587954870993,0,ab5e2e1f-5341-4fcc-8380-0088d3ec3410,52
12470,Calhoun,01015,Northeastern,52,0,0.154366224232035,2.21070839394633,0,97ae97e9-fa52-4f93-a62c-988d9c13bc3a,224
12471,Chambers,01017,East Central,140,8,0.150563980768084,1.72306516183319,8,a133a871-bb85-4ef3-b513-ac5b9ad54ef2,202
12472,Cherokee,01019,Northeastern,7,0,0.151975822791428,1.89808177880757,0,f2b41bee-8092-4ef6-9051-c8f0630dbfcc,64
12473,Chilton,01021,West Central,22,0,0.174837510280213,2.09165532433194,0,c15d8b38-397a-4e03-b7b4-b0c480d11408,139
12474,Choctaw,01023,Southwestern,6,0,0.227681129400253,2.68700551554037,0,7942c462-a064-4391-8491-95f6f8fe1c33,33
12475,Clarke,01025,Southwestern,10,0,0.308508819690587,3.78655552072513,0,f9da7f29-67eb-41b6-9ead-447bd6ce3a12,106
12476,Clay,01027,Northeastern,11,0,0.151874743437702,2.02332180215824,0,fa17f2c2-21d2-4090-9341-9eb61ed6f3f6,58
12477,Cleburne,01029,Northeastern,12,0,0.141259985723536,2.17578212063938,0,26cfa8cf-63e6-4cbe-9dc3-afcd4729223d,30
12478,Coffee,01031,Southeastern,12,0,0.167143203828118,1.67989540600381,0,3642125e-4a8b-499e-97bd-f9028e4b404d,100
12479,Colbert,01033,Northern,7,0,0.15857369348987,2.31239229125845,1,adc876d1-dcae-4d4a-be6c-a7ace07d695e,216
12480,Conecuh,01035,Southwestern,4,0,0.209509978242295,2.59686142559656,0,17632452-67da-4f58-aff3-b6e0173c9f17,42
12481,Coosa,01037,East Central,9,0,0.16640708911109,1.7505584986585,0,d378a4de-5d78-433b-8c42-fd3014c90cb4,26
12482,Covington,01039,Southeastern,10,0,0.255971892285061,2.38709591035509,0,d883993e-34eb-4932-819f-01f09f5c09eb,87
12483,Crenshaw,01041,Southeastern,2,0,0.150571897113878,2.31806123117494,0,639844e5-4143-4f0c-9dab-54b2a046f23e,75
12484,Cullman,01043,Northern,22,0,0.191087821164047,2.50218505547441,1,0526018f-1902-4841-b5fd-cdb67452d21a,189
12485,Dale,01045,Southeastern,4,0,0.138259666605563,1.65151999951547,0,504b0a52-f9c1-4849-813a-0e6b944d1d83,97
12486,Dallas,01047,Southwestern,7,0,0.246497505086154,3.13752996820932,0,b14f4e7c-e8de-4ddb-81f0-2905e18ee0d2,102
12487,DeKalb,01049,Northeastern,14,0,0.197848401841384,2.21695752803772,0,77e4616f-2959-4e29-8640-cd993f5a2b59,199
12488,Elmore,01051,East Central,24,0,0.163505782545826,2.27519521591255,0,eaa8a4be-4c03-47cb-926f-540bfb6eb5b3,397
12489,Escambia,01053,Southwestern,5,0,0.233446648119298,2.50306921694382,0,63088f49-9a09-44ba-994e-4c5798cc9006,129
12490,Etowah,01055,Northeastern,47,4,0.138757597037284,2.10053621990475,4,36b2bea5-18ea-4608-adb9-7e696e90248f,390
12491,Fayette,01057,West Central,1,0,0.158552104918499,1.83779224583562,0,4df3a2c6-84d3-4397-b94b-ec172b77fb4c,91
12492,Franklin,01059,Northern,7,0,0.164243463038702,1.78358559509712,0,c70bf16e-ba39-474c-87a1-61f1439cf1de,135
12493,Geneva,01061,Southeastern,1,0,0.141768015065281,1.83488097279248,0,1538f6c3-0fa9-4f14-861c-563088f185cd,41
12494,Greene,01063,West Central,12,0,0.164666965815741,3.57766804402764,0,2426172a-e28c-4dad-8816-e968877ecacd,36
12495,Hale,01065,West Central,7,0,0.163613340422671,2.4799010938001,0,819626ac-bc51-49b1-b1f1-3dbc6d27a92c,75
12496,Henry,01067,Southeastern,5,0,0.139761467476774,1.63725823418183,0,504a2f05-bf5e-4e38-a1b7-f5d9ce3dc186,43
12497,Houston,01069,Southeastern,27,0,0.142463779205855,2.10452810210549,1,3aa01c1b-ec35-4970-8b77-f559c80d3087,268
12498,Jackson,01071,Northern,20,1,0.287410215888713,2.67694940746419,1,711920a0-4ed4-46cd-8a8d-29fa9ad3b2ec,149
12499,Jefferson,01073,Jefferson,492,6,0.282606031405749,2.91318939557353,14,e56cac44-edcb-455a-851d-43a2242e6738,4220
12500,Lamar,01075,West Central,6,0,0.15263540616661,1.64069081755141,0,0e48eddc-472f-401a-80b3-c0e000224774,55
12501,Lauderdale,01077,Northern,19,1,0.184043571131042,2.55716948814366,2,61d6ed0a-2bcb-45db-bebb-80b745a7d275,415
12502,Lawrence,01079,Northern,8,0,0.182392737623559,1.92975383451283,0,72706f2a-ab40-434b-9a61-2d661ae20b5b,125
12503,Lee,01081,East Central,190,4,0.153274187500529,2.0496448391292,5,492b475c-c088-4a43-9271-de0e7d4cd5f8,467
12504,Limestone,01083,Northern,32,0,0.155003206122046,1.71814668265853,0,6fddaf91-3401-4745-b13d-91401ee68c29,474
12505,Lowndes,01085,East Central,11,0,0.179493868658938,2.34426217715912,0,e1f5245c-be9b-4fea-8fed-fc134e3d98eb,44
12506,Macon,01087,East Central,6,1,0.152225727451423,2.0876916570357,1,7db02d3d-6cca-4949-810c-6ad805e2fea7,38
12507,Madison,01089,Northern,165,2,0.207245811581288,2.4192510631746,2,2c3faa09-9d95-47ce-a76f-777bb4895009,1000
12508,Marengo,01091,Southwestern,14,1,0.243586589216875,2.64368581241414,1,67987ad7-4842-4933-97a3-368cde300e0c,131
12509,Marion,01093,Northern,23,2,0.188224455607951,1.90243452461428,3,fb5850a9-b3ce-4fae-92de-56109450ff78,138
12510,Marshall,01095,Northern,45,1,0.158193819913322,2.22984018931076,1,d58bce7c-d27b-4ba7-bbdf-a38c76c4f87d,318
12511,Mobile,01097,Mobile,249,7,0.307697348295278,4.83629332281426,8,8efbb36c-09a7-4acc-a942-646f02085ac5,1391
12512,Monroe,01099,Southwestern,6,0,0.254517578378227,2.83753802882174,1,609e1a99-3a64-4a9a-b594-baadcd5bdf05,68
12513,Montgomery,01101,East Central,81,1,0.198182172648103,2.60770290702687,2,324942a4-5d85-4c1f-8045-51868d24ebfc,651
12514,Morgan,01103,Northern,34,0,0.152203319983528,1.80617511452274,0,6c12217d-80fa-4bb8-ac59-dc4a9d746cc0,322
12515,Perry,01105,West Central,0,0,0.18021159047953,2.14838023913143,0,5c9c4975-12bc-4abc-ad53-f6b71e8cc65e,38
12516,Pickens,01107,West Central,15,0,0.22311596802615,2.22345505777214,0,27f20fa0-6437-4df1-87a0-5826fa6282d2,90
12517,Pike,01109,Southeastern,16,0,0.166038209106773,2.23104055343355,0,cfeebcc6-adc4-4ff0-9eb6-900d7e46a97d,179
12518,Randolph,01111,Northeastern,15,1,0.14646191250813,1.58584516900329,2,bef2bde6-3f75-4793-bb11-6e30456ca371,49
12519,Russell,01113,East Central,14,0,0.160426072907967,2.13411394127528,0,a6c95a8e-66d5-455b-96f0-a9af5727f27b,84
12520,Shelby,01117,Northeastern,165,5,0.202879219246825,2.52559193618872,5,d3dff1a9-2261-4b9d-aec4-1e6e8248c8b6,1052
12521,St. Clair,01115,Northeastern,35,0,0.164611790120262,2.46182521198285,0,1c14328c-dd57-4f70-94c4-5c90887b5cab,264
12522,Sumter,01119,West Central,17,0,0.227210820567734,3.07842876540608,0,ef588bee-0cc2-48cf-9256-2be9e5728275,43
12523,Talladega,01121,Northeastern,26,0,0.190828489604655,2.7296175303427,0,d34e6f40-6b89-4aa7-ada1-13a9bd9c6e60,274
12524,Tallapoosa,01123,East Central,43,1,0.191182308914904,2.16459004269042,1,282ae7b7-60b8-461f-8274-19e878d51271,124
12525,Tuscaloosa,01125,West Central,85,0,0.338742577944004,2.90058009044742,0,b730f034-56a9-47c4-8d75-bc6163a5ff11,1527
12526,Walker,01127,West Central,68,0,0.20307720239839,2.39750884765462,0,21167809-783c-4dce-afdc-2d8eb4bf6665,262
12527,Washington,01129,Southwestern,7,1,0.26740407070929,2.63236527422465,1,d44d5199-2e1c-4c8d-9147-7e5b31ecbdda,32
12528,Wilcox,01131,Southwestern,13,0,0.224284362669096,2.68126387368409,0,468850b3-2813-42b2-bc43-fc10f1f1deea,62
12529,Winston,01133,Northern,3,0,0.159972008442992,1.68720534678178,0,2b4863cb-1199-46cc-b5f6-c189c3cba6ea,75
