OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,81,4,1,9,10,17,11,13,7,7,2,0,0,0,0,0,0,1,1,0,0,0,44,0 to 89,54,52 to 56,2,0,48,33,0,81,0,0,6,74,1,2,0,0,2,0,0,0,81,2,79,0,0,2,3,0,2,1,1,2,0,0,79,0,81,79,2,0,1,1,920490830.042053,148547.348006441,0,0,0,0
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,636,21,17,58,91,86,98,119,67,58,18,3,0,1,2,4,2,6,2,6,1,0,48,0 to 97,48,14 to 82,24,0,371,236,29,635,1,0,103,520,13,16,1,7,18,0,6,1,630,24,605,1,6,55,23,96,24,12,12,24,0,0,605,1,636,606,24,1,55,50,2142439482.67719,232574.925675008,6,0,7,0
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,73,2,0,2,9,15,10,17,12,6,0,0,0,0,0,1,0,0,0,0,0,0,54,1 to 83,29,29 to 29,1,0,41,29,3,73,0,0,5,65,3,1,0,0,1,0,0,0,73,1,72,0,0,7,0,1,1,0,1,1,0,0,72,0,73,72,1,0,8,8,2685252568.13834,267348.178950349,0,0,0,0
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,745,36,25,49,128,124,108,124,82,46,21,2,1,0,2,13,11,8,13,14,12,4,45,0 to 102,58,3 to 96,75,0,456,267,22,740,4,1,96,602,47,51,2,25,67,0,11,1,700,78,622,0,45,67,25,95,78,37,41,74,3,1,621,1,745,622,78,1,275,159,2369222670.29688,330553.160278386,11,0,24,1
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,43,0,1,4,6,6,4,6,8,7,1,0,0,0,1,1,0,0,0,1,0,1,56,14 to 88,50,20 to 88,4,0,21,20,2,43,0,0,3,37,3,1,0,3,2,0,2,0,43,4,39,0,0,2,2,3,4,2,2,4,0,0,39,0,43,39,4,0,12,11,1487626835.10838,192207.890331272,2,0,3,0
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,6776,103,110,452,966,982,1079,1046,989,681,348,20,4,5,70,130,154,183,183,210,198,85,52,0 to 110,58,0 to 104,1185,0,3787,2878,111,6712,62,2,438,6219,119,108,829,287,221,788,215,69,6643,1224,5417,2,133,162,794,276,1224,621,591,1183,39,2,5395,22,6776,5417,1224,69,676,538,5710098601.29486,464192.459734082,205,10,270,17
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,1544,31,35,100,192,230,270,250,227,150,59,0,0,0,6,10,17,16,27,27,18,8,52,0 to 99,61,18 to 96,127,0,909,573,62,1539,5,0,137,1367,40,57,21,51,74,21,34,6,1510,129,1381,0,34,102,19,67,129,56,73,127,2,0,1378,3,1544,1381,129,6,67,60,1499679486.67142,252832.323289834,34,0,51,0
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,2837,52,71,191,356,444,509,520,407,210,74,3,1,1,12,16,29,24,24,18,2,0,51,0 to 102,46,1 to 82,123,0,1729,1097,11,2817,20,0,155,2611,71,55,29,43,97,5,25,2,2809,127,2680,2,28,98,76,105,127,67,60,123,4,0,2664,16,2837,2680,127,2,324,229,1975344274.45807,225211.500752162,24,1,42,1
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,122,4,2,11,20,14,27,17,18,6,2,1,0,0,1,2,1,2,1,1,1,0,48,0 to 90,46,24 to 81,9,0,74,46,2,121,0,1,8,109,5,3,6,0,4,5,0,0,120,9,111,0,2,2,7,11,9,4,5,8,0,1,111,0,122,111,9,0,26,24,1367889846.39806,205127.330650714,0,0,0,0
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,1431,40,29,201,258,234,230,223,145,54,16,1,0,0,7,17,17,10,13,7,0,1,42,0 to 95,42,19 to 86,69,0,814,572,45,1422,8,1,51,1336,44,36,7,29,54,4,14,0,1422,72,1348,2,9,39,18,59,72,38,34,68,3,1,1343,5,1431,1348,72,0,203,151,1817477697.41779,246081.909627491,13,1,26,3
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,52,2,2,1,6,10,9,13,3,3,2,1,0,0,0,1,1,1,1,1,2,1,51,1 to 93,62,29 to 93,7,0,32,19,1,50,2,0,14,37,1,5,1,2,5,1,2,0,51,8,43,0,1,1,1,15,8,4,4,7,1,0,42,1,52,43,8,0,22,15,1581350101.5302,228391.565390175,2,0,2,0
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,72,5,0,6,8,10,12,9,13,7,2,0,2,0,2,2,1,2,2,1,0,0,50,0 to 88,38,0 to 66,11,0,42,26,4,71,1,0,18,51,3,6,3,3,11,0,1,0,71,12,59,0,1,6,0,15,12,5,7,11,1,0,59,0,72,59,12,0,33,31,1853116752.08771,219176.19751538,1,0,3,0
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,17,1,2,2,5,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,2 to 76,NA,NA,0,0,10,7,0,17,0,0,0,17,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,0,0,0,0,2183538740.41838,308797.501184753,0,0,0,0
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,51,0,1,7,5,8,6,12,5,5,2,0,0,0,0,0,0,0,1,0,0,0,53,11 to 93,56,56 to 56,1,0,25,21,5,49,2,0,11,38,2,0,0,1,1,0,0,0,50,1,49,0,1,8,2,5,1,0,1,1,0,0,48,1,51,49,1,0,2,0,1344926537.82205,232510.619937192,0,0,1,0
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,354,4,5,22,58,52,78,68,37,23,7,0,0,0,1,5,6,7,4,4,0,1,49,0 to 99,47,21 to 93,27,0,189,147,18,352,2,0,36,292,26,15,2,11,23,0,5,1,353,28,325,0,1,23,26,14,28,17,11,27,1,0,324,1,354,325,28,1,31,29,1930770661.49939,558412.990825665,4,1,10,1
