OBJECTID_1,OBJECTID,COUNTY,COUNTY_LAB,Region,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Shape__Area,Shape__Length
1,1,ATLANTIC,Atlantic County,South,23,191,0,4,17023851474.4613,650227.599305267
2,2,BERGEN,Bergen County,North,393,8343,29,345,6686009554.16296,443324.347929857
3,3,BURLINGTON,Burlington County,South,82,883,4,21,22869023171.602,788903.854872472
4,4,CAMDEN,Camden County,South,155,990,2,23,6344509876.69253,495006.578775342
5,5,CAPE MAY,Cape May County,South,9,109,0,3,7976961326.18913,514564.340281693
6,6,CUMBERLAND,Cumberland County,South,31,111,1,3,13989252050.4917,704221.618565244
7,7,ESSEX,Essex County,North,401,6069,37,312,3616983902.62894,344556.35202766
8,8,GLOUCESTER,Gloucester County,South,74,413,1,8,9372629753.11616,560696.852574102
9,9,HUDSON,Hudson County,North,342,5879,9,132,1436707422.2616,381356.570662874
10,10,HUNTERDON,Hunterdon County,Central,30,286,2,4,12191752747.2279,561755.697692183
11,11,MERCER,Mercer County,Central,125,1161,8,36,6378548120.95474,484092.889323168
12,12,MONMOUTH,Monmouth County,Central,196,3248,12,98,13539886535.1187,733254.571341134
13,13,OCEAN,Ocean County,Central,201,3093,19,119,21129932138.2335,722804.02331507
14,14,PASSAIC,Passaic County,North,267,4690,11,82,5528911617.80997,492850.74933723
15,15,SALEM,Salem County,South,6,43,0,3,9677192466.65024,664540.959974652
16,16,SOMERSET,Somerset County,Central,141,1335,13,59,8499713898.79497,541586.643839565
17,17,SUSSEX,Sussex County,North,34,392,0,21,14929294846.8201,525986.641842362
18,18,UNION,Union County,North,360,5203,20,145,2937613335.40103,321814.207050551
19,19,WARREN,Warren County,North,30,319,0,1,10108546134.3227,554859.389116752
20,20,MORRIS,Morris County,North,160,2645,14,117,13420104286.1659,750263.075351202
21,21,MIDDLESEX,Middlesex County,Central,438,4628,13,152,8836527089.15266,505626.0316389
