County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0,45,45,0
Barnes,4,450,454,3
Benson,2,452,454,0
Billings,0,27,27,0
Bottineau,0,233,233,0
Bowman,1,325,326,1
Burke,5,113,118,4
Burleigh,104,5010,5114,56
Cass,821,9133,9954,466
Cavalier,0,154,154,0
Dickey,0,77,77,0
Divide,1,170,171,1
Dunn,12,161,173,9
Eddy,2,157,159,2
Emmons,1,80,81,0
Foster,1,65,66,1
Golden Valley,0,32,32,0
Grand Forks,287,4206,4493,128
Grant,2,76,78,1
Griggs,0,48,48,0
Hettinger,0,163,163,0
Kidder,0,77,77,0
LaMoure,0,85,85,0
Logan,0,46,46,0
McHenry,2,240,242,0
McIntosh,1,79,80,1
McKenzie,15,609,624,12
McLean,5,507,512,4
Mercer,4,410,414,2
Morton,37,1566,1603,17
Mountrail,37,1215,1252,34
Nelson,1,165,166,1
Oliver,1,32,33,1
Pembina,6,390,396,3
Pierce,3,253,256,2
Ramsey,7,749,756,3
Ransom,3,305,308,0
Renville,1,132,133,1
Richland,9,387,396,7
Rolette,3,926,929,1
Sargent,3,402,405,1
Sheridan,0,31,31,0
Sioux,1,410,411,1
Slope,3,129,132,3
Stark,61,3247,3308,39
Steele,0,41,41,0
Stutsman,15,1811,1826,5
Towner,0,114,114,0
Traill,1,209,210,0
Unknown,0,4627,4627,0
Walsh,8,521,529,5
Ward,27,2791,2818,20
Wells,2,219,221,2
Williams,19,1594,1613,10
