ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,25,1584,9,88,13,652,79,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,59,17150,21,1409,63,4059,802,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,33,3726,6,214,25,1498,181,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,59,5099,9,246,25,1083,180,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,8,479,2,37,7,261,28,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,26,1447,Â 0,43,5,278,21,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,102,15749,27,1471,46,2588,525,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,21,1728,3,92,14,506,76,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,74,17035,27,1007,15,1048,156,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,4,732,2,47,4,334,32,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,70,5499,11,360,23,1288,243,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,52,7090,6,466,50,1886,342,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,54,7688,10,571,47,2094,343,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,81,14757,21,785,25,1442,302,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,9,428,Â 0,18,4,48,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,20,4127,2,340,32,1396,266,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,7,1041,1,136,5,341,101,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,117,14306,8,908,29,1792,427,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,7,1066,6,114,7,489,94,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,26,5926,8,531,41,1708,403,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,130,14241,18,819,42,1972,404,1.62072838209013,0.0871537443231625
