ï»¿Date_,OBJECTID,NAME,CFIPS,Areakey,Confirmed,Death,DHEC_Region,Shape__Area_2,Shape__Length_2
2020/05/13 15:51:19+00,1,Abbeville,001,45001,34,0,Upstate,0.129499916188934,1.66712034313117
2020/05/13 15:51:19+00,2,Aiken,003,45003,132,7,Midlands,0.271765510118257,2.44272297361984
2020/05/13 15:51:19+00,3,Allendale,005,45005,29,3,Low Country,0.10280461690445,1.65669112796376
2020/05/13 15:51:19+00,4,Anderson,007,45007,191,8,Upstate,0.192616071454268,2.10614746746882
2020/05/13 15:51:19+00,5,Bamberg,009,45009,16,0,Low Country,0.099043896099829,1.51868820281216
2020/05/13 15:51:19+00,6,Barnwell,011,45011,36,0,Midlands,0.139728560099456,1.66900153588611
2020/05/13 15:51:19+00,7,Beaufort,013,45013,282,12,Low Country,0.182265957012532,2.55723097921961
2020/05/13 15:51:19+00,8,Berkeley,015,45015,198,15,Low Country,0.307571141166363,3.11592300015365
2020/05/13 15:51:19+00,9,Calhoun,017,45017,9,1,Low Country,0.0987600968662719,2.3032616426306
2020/05/13 15:51:19+00,10,Charleston,019,45019,491,10,Low Country,0.25874927649329,4.38148451698836
2020/05/13 15:51:19+00,11,Cherokee,021,45021,22,0,Upstate,0.101671306301114,1.64935262392554
2020/05/13 15:51:19+00,12,Chester,023,45023,39,0,Midlands,0.149332943549098,1.79788648150808
2020/05/13 15:51:19+00,13,Chesterfield,025,45025,85,1,Pee Dee,0.205229179767684,2.24787539302467
2020/05/13 15:51:19+00,14,Clarendon,027,45027,266,29,Pee Dee,0.175143517983997,2.2862639188175
2020/05/13 15:51:19+00,15,Colleton,029,45029,33,4,Low Country,0.268562652370065,3.42989389840536
2020/05/13 15:51:19+00,16,Darlington,031,45031,177,5,Pee Dee,0.143814915880284,2.16182325622913
2020/05/13 15:51:19+00,17,Dillon,033,45033,104,0,Pee Dee,0.103183204236075,1.59514480082885
2020/05/13 15:51:19+00,18,Dorchester,035,45035,109,3,Low Country,0.14424858509301,2.44610646033018
2020/05/13 15:51:19+00,19,Edgefield,037,45037,41,2,Midlands,0.12770644114471,1.66487379676899
2020/05/13 15:51:19+00,20,Fairfield,039,45039,83,5,Midlands,0.180270304186934,1.90795158980498
2020/05/13 15:51:19+00,21,Florence,041,45041,469,26,Pee Dee,0.203171053385631,2.521337758535
2020/05/13 15:51:19+00,22,Georgetown,043,45043,51,3,Pee Dee,0.219299839140604,2.41501353515537
2020/05/13 15:51:19+00,23,Greenville,045,45045,981,46,Upstate,0.202981922960362,2.76686918198981
2020/05/13 15:51:19+00,24,Greenwood,047,45047,67,0,Upstate,0.117236970969316,1.72594318621569
2020/05/13 15:51:19+00,25,Hampton,049,45049,28,1,Low Country,0.14037865115256,1.96162648758368
2020/05/13 15:51:19+00,26,Horry,051,45051,273,18,Pee Dee,0.2894319546308,2.60063362477043
2020/05/13 15:51:19+00,27,Jasper,053,45053,25,1,Low Country,0.167243009516142,2.66673160416943
2020/05/13 15:51:19+00,28,Kershaw,055,45055,257,12,Midlands,0.187827225582396,2.38966056138889
2020/05/13 15:51:19+00,29,Lancaster,057,45057,110,5,Midlands,0.14145368256095,2.44222986352324
2020/05/13 15:51:19+00,30,Laurens,059,45059,47,2,Upstate,0.184021139077686,2.11855972632536
2020/05/13 15:51:19+00,31,Lee,061,45061,122,10,Pee Dee,0.104115616496983,1.70081795680088
2020/05/13 15:51:19+00,32,Lexington,063,45063,492,25,Midlands,0.191315869496748,2.21307342826812
2020/05/13 15:51:19+00,33,McCormick,065,45065,7,1,Upstate,0.0993930314527915,2.04332874301034
2020/05/13 15:51:19+00,34,Marion,067,45067,48,4,Pee Dee,0.12498457385459,2.44666465654038
2020/05/13 15:51:19+00,35,Marlboro,069,45069,60,0,Pee Dee,0.12353538881257,1.9036924619578
2020/05/13 15:51:19+00,36,Newberry,071,45071,31,1,Midlands,0.164150210149955,2.15971617245002
2020/05/13 15:51:19+00,37,Oconee,073,45073,39,0,Upstate,0.171768271307201,2.15958250457418
2020/05/13 15:51:19+00,38,Orangeburg,075,45075,106,2,Low Country,0.283314274400709,3.33695736103193
2020/05/13 15:51:19+00,39,Pickens,077,45077,85,1,Upstate,0.130722702253024,1.99641059513922
2020/05/13 15:51:19+00,40,Richland,079,45079,1167,59,Midlands,0.19511519035791,2.93285715697429
2020/05/13 15:51:19+00,41,Saluda,081,45081,92,0,Midlands,0.116737708473465,1.56357276232227
2020/05/13 15:51:19+00,42,Spartanburg,083,45083,354,13,Upstate,0.209292250833187,1.99593479195744
2020/05/13 15:51:19+00,43,Sumter,085,45085,296,13,Pee Dee,0.172216023401916,2.6604252247877
2020/05/13 15:51:19+00,44,Union,087,45087,31,0,Upstate,0.131440425109986,1.74423157091152
2020/05/13 15:51:19+00,45,Williamsburg,089,45089,150,9,Pee Dee,0.235778701810432,2.43073370675461
2020/05/13 15:51:19+00,46,York,091,45091,265,5,Midlands,0.177893077830504,2.03934412782197
