ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,Shape__Area,Shape__Length
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,51,2028,0,144,16,569,211,116,1,17023851474.4613,650227.599305267
2,2,BERGEN,Bergen County,North,2,BERGEN,68,17901,0,1525,63,3020,1451,890,10,6686009554.16296,443324.347929857
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,45,4355,1,271,26,1227,603,209,3,22869023171.602,788903.854872472
4,4,CAMDEN,Camden County,South,4,CAMDEN,77,6103,1,308,26,1084,341,224,2,6344509876.69253,495006.578775342
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,5,570,0,48,7,180,133,38,0,7976961326.18913,514564.340281693
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,45,1991,0,63,7,208,155,31,1,13989252050.4917,704221.618565244
7,7,ESSEX,Essex County,North,7,ESSEX,44,17202,1,1595,46,2007,834,531,19,3616983902.62894,344556.35202766
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,25,2089,4,138,14,432,191,102,2,9372629753.11616,560696.852574102
9,9,HUDSON,Hudson County,North,9,HUDSON,46,18051,0,1137,15,712,388,184,7,1436707422.2616,381356.570662874
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,4,966,0,57,4,207,161,33,2,12191752747.2279,561755.697692183
11,11,MERCER,Mercer County,Central,11,MERCER,54,6491,1,450,23,1041,480,288,3,6378548120.95474,484092.889323168
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,50,7865,0,556,53,1549,680,409,5,13539886535.1187,733254.571341134
13,13,OCEAN,Ocean County,Central,15,OCEAN,58,8430,4,690,49,1686,726,407,2,21129932138.2335,722804.02331507
14,14,PASSAIC,Passaic County,North,16,PASSAIC,49,15774,2,891,25,1057,606,325,13,5528911617.80997,492850.74933723
15,15,SALEM,Salem County,South,17,SALEM,14,566,1,29,5,108,55,20,0,9677192466.65024,664540.959974652
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,28,4480,0,399,32,945,555,279,6,8499713898.79497,541586.643839565
17,17,SUSSEX,Sussex County,North,19,SUSSEX,5,1084,0,145,5,244,116,102,4,14929294846.8201,525986.641842362
18,18,UNION,Union County,North,20,UNION,32,15218,0,1024,29,1268,590,445,10,2937613335.40103,321814.207050551
19,19,WARREN,Warren County,North,21,WARREN,6,1132,0,126,7,401,112,106,1,10108546134.3227,554859.389116752
20,20,MORRIS,Morris County,North,14,MORRIS,45,6259,1,593,42,1286,589,442,3,13420104286.1659,750263.075351202
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,75,15437,0,955,42,1540,704,473,7,8836527089.15266,505626.0316389
