ï»¿Fecha,TOTAL,Nuevos,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO_,UCI,RECUPERADO,Check,FID
2020/03/10 00:00:00+00,1,1,0,4,0,0,0,,1
2020/03/11 00:00:00+00,8,7,1,6,0,1,0,1,2
2020/03/12 00:00:00+00,14,6,3,9,1,1,0,1,3
2020/03/13 00:00:00+00,27,13,4,21,1,1,0,1,4
2020/03/14 00:00:00+00,36,9,4,30,1,1,0,1,5
2020/03/15 00:00:00+00,43,7,3,37,1,2,0,1,6
2020/03/16 00:00:00+00,55,12,4,44,1,6,0,1,7
2020/03/17 00:00:00+00,69,14,4,57,1,7,0,1,8
2020/03/18 00:00:00+00,86,17,6,71,1,8,0,1,9
2020/03/19 00:00:00+00,109,23,8,91,1,9,0,,10
2020/03/20 00:00:00+00,137,28,11,115,1,10,0,1,11
2020/03/21 00:00:00+00,200,63,17,171,1,11,0,,12
2020/03/22 00:00:00+00,245,45,22,208,3,12,0,,13
2020/03/23 00:00:00+00,313,68,29,268,3,13,0,1,14
2020/03/24 00:00:00+00,345,32,33,289,6,17,0,,15
2020/03/25 00:00:00+00,443,98,45,373,6,19,0,,16
2020/03/26 00:00:00+00,558,115,46,482,8,20,2,1,17
2020/03/27 00:00:00+00,674,116,62,578,9,23,2,1,18
2020/03/28 00:00:00+00,786,112,80,662,14,28,2,,19
2020/03/29 00:00:00+00,901,115,95,753,17,32,4,1,20
2020/03/30 00:00:00+00,989,88,105,820,24,36,4,1,21
2020/03/31 00:00:00+00,1075,86,109,888,26,43,9,1,22
2020/04/01 00:00:00+00,1181,106,123,969,30,50,9,,23
2020/04/02 00:00:00+00,1317,136,135,1078,32,63,9,,24
2020/04/03 00:00:00+00,1475,158,152,1207,37,69,10,1,25
2020/04/04 00:00:00+00,1673,198,141,1406,41,72,13,1,26
2020/04/05 00:00:00+00,1801,128,154,1513,46,75,13,,27
2020/04/06 00:00:00+00,1988,187,163,1680,54,78,13,1,28
2020/04/07 00:00:00+00,2100,112,167,1776,55,88,14,1,29
2020/04/08 00:00:00+00,2249,149,177,1906,59,91,16,1,30
2020/04/09 00:00:00+00,2528,279,194,2154,63,101,16,1,31
2020/04/10 00:00:00+00,2752,224,196,2367,66,107,16,1,32
2020/04/11 00:00:00+00,2974,222,200,2579,74,104,17,1,33
2020/04/12 00:00:00+00,3234,260,213,2817,79,102,23,1,34
2020/04/13 00:00:00+00,3400,166,223,2955,87,106,29,1,35
2020/04/14 00:00:00+00,3472,72,229,2983,94,105,61,1,36
2020/04/15 00:00:00+00,3574,102,230,3071,95,106,72,1,37
2020/04/16 00:00:00+00,3751,177,227,3270,103,106,75,1,38
2020/04/17 00:00:00+00,4016,265,227,3483,109,99,98,1,39
2020/04/18 00:00:00+00,4210,194,247,3631,116,94,122,1,40
2020/04/19 00:00:00+00,4273,63,254,3664,120,95,140,1,41
2020/04/20 00:00:00+00,4467,194,259,3819,126,98,165,1,42
2020/04/21 00:00:00+00,4658,191,266,3954,136,98,204,1,43
2020/04/22 00:00:00+00,4821,163,261,4094,141,94,231,1,44
2020/04/23 00:00:00+00,4992,171,259,4237,144,97,255,1,45
2020/04/24 00:00:00+00,5166,174,270,4393,146,86,271,1,46
2020/04/25 00:00:00+00,5338,172,254,4524,154,87,319,1,47
2020/04/26 00:00:00+00,5538,200,260,4696,159,85,338,1,48
2020/04/27 00:00:00+00,5779,241,251,4906,165,88,369,1,49
2020/04/28 00:00:00+00,6021,242,266,5044,167,89,455,1,50
2020/04/29 00:00:00+00,6200,179,270,5182,176,88,484,1,51
2020/04/29 23:30:00+00,6378,178,275,5306,178,92,527,1,52
2020/04/30 23:45:00+00,6532,154,282,5400,188,86,576,1,53
2020/05/02 00:00:00+00,6720,188,276,5545,192,85,622,1,54
2020/05/03 00:00:00+00,7090,370,285,5878,197,89,641,1,55
2020/05/04 00:00:00+00,7197,106,282,5983,200,91,641,1,56
2020/05/05 00:00:00+00,7387,190,288,6077,203,93,726,1,57
2020/05/06 00:00:00+00,7523,136,278,6124,210,88,823,1,58
2020/05/07 00:00:00+00,7731,208,270,6296,218,88,859,1,59
2020/05/08 00:00:00+00,7868,137,250,6422,225,85,886,1,60
2020/05/09 00:00:00+00,8070,202,248,6613,231,85,893,1,61
2020/05/10 00:00:00+00,8282,212,241,3218,237,85,4501,1,62
2020/05/11 00:00:00+00,8448,166,242,3188,244,87,4687,1,63
2020/05/12 00:00:00+00,8616,168,247,3346,249,87,4687,1,64
2020/05/13 00:00:00+00,8783,167,295,2140,252,80,6021,0,65
2020/05/14 00:00:00+00,8944,161,296,2248,256,77,6067,1,66
2020/05/15 00:00:00+00,9118,174,284,2422,260,72,6080,1,67
2020/05/16 00:00:00+00,9268,150,281,2568,266,73,6080,1,68
2020/05/17 00:00:00+00,9449,181,271,2757,269,72,6080,1,69
2020/05/18 00:00:00+00,9606,157,267,2914,275,69,6081,1,70
2020/05/19 00:00:00+00,9726,120,272,3019,279,71,6085,1,71
2020/05/20 00:00:00+00,9867,141,267,3055,281,70,6194,1,72
2020/05/21 00:00:00+00,9977,110,264,3164,287,68,6194,1,73
2020/05/22 00:00:00+00,10116,139,277,3237,291,66,6245,1,74
2020/05/23 00:00:00+00,10267,151,271,3358,295,68,6275,1,75
2020/05/24 00:00:00+00,10577,310,265,3668,299,66,6279,1,76
2020/05/25 00:00:00+00,10926,349,266,4011,306,64,6279,1,77
2020/05/26 00:00:00+00,11183,257,281,4246,310,67,6279,1,78
