ï»¿OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,LastUpdate,Shape__Area,Shape__Length,Deaths
1,1,Anderson,48001,001,373739.497368,32,1588523396286,2780384736.81836,373739.497367559,
2,2,Andrews,48003,003,256968.659368,21,1588523396286,3872439726.24023,256968.659368344,
3,3,Angelina,48005,005,345655.06057,55,1588523396286,2230054584.05176,345655.060569877,
4,4,Aransas,48007,007,200990.380171,2,1588523396286,1365744002.70508,200990.380171273,
5,5,Archer,48009,009,195603.033313,,1588523396286,2390627825.69238,195603.033312703,
6,6,Armstrong,48011,011,194672.608506,2,1588523396286,2366621850.06348,194672.608506427,
7,7,Atascosa,48013,013,235039.8664,19,1588523396286,3155525557.14063,235039.8663997,1
8,8,Austin,48015,015,258336.897316,13,1588523396286,1693781284.64355,258336.897316496,
9,9,Bailey,48017,017,187563.01178,,1588523396286,2139161822.14648,187563.011779923,
10,10,Bandera,48019,019,212286.160901,6,1588523396286,2058526704.39258,212286.160900665,
11,11,Bastrop,48021,021,189851.656261,86,1588523396286,2310549338.91797,189851.656260706,2
12,12,Baylor,48023,023,193025.336441,,1588523396286,2327732966.39746,193025.336440584,
13,13,Bee,48025,025,233005.777666,6,1588523396286,2275937126.40137,233005.777666064,
14,14,Bell,48027,027,220319.084359,194,1588523396286,2805547848.21777,220319.084359339,3
15,15,Bexar,48029,029,284580.805649,1585,1588523396286,3242677268.24707,284580.80564923,48
16,16,Blanco,48031,031,175706.904108,6,1588523396286,1840476293.8877,175706.904107902,
17,17,Borden,48033,033,193551.664564,,1588523396286,2338219512.71387,193551.664564244,
18,18,Bosque,48035,035,257776.306451,4,1588523396286,2585841801.09277,257776.306450916,
19,19,Bowie,48037,037,409692.161415,76,1588523396286,2383733441.24316,409692.161414838,2
20,20,Brazoria,48039,039,327857.358444,542,1588523396286,4154075845.20117,327857.358444374,6
21,21,Brazos,48041,041,293876.576279,208,1588523396286,1524963676.85352,293876.576279487,16
22,22,Brewster,48043,043,630767.923856,1,1588523396286,15980721293.3203,630767.923856167,
23,23,Briscoe,48045,045,193120.133365,1,1588523396286,2332702662.8418,193120.133365319,
24,24,Brooks,48047,047,215250.147006,1,1588523396286,2446789969.26953,215250.147006019,
25,25,Brown,48049,049,216486.912,36,1588523396286,2468153311.52344,216486.91199976,5
26,26,Burleson,48051,051,258633.911328,14,1588523396286,1745800669.12598,258633.911328332,
27,27,Burnet,48053,053,254170.433177,19,1588523396286,2634005364.29395,254170.433177283,
28,28,Caldwell,48055,055,193988.157768,20,1588523396286,1411993026.99902,193988.157768136,
29,29,Calhoun,48057,057,261517.842814,32,1588523396286,2669667075.06445,261517.84281449,3
30,30,Callahan,48059,059,192810.627099,2,1588523396286,2325074434.60547,192810.627098628,
31,31,Cameron,48061,061,364725.139636,432,1588523396286,3317818844.47363,364725.139636359,18
32,32,Camp,48063,063,140906.959722,7,1588523396286,524592213.975586,140906.959721841,
33,33,Carson,48065,065,195725.590557,3,1588523396286,2395790208.85059,195725.590556532,
34,34,Cass,48067,067,274666.606989,15,1588523396286,2479099879.86426,274666.606989008,
35,35,Castro,48069,069,193234.768623,15,1588523396286,2326805098.2041,193234.768622815,1
36,36,Chambers,48071,071,266924.12568,44,1588523396286,2248424730.20898,266924.125680059,
37,37,Cherokee,48073,073,373914.308059,17,1588523396286,2739640811.21289,373914.308058731,1
38,38,Childress,48075,075,173316.345537,1,1588523396286,1846645426.04492,173316.345537033,
39,39,Clay,48077,077,253777.589035,3,1588523396286,2885653271.6543,253777.589034578,
40,40,Cochran,48079,079,179646.121023,1,1588523396286,2002637497.01953,179646.121023311,
41,41,Coke,48081,081,197362.007412,,1588523396286,2393535246.75684,197362.007411697,
42,42,Coleman,48083,083,278754.589245,1,1588523396286,3305047513.87305,278754.589245134,
43,43,Collin,48085,085,194846.621146,784,1588523396286,2287789798.22852,194846.621146228,22
44,44,Collingsworth,48087,087,195288.726949,,1588523396286,2380848844.94141,195288.726948736,
45,45,Colorado,48089,089,245840.082665,10,1588523396286,2513186037.14844,245840.082665265,
