ï»¿OBJECTID,COUNTY,DISTRICT,COUNTY_FIP,COUNTYNUM,TotalCaseCount,NegativeTests,TotalTests,PercentPos,TotalDeathCount,ProbDeaths,EOCStatus,Shape__Area,Shape__Length
1,Allegany,6,1,1,126,866,992,12.7,12,0,Enhanced,1851538947.24609,394249.898087364
2,Anne Arundel,5,3,2,2018,8624,10642,18.96,93,8,Partial,1778838317.07031,1187074.90604609
3,Baltimore,4,5,3,3448,20648,24096,14.31,136,15,Partial,2637687793.67188,818319.559802303
4,Baltimore City,0,510,24,2411,12253,14664,16.44,120,9,Full,352783081.195313,199394.091724007
5,Calvert,5,9,4,171,1061,1232,13.88,10,1,Partial,910463399.882813,382233.861870395
6,Caroline,2,11,5,98,543,641,15.29,0,0,Partial,1379449077.28906,248389.129627785
7,Carroll,7,13,6,506,3240,3746,13.51,47,0,Partial,1962097001.74609,333550.715409503
8,Cecil,2,15,7,194,1484,1678,11.56,10,0,Partial,1526098142.74219,542652.15548276
9,Charles,5,17,8,651,3130,3781,17.22,47,3,Enhanced,1951088479.46094,581727.788949102
10,Dorchester,1,19,9,75,517,592,12.67,2,0,Enhanced,2329934588.31641,2122613.69146384
11,Frederick,7,21,10,1038,5446,6484,16.01,55,7,Enhanced,2890002368.51172,328351.049806112
12,Garrett,6,23,11,4,230,234,1.71,0,0,Partial,2860745161.01563,281807.867259157
13,Harford,4,25,12,491,3648,4139,11.86,10,6,Enhanced,1918415707.58594,509309.187104658
14,Howard,7,27,13,992,4675,5667,17.5,21,1,Partial,1089436036.53125,217926.641507374
15,Kent,2,29,14,95,438,533,17.82,7,0,Partial,1214377368.37891,642712.199279433
16,Montgomery,3,31,15,5384,18371,23755,22.66,274,27,Partial,2142728433.39844,459689.982466052
17,Prince George's,3,33,16,7598,17339,24937,30.47,271,13,Partial,2073261898.11719,391861.372434526
18,Queen Anne's,2,35,17,63,531,594,10.61,8,0,Partial,1604272544.72266,833409.527049959
19,Somerset,1,39,19,35,219,254,13.78,0,0,Partial,1353987955.57813,1724844.63525122
20,St. Mary's,5,37,18,168,1478,1646,10.21,7,0,Partial,1515567868.50781,962932.297427502
21,Talbot,2,41,20,45,411,456,9.87,1,0,Enhanced,1153979565.26953,1221554.88133175
22,Washington,6,43,21,237,3124,3361,7.05,6,0,Partial,2002006981.78516,428074.05189915
23,Wicomico,1,45,22,480,1697,2177,22.05,10,0,Enhanced,1602773791.67969,384958.204199738
24,Worcester,1,47,23,80,614,694,11.53,2,1,Partial,1994019871.01172,1473471.71489491
