ï»¿LastUpdate,OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,Shape__Area,Shape__Length,Deaths
2020/05/07 16:47:48.116+00,1,1,Anderson,48001,001,373739.497368,40,2780384736.81836,373739.497367559,
2020/05/07 16:47:48.116+00,2,2,Andrews,48003,003,256968.659368,21,3872439726.24023,256968.659368344,
2020/05/07 16:47:48.116+00,3,3,Angelina,48005,005,345655.06057,93,2230054584.05176,345655.060569877,
2020/05/07 16:47:48.116+00,4,4,Aransas,48007,007,200990.380171,2,1365744002.70508,200990.380171273,
2020/05/07 16:47:48.116+00,5,5,Archer,48009,009,195603.033313,,2390627825.69238,195603.033312703,
2020/05/07 16:47:48.116+00,6,6,Armstrong,48011,011,194672.608506,2,2366621850.06348,194672.608506427,
2020/05/07 16:47:48.116+00,7,7,Atascosa,48013,013,235039.8664,22,3155525557.14063,235039.8663997,1
2020/05/07 16:47:48.116+00,8,8,Austin,48015,015,258336.897316,14,1693781284.64355,258336.897316496,
2020/05/07 16:47:48.116+00,9,9,Bailey,48017,017,187563.01178,2,2139161822.14648,187563.011779923,
2020/05/07 16:47:48.116+00,10,10,Bandera,48019,019,212286.160901,6,2058526704.39258,212286.160900665,
2020/05/07 16:47:48.116+00,11,11,Bastrop,48021,021,189851.656261,107,2310549338.91797,189851.656260706,2
2020/05/07 16:47:48.116+00,12,12,Baylor,48023,023,193025.336441,,2327732966.39746,193025.336440584,
2020/05/07 16:47:48.116+00,13,13,Bee,48025,025,233005.777666,6,2275937126.40137,233005.777666064,
2020/05/07 16:47:48.116+00,14,14,Bell,48027,027,220319.084359,213,2805547848.21777,220319.084359339,3
2020/05/07 16:47:48.116+00,15,15,Bexar,48029,029,284580.805649,1761,3242677268.24707,284580.80564923,53
2020/05/07 16:47:48.116+00,16,16,Blanco,48031,031,175706.904108,6,1840476293.8877,175706.904107902,
2020/05/07 16:47:48.116+00,17,17,Borden,48033,033,193551.664564,,2338219512.71387,193551.664564244,
2020/05/07 16:47:48.116+00,18,18,Bosque,48035,035,257776.306451,5,2585841801.09277,257776.306450916,
2020/05/07 16:47:48.116+00,19,19,Bowie,48037,037,409692.161415,76,2383733441.24316,409692.161414838,2
2020/05/07 16:47:48.116+00,20,20,Brazoria,48039,039,327857.358444,588,4154075845.20117,327857.358444374,7
2020/05/07 16:47:48.116+00,21,21,Brazos,48041,041,293876.576279,232,1524963676.85352,293876.576279487,17
2020/05/07 16:47:48.116+00,22,22,Brewster,48043,043,630767.923856,1,15980721293.3203,630767.923856167,
2020/05/07 16:47:48.116+00,23,23,Briscoe,48045,045,193120.133365,1,2332702662.8418,193120.133365319,
2020/05/07 16:47:48.116+00,24,24,Brooks,48047,047,215250.147006,1,2446789969.26953,215250.147006019,
2020/05/07 16:47:48.116+00,25,25,Brown,48049,049,216486.912,38,2468153311.52344,216486.91199976,6
2020/05/07 16:47:48.116+00,26,26,Burleson,48051,051,258633.911328,14,1745800669.12598,258633.911328332,
2020/05/07 16:47:48.116+00,27,27,Burnet,48053,053,254170.433177,24,2634005364.29395,254170.433177283,
2020/05/07 16:47:48.116+00,28,28,Caldwell,48055,055,193988.157768,25,1411993026.99902,193988.157768136,
2020/05/07 16:47:48.116+00,29,29,Calhoun,48057,057,261517.842814,34,2669667075.06445,261517.84281449,3
2020/05/07 16:47:48.116+00,30,30,Callahan,48059,059,192810.627099,5,2325074434.60547,192810.627098628,1
2020/05/07 16:47:48.116+00,31,31,Cameron,48061,061,364725.139636,469,3317818844.47363,364725.139636359,19
2020/05/07 16:47:48.116+00,32,32,Camp,48063,063,140906.959722,7,524592213.975586,140906.959721841,
2020/05/07 16:47:48.116+00,33,33,Carson,48065,065,195725.590557,3,2395790208.85059,195725.590556532,
2020/05/07 16:47:48.116+00,34,34,Cass,48067,067,274666.606989,17,2479099879.86426,274666.606989008,
2020/05/07 16:47:48.116+00,35,35,Castro,48069,069,193234.768623,22,2326805098.2041,193234.768622815,1
2020/05/07 16:47:48.116+00,36,36,Chambers,48071,071,266924.12568,47,2248424730.20898,266924.125680059,
2020/05/07 16:47:48.116+00,37,37,Cherokee,48073,073,373914.308059,20,2739640811.21289,373914.308058731,1
2020/05/07 16:47:48.116+00,38,38,Childress,48075,075,173316.345537,1,1846645426.04492,173316.345537033,
2020/05/07 16:47:48.116+00,39,39,Clay,48077,077,253777.589035,3,2885653271.6543,253777.589034578,
2020/05/07 16:47:48.116+00,40,40,Cochran,48079,079,179646.121023,1,2002637497.01953,179646.121023311,
2020/05/07 16:47:48.116+00,41,41,Coke,48081,081,197362.007412,1,2393535246.75684,197362.007411697,
2020/05/07 16:47:48.116+00,42,42,Coleman,48083,083,278754.589245,2,3305047513.87305,278754.589245134,
2020/05/07 16:47:48.116+00,43,43,Collin,48085,085,194846.621146,839,2287789798.22852,194846.621146228,22
2020/05/07 16:47:48.116+00,44,44,Collingsworth,48087,087,195288.726949,1,2380848844.94141,195288.726948736,
2020/05/07 16:47:48.116+00,45,45,Colorado,48089,089,245840.082665,12,2513186037.14844,245840.082665265,
2020/05/07 16:47:48.116+00,46,46,Comal,48091,091,199191.621457,61,1483554908.95508,199191.62145674,6
2020/05/07 16:47:48.116+00,47,47,Comanche,48093,093,212117.026793,3,2444387595.74219,212117.026793243,1
2020/05/07 16:47:48.116+00,48,48,Concho,48095,095,222085.599419,1,2562714283.31152,222085.599418793,
2020/05/07 16:47:48.116+00,49,49,Cooke,48097,097,298869.044824,11,2321017545.66895,298869.044823636,
2020/05/07 16:47:48.116+00,50,50,Coryell,48099,099,209256.405301,201,2725358424.40625,209256.405301441,2
2020/05/07 16:47:48.116+00,51,51,Cottle,48101,101,204857.892796,3,2330845473.42773,204857.892796161,
2020/05/07 16:47:48.116+00,52,52,Crane,48103,103,250854.497209,2,2026377397.56445,250854.497208768,
2020/05/07 16:47:48.116+00,53,53,Crockett,48105,105,514712.683725,,7240825161.19629,514712.683725286,
2020/05/07 16:47:48.116+00,54,54,Crosby,48107,107,193054.292364,2,2329340007.44141,193054.292364209,1
2020/05/07 16:47:48.116+00,55,55,Culberson,48109,109,424364.96469,,9833977860.0625,424364.964690291,
2020/05/07 16:47:48.116+00,56,56,Dallam,48111,111,257130.374338,10,3912180324.01953,257130.374338242,
2020/05/07 16:47:48.116+00,57,57,Dallas,48113,113,193655.088591,4869,2344880381.69238,193655.088591447,123
2020/05/07 16:47:48.116+00,58,58,Dawson,48115,115,193048.90877,30,2328092766.41455,193048.908769978,1
2020/05/07 16:47:48.116+00,59,59,Deaf Smith,48117,117,256533.314625,41,3880494751.83301,256533.314625117,
2020/05/07 16:47:48.116+00,60,60,Delta,48119,119,237027.568662,1,717752865.430664,237027.56866152,
2020/05/07 16:47:48.116+00,61,61,Denton,48121,121,198809.704259,846,2460499838.23926,198809.704258658,22
2020/05/07 16:47:48.116+00,62,62,De Witt,48123,123,212318.175219,15,2351526541.93457,212318.175219353,1
2020/05/07 16:47:48.116+00,63,63,Dickens,48125,125,193589.976193,1,2338458896.125,193589.976193404,
2020/05/07 16:47:48.116+00,64,64,Dimmit,48127,127,239114.60518,1,3450092714.08496,239114.60517988,
2020/05/07 16:47:48.116+00,65,65,Donley,48129,129,196724.063611,25,2416396645.79492,196724.063611096,
2020/05/07 16:47:48.116+00,66,66,Duval,48131,131,293096.458698,3,4648794458.72852,293096.458698267,
