ï»¿FID,NAME,Region,Shape__Area,Shape__Length,Number_Confirmed,T_3162020,T_3152020,T_3172020,T_3182020,T_3192020,T_3202020,T_3202021,T_3202022,T_3202023,T_3202024,T_3202025,T_3202026,T_3202027,T_3202028,T_3292020,T_3302020,T_3312020,T_4012020,T_4022020,T_4032020,T_4042020,T_4052020,T_4062020,T_4072020,T_4082020,T_4092020,Reference_Count,T_4102020,T_4112020,T_4122020,T_4132020,T_4142020,T_4152020,T_4162020,T_4172020,T_4182020,T_4192020,T_4202020,T_04212020,County_Population,T_4222020,T_4232020,T_4242020,T_4252020,T_4262020,T_4272020,T_4282020,T_4292020,T_4302020,T_5012020,T_5022020,T_5032020,T_5042020,T_5052020,T_5062020,T_5072020
1,Apache County,North,43846152427.7422,1217599.16943221,630,0,0,0,0,0,0,3,3,4,4,7,9,11,13,13,17,16,17,19,17,20,23,25,28,34,52,612,55,66,72,89,97,110,118,141,169,178,202,226,70845,235,268,296,314,336,362,380,392,449,478,507,526,549,576,612,630
2,Cochise County,South,22398093551.7656,602341.133980917,40,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,4,4,5,7,7,9,9,9,11,40,11,13,15,16,15,15,18,20,22,24,28,29,130158,31,31,34,36,36,36,37,38,39,39,39,39,39,39,40,40
3,Coconino County,North,73713741075.7422,1573770.84095113,618,0,0,0,0,1,5,11,14,17,18,23,28,41,56,62,71,81,85,114,126,147,147,163,179,186,210,588,214,238,243,253,270,266,299,304,314,333,337,342,142240,353,372,391,402,420,425,439,453,486,498,512,527,540,561,588,618
4,Gila County,Central,18032587861.4492,1040451.69513729,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,15,3,3,3,3,3,3,3,5,7,7,8,9,54696,10,12,11,11,11,11,11,12,13,13,14,14,14,14,15,17
5,Graham County,South,17148831102.6953,696670.446484808,19,1,1,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,3,3,2,2,2,2,19,2,2,2,2,2,2,2,2,2,2,2,2,39219,2,4,7,6,6,9,9,10,16,17,17,18,18,19,19,19
6,Greenlee County,South,6815434536.28906,468175.959701548,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,9954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,Mohave County,North,53038158291.5742,1331553.89117903,158,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,7,7,7,8,9,12,12,20,23,23,27,150,28,30,30,40,45,45,51,51,52,54,56,59,210568,62,69,73,81,81,96,99,105,117,122,127,135,141,147,150,158
8,Navajo County,North,38920690306.7461,1146922.93327622,912,0,0,1,2,3,3,10,13,25,32,37,43,49,57,60,88,91,102,129,148,177,195,210,222,240,286,892,287,321,335,345,355,390,410,435,452,459,473,485,108153,527,564,583,612,625,628,665,682,712,741,766,777,800,869,892,912
9,Pima County,South,33259866092.125,863889.435283917,1465,4,4,4,5,7,8,12,17,24,42,49,75,102,120,147,187,202,217,237,280,326,372,415,415,464,512,1425,543,591,622,668,685,700,760,819,856,913,941,963,1029203,973,1026,1060,1090,1136,1164,1188,1215,1241,1267,1300,1326,1346,1379,1425,1465
10,Pinal County,Central,19804636161.6172,716740.709606362,530,5,5,5,8,10,10,14,16,17,22,23,35,36,41,51,64,62,65,69,77,89,103,106,120,124,137,497,138,146,163,168,175,182,197,212,235,247,256,268,421992,283,303,317,332,342,359,365,387,397,417,435,456,468,478,497,530
11,Santa Cruz County,South,4425323941.71484,298061.35279545,38,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,5,6,7,37,7,8,8,10,10,12,14,15,16,19,20,23,46955,28,28,30,30,30,30,31,31,33,33,34,34,34,35,37,38
12,Yavapai County,North,31142537960.4492,905534.621630871,152,0,0,0,0,0,1,1,3,3,3,4,5,9,13,12,15,21,24,34,35,43,45,49,57,58,62,140,62,63,63,65,70,66,68,69,72,72,71,72,229102,73,75,75,76,76,77,77,79,79,82,87,89,93,126,140,152
13,La Paz County,North,16943030821.4219,709094.730708182,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,5,3,4,18,4,4,4,4,4,5,5,5,5,5,5,6,20195,6,6,8,7,7,7,7,8,14,15,14,14,14,16,18,20
14,Yuma County,South,20268578373.9414,672810.142670354,148,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,6,9,12,13,13,14,13,13,13,14,15,134,16,15,17,17,17,18,21,23,24,25,27,27,207370,28,39,42,47,51,53,60,65,78,82,89,98,110,115,134,148
15,Maricopa County,Central,34332203913.8281,987341.640463632,5196,8,8,9,11,22,34,49,81,139,199,251,299,399,454,546,690,788,871,961,1049,1171,1326,1433,1495,1559,1689,5138,1741,1891,1960,2020,2056,2146,2264,2404,2491,2589,2636,2738,4310918,2846,2970,3116,3264,3359,3457,3578,3723,3972,4156,4421,4585,4751,4929,5138,5196
