ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,284,5,7,28,44,39,44,49,35,24,9,0,0 to 98,48,175,106,3,284,0,0,4,278,2,12,1,6,277,0,1,283,6,0,0,0,4,2,0,6,0,0,0,1,1,2,2,0,0,0,0,25 to 61,50,5,1,0,0,0,6,0,1,0,0,0,0,0,6,2,4,6,0,0,277,0,284,277,6,0,12,1,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,1958,42,64,186,256,263,308,303,238,189,104,5,0 to 118,50,1241,674,43,1953,5,0,70,1746,133,196,17,120,1835,0,3,1950,76,44,0,0,73,47,0,120,0,11,13,13,19,18,10,18,10,8,0,6 to 98,47,69,48,3,0,2,116,2,29,0,17,0,0,4,120,47,73,120,0,0,1830,5,1958,1835,120,4,90,28,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,255,20,10,13,35,36,35,44,35,20,6,1,0 to 118,48,126,105,24,255,0,0,14,222,3,65,3,3,251,0,1,254,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,251,0,255,251,3,0,19,5,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,3007,100,66,245,500,504,431,494,330,195,111,31,0 to 118,46,1809,1166,32,2880,126,1,91,2718,137,174,59,163,2841,1,2,2878,86,70,3,4,81,75,0,156,2,3,5,22,21,20,32,27,20,11,0,0 to 96,57,124,26,6,0,26,130,0,46,1,26,0,0,5,163,79,84,155,7,1,2722,119,3007,2841,163,5,422,152,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,192,1,3,15,25,33,23,22,24,29,16,1,0 to 99,51,115,72,5,192,0,0,3,165,4,18,3,24,166,1,1,190,12,12,0,0,20,4,0,24,0,0,2,2,3,1,2,3,5,6,0,20 to 99,72,11,6,1,6,0,18,6,9,0,4,0,0,0,24,4,20,24,0,0,166,0,192,166,24,0,51,18,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,38027,518,641,2410,4491,4714,5638,6948,5731,3652,1934,1350,0 to 115,54,21145,16710,172,37594,431,2,442,36682,465,1482,152,3587,34154,222,64,37314,3391,127,63,6,1726,1791,1,3518,17,41,279,456,520,539,580,483,410,258,4,0 to 104,54,1619,584,376,939,793,1707,1018,744,25,562,15,9,222,3587,1831,1755,3516,69,2,33796,358,38027,34154,3587,222,704,441,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,4082,76,89,266,509,565,698,718,612,377,163,9,0 to 102,52,2373,1595,114,4007,75,0,220,3538,188,475,66,271,3754,4,53,3950,244,17,10,0,153,108,0,261,2,4,19,23,40,37,44,45,33,24,0,3 to 97,57,155,61,18,27,35,195,31,102,0,77,0,0,25,271,111,160,261,10,0,3689,65,4082,3754,271,25,72,58,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,7194,116,153,502,886,1047,1209,1277,1054,657,286,7,0 to 103,52,4322,2847,25,7149,45,0,130,6786,223,388,89,289,6877,6,22,7121,238,43,7,1,151,130,0,281,5,6,24,33,59,58,41,38,14,11,0,1 to 94,48,184,33,39,25,60,191,30,77,3,56,2,1,9,289,134,155,281,8,0,6840,37,7194,6877,289,9,531,188,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,792,20,25,72,108,130,156,124,101,43,12,1,0 to 97,48,498,284,10,790,1,1,10,683,46,111,9,121,671,0,0,791,113,7,1,0,79,41,0,120,1,2,8,16,26,33,16,12,7,0,0,4 to 83,46,18,69,2,31,4,77,39,21,0,22,0,0,0,121,41,80,119,1,1,671,0,792,671,121,0,146,57,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,5147,91,128,588,854,765,837,919,651,206,91,17,0 to 116,46,2843,2184,120,5070,76,1,88,4782,201,254,63,249,4886,3,9,5059,226,9,13,1,129,106,0,235,1,3,34,51,40,42,48,23,4,3,0,2 to 87,44,96,116,7,16,15,200,20,65,8,32,8,4,6,249,114,135,234,14,1,4824,62,5147,4886,249,6,421,181,1817477697.41779,246081.909627491,43
