ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,field,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,120,1423,5,68,13,549,54,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,113,16709,11,1329,63,4099,793,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,65,3431,5,190,24,1414,151,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,142,4619,8,199,25,1015,164,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,23,424,0Â ,31,7,197,23,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,37,1124,3,28,5,227,16,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,170,15256,17,1398,46,2437,507,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,44,1593,5,72,12,436,59,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,173,16520,17,940,15,1071,175,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,16,701,1,44,4,284,27,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,126,5111,10,322,22,1178,223,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,99,6752,2,429,49,1681,322,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,86,7277,19,516,45,1957,299,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,169,14280,13,715,25,1384,275,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,6,363,0Â ,18,3,38,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,55,3968,8,328,32,1336,235,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,10,1015,2,125,5,333,97,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,141,13917,14,844,29,1683,410,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,29,1034,2,101,7,456,83,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,67,5767,6,506,41,1614,389,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,235,13617,13,748,42,1865,378,1.62072838209013,0.0871537443231625
