ï»¿FID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,individuals_tested,SHAPE_Length,SHAPE_Area
1,60,19119,Lyon,IA,31,22,0,2020/06/15 15:45:14,USA,11811,448,2.21275267122741,0.16910183462716
2,72,19143,Osceola,IA,49,32,0,2020/06/15 15:45:14,USA,6040,289,1.43454319723463,0.11486727457819
3,30,19059,Dickinson,IA,151,42,0,2020/06/15 15:45:14,USA,17153,994,1.43802348033932,0.116176401058861
4,32,19063,Emmet,IA,40,24,0,2020/06/15 15:45:14,USA,9253,557,1.43404643573087,0.115803243352621
5,3,19005,Allamakee,IA,121,91,4,2020/06/15 15:45:14,USA,13832,1006,1.84786172939921,0.189375563365928
6,55,19109,Kossuth,IA,18,9,0,2020/06/15 15:45:14,USA,14908,897,2.12797026687415,0.279506512742556
7,96,19191,Winneshiek,IA,24,24,0,2020/06/15 15:45:14,USA,20029,1082,1.78870782385609,0.198184395037308
8,45,19089,Howard,IA,12,10,0,2020/06/15 15:45:14,USA,9187,503,1.5222554542708,0.136239672336114
9,95,19189,Winnebago,IA,12,11,0,2020/06/15 15:45:14,USA,10518,578,1.4353378151154,0.115503756567768
10,66,19131,Mitchell,IA,8,4,0,2020/06/15 15:45:14,USA,10569,691,1.51579601242865,0.135076913448264
11,98,19195,Worth,IA,4,3,0,2020/06/15 15:45:14,USA,7453,397,1.43534589840123,0.115607405615691
12,84,19167,Sioux,IA,358,160,0,2020/06/15 15:45:14,USA,34909,2150,2.45753459118017,0.220121447846734
13,71,19141,Obrien,IA,66,25,1,2020/06/15 15:45:14,USA,13840,851,1.63916495855897,0.164071999605506
14,21,19041,Clay,IA,76,26,0,2020/06/15 15:45:14,USA,16134,1016,1.63897894990378,0.163930120305046
15,74,19147,Palo Alto,IA,14,5,0,2020/06/15 15:45:14,USA,8929,436,1.63360274301866,0.163027285618699
16,41,19081,Hancock,IA,30,17,0,2020/06/15 15:45:14,USA,10712,857,1.64022442841417,0.164081009647297
17,17,19033,Cerro Gordo,IA,44,24,1,2020/06/15 15:45:14,USA,42647,3375,1.64167384598673,0.164593890089511
18,19,19037,Chickasaw,IA,15,9,0,2020/06/15 15:45:14,USA,11964,656,1.5579330429406,0.144783457663011
19,34,19067,Floyd,IA,20,17,1,2020/06/15 15:45:14,USA,15761,1249,1.55184492435623,0.143525926262284
20,22,19043,Clayton,IA,35,29,3,2020/06/15 15:45:14,USA,17556,930,2.20235204451794,0.226710827397518
21,33,19065,Fayette,IA,28,27,0,2020/06/15 15:45:14,USA,19660,1109,1.82861179547503,0.208640704071808
22,75,19149,Plymouth,IA,202,112,4,2020/06/15 15:45:14,USA,25095,1791,2.58616834565828,0.246019887462918
23,18,19035,Cherokee,IA,59,40,0,2020/06/15 15:45:14,USA,11321,785,1.64015874620456,0.164270532443662
24,11,19021,Buena Vista,IA,1590,335,6,2020/06/15 15:45:14,USA,19874,6277,1.64552268815282,0.1652216328257
25,76,19151,Pocahontas,IA,30,4,0,2020/06/15 15:45:14,USA,6740,457,1.64124953372891,0.164761949621183
26,46,19091,Humboldt,IA,33,21,1,2020/06/15 15:45:14,USA,9547,568,1.46962109997574,0.124113863794899
27,99,19197,Wright,IA,292,105,0,2020/06/15 15:45:14,USA,12690,2144,1.64480853659461,0.16568411709874
28,9,19017,Bremer,IA,74,66,6,2020/06/15 15:45:14,USA,24947,1803,1.47509845559349,0.125164627007619
29,35,19069,Franklin,IA,49,12,0,2020/06/15 15:45:14,USA,10124,836,1.64758090698267,0.165817716686447
