ï»¿OBJECTID,CORR_NOMB,SHAPE_Leng,CORR_FEAC,ID1,CORR_LEY,ORDEN_CORR,PROV_ID,DIST_ID,CORR_ID,CODIGO,CAMPO,ID2,TIPO,Cantidad,Hospitalizado,Aislamiento_domiciliario,Fallecido,UCI,Recuperado,ORIG_FID
1,LAS DELICIAS,153268.01828,1259539200000,37,LEY 18 DEL 26 DE FEBRERO DEL 2008,13,01,02,10,010210,2017,1, ,,,,,,,1
2,GUABITO,86764.11844,1259539200000,1,LEY 18 DEL 6 DE FEBRERO DEL 2009,7,01,02,03,010203,2016,2, ,2,0,1,0,0,1,2
3,EL TERIBE,186742.15279,1259539200000,1,LEY 40 DEL 30 DE ABRIL DE 2003,8,01,02,04,010204,2017,3, ,,,,,,,3
4,COCHIGRO,83585.09293,1259539200000,11,LEY 18 DEL 26 DE FEBRERO DEL 2008,0,01,02,08,010208,2017,4, ,,,,,,,4
5,RAMBALA,56269.75244,1259539200000,73,LEY 5 DEL 19 DE ENERO DE 1998,0,01,03,05,010305,2017,5,R,,,,,,,5
6,PUNTA PEÃA,25573.31617,1256947200000,96,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,01,03,03,010303,2017,6,R,,,,,,,6
7,PUERTO ARMUELLES (CABECERA),103180.04131,1193788800000,10,LEY 13 DEL 6 DE FEBRERO DE 2002,0,04,02,01,040201,2018,7,R,4,0,3,0,0,0,7
8,BIJAGUAL,59666.59742,1199923200000,1,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,06,02,040602,2017,8,R,,,,,,,8
9,LAS LOMAS,55797.67223,1199923200000,43,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,06,06,040606,2016,9,U,7,0,4,1,0,2,9
10,GUALACA (CABECERA),91472.65408,1185926400000,233,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,08,01,040801,2017,10, ,4,0,2,2,0,0,10
11,HORNITO,58821.73519,1188518400000,51,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,08,02,040802,2017,11, ,,,,,,,11
12,PAJA DE SOMBRERO,49506.33643,1185926400000,98,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,08,04,040804,2017,12, ,,,,,,,12
13,PEDREGAL,278148.37922,1222732800000,101,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,06,07,040607,2017,13,U,2,0,2,0,0,0,13
14,SAN PABLO VIEJO,47001.62863,1221436800000,6,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,06,10,040610, ,14,R,10,0,10,0,0,0,14
15,LOS ANASTACIOS,21844.77744,1196467200000,10,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,07,03,040703,2018,15,R,,,,,,,15
16,BAJO BOQUETE,31085.4238,1193875200000,62,LEY 58 DEL 29 DE JULIO DE 1998,0,04,04,01,040401, ,16,R,2,0,2,0,0,0,16
17,PALMIRA,46231.85119,1196380800000,1,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,04,03,040403,2018,17,R,,,,,,,17
18,POTRERILLOS,44700.1108,1199059200000,97,LEY 43 DEL 5 DE AGOSTO DE 2002,0,04,07,04,040704,2018,18,R,,,,,,,18
19,POTRERILLOS  ABAJO,46425.80509,1199059200000,1,LEY 43 DEL 5 DE AGOSTO DE 2002,0,04,07,05,040705,2018,19,R,,,,,,,19
20,LOS ALGARROBOS,44433.70092,1199059200000,5,LEY 43 DEL 5 DE AGOSTO DE 2002,0,04,07,08,040708,2018,20,R,4,1,2,0,0,1,20
21,TINAJAS,42739.25254,1199059200000,200,LEY 43 DEL 5 DE AGOSTO DE 2002,0,04,07,07,040707,2018,21,R,,,,,,,21
22,ROVIRA,61197.8127,1199059200000,76,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,07,06,040706,2018,22,R,,,,,,,22
