County,Total Positive,Total Negative,Unique Individuals Tests,Total Recovered,Deaths
Adams,0,459,459,0,0
Barnes,11,1094,1105,8,0
Benson,3,1006,1009,2,0
Billings,0,143,143,0,0
Bottineau,4,545,549,3,0
Bowman,1,411,412,1,0
Burke,5,164,169,5,0
Burleigh,180,9968,10148,136,0
Cass,2084,21661,23745,1835,62
Cavalier,0,264,264,0,0
Dickey,3,386,389,0,0
Divide,1,410,411,1,0
Dunn,11,322,333,11,0
Eddy,5,444,449,4,0
Emmons,4,357,361,3,1
Foster,1,287,288,1,0
Golden Valley,0,293,293,0,0
Grand Forks,350,6794,7144,329,4
Grant,2,215,217,2,0
Griggs,1,237,238,1,0
Hettinger,0,506,506,0,0
Kidder,2,141,143,0,0
LaMoure,10,332,342,5,0
Logan,0,257,257,0,0
McHenry,2,416,418,1,1
McIntosh,1,580,581,1,0
McKenzie,22,842,864,18,0
McLean,11,1145,1156,11,0
Mercer,6,736,742,6,0
Morton,70,3272,3342,58,2
Mountrail,43,1537,1580,43,0
Nelson,1,385,386,1,0
Oliver,1,88,89,1,0
Pembina,7,634,641,6,0
Pierce,3,432,435,3,0
Ramsey,8,1500,1508,7,1
Ransom,13,815,828,11,0
Renville,3,196,199,3,0
Richland,37,1617,1654,26,0
Rolette,7,1360,1367,7,0
Sargent,4,717,721,4,0
Sheridan,1,174,175,1,0
Sioux,7,722,729,2,0
Slope,3,135,138,3,0
Stark,63,4088,4151,60,2
Steele,1,233,234,1,0
Stutsman,60,3364,3424,31,0
Towner,0,153,153,0,0
Traill,15,1211,1226,14,0
Unknown,0,2920,2920,0,0
Walsh,17,1183,1200,16,0
Ward,48,6356,6404,42,1
Wells,8,433,441,6,0
Williams,26,2568,2594,26,0
